name,priceNormal,priceWithoutax,branch,link
"Ass In Antarctica Hot Sauce, 5oz.",$7.50,$6.95,Ass In The Tub,https://www.hotsauce.com/ass-in-antarctica-hot-sauce/
"Ass In Hell Hot Sauce, 5oz.",$10.50,$9.95,Ass In The Tub,https://www.hotsauce.com/ass-in-hell-hot-sauce/
"Ass In Space Hot Sauce, 5oz.",$6.50,$5.95,Ass In The Tub,https://www.hotsauce.com/Ass-In-Space-Hot-Sauce/
"Ass in the E.R. Scorpion Pepper Sauce, 5oz.",$10.00,$8.95,Ass In The Tub,https://www.hotsauce.com/ass-in-the-e-r-scorpion-pepper-sauce/
"Ass In The Tub Ghost Pepper Sauce, 5oz.",$9.50,$8.95,Ass In The Tub,https://www.hotsauce.com/ass-in-the-tub-ghost-pepper-sauce/
"Ass In The Tub Hot Sauce, 5oz.",$5.50,$4.95,Ass In The Tub,https://www.hotsauce.com/ass-in-the-tub-hot-sauce/
"Ass In The Tub Hot Sauces Complete Gift Set, 7/5oz.",$60.50,$55.65,Ass In The Tub,https://www.hotsauce.com/ass-in-the-tub-hot-sauces-complete-gift-set/
"Ass In The Tub Hot Sauces Gift Pack, 3/5oz.",$23.00,$19.95,Ass In The Tub,https://www.hotsauce.com/Ass-In-The-Tub-Hot-Sauces-Gift-Pack/
"Ass In The Tub Hot Sauces Original Gift Set, 5/5oz.",$41.00,$37.75,Ass In The Tub,https://www.hotsauce.com/ass-in-the-tub-hot-sauces-5-pack-gift-set/
"Ass in the Tub Special Reserve Armageddon Hot Sauce, 5oz.",$11.00,$9.95,Ass In The Tub,https://www.hotsauce.com/ass-in-the-tub-special-reserve-armageddon-hot-sauce/
