name,priceNormal,priceWithoutax,branch,link
"Ass Kickin Barbecue Popcorn, 3.5oz.",$3.00,$2.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-barbecue-popcorn/
"Ass Kickin Beef Jerky, 4oz.",$15.00,$11.95,Ass Kickin,https://www.hotsauce.com/Ass-Kickin-Beef-Jerky/
"Ass Kickin Beer Bread with Habanero Pepper, 1lb.",$8.50,$7.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-beer-bread/
"Ass Kickin Cajun Hot Sauce, 5oz.",$6.50,$5.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-cajun-hot-sauce/
"Ass Kickin Carolina Reaper Hot Sauce, 5oz.",$11.00,$9.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-carolina-reaper-hot-sauce/
"Ass Kickin Chicken Wing Sauce, 13oz.",$8.00,$7.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-chicken-wing-sauce/
"Ass Kickin Chile Lime Popcorn, 3.5oz.",$3.00,$2.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-chile-lime-popcorn/
"Ass Kickin Chili and Bread Gift Set, 4/16oz.",$36.00,$31.80,Ass Kickin,https://www.hotsauce.com/ass-kickin-chili-and-bread-gift-set/
"Ass Kickin Chili Fixins with Habanero Pepper, 1lb.",$8.50,$7.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-chili-fixins/
"Ass Kickin Chipotle Honey Peanuts, 12oz.",$9.25,$8.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-chipotle-honey-peanuts/
"Ass Kickin Corn Bread with Habanero Pepper, 1lb.",$8.50,$7.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-corn-bread/
"Ass Kickin Dumb Ass Hot Sauce, 5oz.",$9.00,$8.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-dumb-ass-hot-sauce/
"Ass Kickin Extreme Hot Sauces 3 Pack, 3/5oz.",$34.50,$29.85,Ass Kickin,https://www.hotsauce.com/Ass-Kickin-Extreme-Hot-Sauces-3-Pack/
"Ass Kickin Extreme Variety Hot Sauces Pack, 4/5oz.",$39.00,$35.34,Ass Kickin,https://www.hotsauce.com/ass-kickin-extreme-variety-hot-sauces-pack/
"Ass Kickin Fire Roasted Green Chile and Tequila Salsa, 13oz.",$7.50,$6.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-fire-roasted-green-chile-and-tequila-salsa/
"Ass Kickin Ghost Pepper Hot Sauce, 5oz.",$12.50,$9.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-ghost-pepper-hot-sauce/
"Ass Kickin Habanero Honey Roasted Peanuts, 12oz.",$10.50,$9.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-honey-roasted-peanuts-habanero-pepper/
"Ass Kickin Hot Habanero Popcorn, 3.5oz.",$3.00,$2.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-hot-habanero-popcorn/
"Ass Kickin Hot Salt 9 Pack, 9/1.1oz.",$31.50,$26.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-hot-salt-9-pack/
"Ass Kickin Hot Sauces Variety 4 Pack, 4/5oz.",$26.00,$23.80,Ass Kickin,https://www.hotsauce.com/Ass-Kickin-Hot-Sauces-Variety-4-Pack/
"Ass Kickin Hot Sriracha Popcorn, 3.5oz.",$3.00,$2.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-hot-sriracha-popcorn/
"Ass Kickin Hottest Hot Sauces 3 Pack, 3/5oz.",$29.00,$26.39,Ass Kickin,https://www.hotsauce.com/ass-kickin-hottest-hot-sauces-3-pack/
"Ass Kickin Jack Ass Complete Hot Sauce Set, 7/5oz.",$53.00,$49.27,Ass Kickin,https://www.hotsauce.com/ass-kickin-jack-ass-complete-hot-sauce-set/
"Ass Kickin Jelly Beans with Habanero Pepper, 9oz.",$9.50,$8.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-jelly-beans-habanero-pepper/
"Ass Kickin Ketchup with Habanero, 12oz.",$8.00,$7.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-ketchup/
"Ass Kickin Moonshine Pepper Mash, 9.5oz.",$11.00,$9.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-moonshine-pepper-mash/
"Ass Kickin My Favorite Ass 4 Pack, 4/5oz.",$36.00,$33.96,Ass Kickin,https://www.hotsauce.com/ass-kickin-my-favorite-ass-4-pack/
"Ass Kickin Original Habanero and Pinto Bean Salsa, 13oz.",$7.50,$6.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-original-habanero-and-pinto-bean-salsa/
"Ass Kickin Original Hot Sauce, 5oz.",$6.50,$5.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-original-hot-sauce/
"Ass Kickin Pain in the Ass Hot Sauce, 5oz.",$9.00,$8.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-pain-in-the-ass-hot-sauce/
"Ass Kickin Peanuts w/ Habanero Pepper, 12oz.",$10.00,$8.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-peanuts-habanero-pepper/
"Ass Kickin PopCorn Gift Set, 4/3.5oz.",$12.00,$9.96,Ass Kickin,https://www.hotsauce.com/Ass-Kickin-Popcorn-Gift-Set/
"Ass Kickin Roasted Garlic Habanero Hot Sauce, 5oz.",$6.50,$5.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-roasted-garlic-hot-sauce/
"Ass Kickin Salsas Gift Set, 2/13oz.",NONE,$13.90,Ass Kickin,https://www.hotsauce.com/ass-kickin-salsas-gift-set/
"Ass Kickin Scorpion Pepper Hot Sauce, 5oz.",$11.00,$9.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-scorpion-pepper-hot-sauce/
"Ass Kickin Smart Ass Hot Sauce, 5oz.",$9.00,$8.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-smart-ass-hot-sauce/
"Ass Kickin Snack Mix with Habanero Pepper, 10oz.",$10.00,$8.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-snack-mix-habanero-pepper/
"Ass Kickin Sriracha Peanuts, 12oz.",$9.50,$8.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-sriracha-peanuts/
"Ass Kickin Steak Sauce with Habanero, 10oz.",$8.00,$7.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-steak-sauce/
"Ass Kickin Ultimate Hot Sauce Collector's Rack, 14/5oz. (Sold Out)",$169.00,$149.00,Ass Kickin,https://www.hotsauce.com/ass-kickin-ultimate-hot-sauce-collectors-rack/
"Ass Kickin Wasabi Horseradish Hot Sauce, 5oz.",$6.50,$5.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-wasabi-horseradish-hot-sauce/
"Ass Kickin' Chile Lime Hot Sauce, 5oz.",$8.50,$7.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-chile-lime-hot-sauce/
"Spontaneous Combustion Hot Sauce, 5oz.",$9.50,$8.95,Spontaneous Combust,https://www.hotsauce.com/spontaneous-combustion-hot-sauce/
