Name,Price,Price witout Tax,Brand,Link
"Blair's (New) Ultra Death Hot Sauce, 5oz.",$25.00,$19.95,Blairs Sauces,https://www.hotsauce.com/blairs-ultra-death-hot-sauce/
"Blair's 2am Reserve Extract Signed (NEW 2nd EDITION), 2oz.",$43.00,$29.95,Blairs Sauces,https://www.hotsauce.com/blairs-2am-reserve-extract-signed-2nd-edition/
"Blair's 3am Reserve Extract Signed (NEW 2nd EDITION), 2oz.",$55.00,$46.95,Blairs Sauces,https://www.hotsauce.com/blairs-3am-reserve-extract-signed-2nd-edition/
"Blair's After Death with Liquid Fire Hot Sauce, 5oz.",$13.00,$11.95,Blairs Sauces,https://www.hotsauce.com/blairs-after-death-with-liquid-fire-hot-sauce/
"Blair's Beyond Death Hot Sauce, 5oz.",$18.00,$15.95,Blairs Sauces,https://www.hotsauce.com/blairs-beyond-death-hot-sauce/
"Blair's Golden Death Sauce with Chipotle, 5oz.",$9.50,$8.95,Blairs Sauces,https://www.hotsauce.com/blairs-golden-death-sauce-with-chipotle/
"Blair's Jalapeno Death Sauce with Tequila, 5oz.",$12.00,$10.95,Blairs Sauces,https://www.hotsauce.com/blairs-jalapeno-death-sauce-with-tequila/
"Blair's Mega Death Sauce with Liquid Fury, 5oz.",$24.00,$19.95,Blairs Sauces,https://www.hotsauce.com/blairs-mega-death-sauce-with-liquid-fury/
"Blair's Original Death Sauce with Chipotle, 5oz.",$12.00,$10.95,Blairs Sauces,https://www.hotsauce.com/blairs-original-death-sauce-with-chipotle/
"Blair's Pure Death Naga (Ghost) Jolokia Hot Sauce, 5oz.",$10.50,$9.95,Blairs Sauces,https://www.hotsauce.com/blairs-pure-death-naga-ghost-jolokia-hot-sauce/
"Blair's Q Heat Chipotle Slam Exotic Hot Sauce, 8.44oz.",$11.00,$9.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-chipotle-slam-exotic-hot-sauce/
Blair's Q Heat Exotic Hot Sauce Gourmet Sampler 4 Pack / 2oz.,$17.00,$15.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-exotic-hot-sauce-gourmet-sampler-4-pack/
"Blair's Q Heat Habanero Mango Exotic Hot Sauce, 8.44oz.",$10.50,$9.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-habanero-mango-exotic-hot-sauce/
"Blair's Q Heat Jalapeno Tequila Exotic Hot Sauce, 8.44oz.",$11.00,$9.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-jalapeno-tequila-exotic-hot-sauce/
"Blair's Q Heat Wasabi Green Tea Exotic Hot Sauce, 8.44oz.",$8.50,$7.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-wasabi-green-tea-exotic-hot-sauce/
"Blair's Salsa De La Muerte con Chipotle, 5oz.",$8.50,$7.95,Blairs Sauces,https://www.hotsauce.com/blairs-salsa-de-la-muerte-con-chipotle/
"Blair's Sudden Death Sauce with Ginseng, 5oz.",$22.00,$18.95,Blairs Sauces,https://www.hotsauce.com/blairs-sudden-death-sauce-with-ginseng/
"Blair's Sweet Death Sauce with Mango, 5oz.",$9.50,$8.95,Blairs Sauces,https://www.hotsauce.com/blairs-sweet-death-with-mango-hot-sauce/
