name,priceNormal,priceWithoutax,branch,link
"Cholula Chili Garlic Hot Sauce, 5oz.",$5.50,$4.95,Cholula,https://www.hotsauce.com/cholula-chili-garlic-hot-sauce/
"Cholula Chili Lime Hot Sauce, 5oz.",$5.50,$4.95,Cholula,https://www.hotsauce.com/cholula-chili-lime-hot-sauce/
"Cholula Chipotle Hot Sauce, 5oz.",$5.50,$4.95,Cholula,https://www.hotsauce.com/cholula-chipotle-hot-sauce/
"Cholula Hot Sauce Complete 5 Pack Gift Set, 5/5oz.",$25.00,$24.75,Cholula,https://www.hotsauce.com/cholula-hot-sauce-complete-5-pack-gift-set/
"Cholula Hot Sauce Variety 4-Pack, 4/5oz.",$20.00,$19.80,Cholula,https://www.hotsauce.com/cholula-hot-sauce-variety-4-pack/
"Cholula Original Hot Sauce 1/2 Gallon, 64oz.",$30.50,$26.95,Cholula,https://www.hotsauce.com/cholula-original-hot-sauce-gallon/
"Cholula Original Hot Sauce with Wooden Topper, 12oz.",$11.00,$8.95,Cholula,https://www.hotsauce.com/cholula-original-hot-sauce-with-wooden-topper-large/
"Cholula Original Hot Sauce with Wooden Topper, 5oz.",$5.50,$4.95,Cholula,https://www.hotsauce.com/cholula-original-hot-sauce-with-wooden-topper/
"Cholula Original Mini Hot Sauce, 2oz.",$4.50,$3.49,Cholula,https://www.hotsauce.com/cholula-original-mini-hot-sauce/
"Cholula Sweet Habanero Hot Sauce, 5oz.",$5.50,$4.95,Cholula,https://www.hotsauce.com/cholula-sweet-habanero-hot-sauce/
