name,priceNormal,priceWithoutax,branch,link
"Crazy Jerry's Backfire X Hot Oyster Sauce, 13oz.",$8.50,$7.95,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-backfire-x-hot-oyster-sauce/
"Crazy Jerry's Brain Damage Mind Blowin Hot Sauce, 5oz.",$9.00,$7.95,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-brain-damage-mind-blowin-hot-sauce/
"Crazy Jerry's Dude Ranch Durty Black Bean Dip, 16oz.",$8.00,$7.49,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-dude-ranch-durty-black-bean-dip/
"Crazy Jerry's Fried Green Maters, 5oz.",$8.50,$7.95,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-fried-green-maters/
"Crazy Jerry's Lizard Eyes Habanero Stuffed Olives, 5oz.",$8.50,$7.95,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-lizard-eyes-habanero-stuffed-olives/
"Crazy Jerry's Lizard Eyes Jalapeno Stuffed Olives, 5oz.",$8.50,$7.95,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-lizard-eyes-jalapeno-stuffed-olives/
"Crazy Jerry's Margarita Butt Burner Hot Salsa, 16.5oz.",$9.00,$7.95,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-margarita-butt-burner-hot-salsa/
"Crazy Jerry's Margarita No Sweat Mild Salsa, 16.5oz.",$9.00,$7.95,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-margarita-no-sweat-mild-salsa/
"Crazy Jerry's Mustard Gas Hot Sauce, 4oz.",$10.00,$8.95,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-mustard-gas-hot-sauce/
"Crazy Jerry's Seafood and Everything Else Sauce, 12oz.",$8.50,$7.95,Crazy Jerrys,https://www.hotsauce.com/Crazy-Jerrys-Seafood-And-Everything-Else-Sauce/
"Crazy Jerry's Spicy Dude Ranch Durty Black Bean Dip, 16oz.",$6.50,$5.95,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-spicy-dude-ranch-durty-black-bean-dip/
