name,priceNormal,priceWithoutax,branch,link
"Da Bomb Beyond Insanity and Torchbearer Garlic Reaper Hot Sauce Bundle, 5oz, 4oz.",$34.50,$31.90,Torchbearer,https://www.hotsauce.com/Da-Bomb-Beyond-Insanity-And-Torchbearer-Garlic-Reaper-Hot-Sauce-Bundle/
"Da Bomb Beyond Insanity Hot Sauce, 4oz.",$17.00,$14.95,Da Bomb,https://www.hotsauce.com/da-bomb-beyond-insanity-hot-sauce/
"Da Bomb Ghost Pepper Hot Sauce, 4oz.",$19.50,$14.95,Da Bomb,https://www.hotsauce.com/da-bomb-ghost-pepper-hot-sauce/
"Da Bomb Ghost Pepper Salsa, 15.5oz.",$9.50,$8.95,Da Bomb,https://www.hotsauce.com/da-bomb-ghost-pepper-salsa/
"Da Bomb Green Habanero Salsa Verde, 15.5oz.",$8.50,$7.95,Da Bomb,https://www.hotsauce.com/da-bomb-green-habanero-salsa-verde/
"Da Bomb Ground Zero Hot Sauce, 4oz.",$21.50,$17.95,Da Bomb,https://www.hotsauce.com/da-bomb-ground-zero-hot-sauce/
"Da Bomb Hottest Hot Extracts Gift Set, 2/4oz., 1/2 oz.",$103.00,$86.85,Da Bomb,https://www.hotsauce.com/da-bomb-hottest-hot-extracts-gift-set/
"Da Bomb Jolokia Ghost Snacks Gift Set, 8oz, 4oz, 15.5oz.",$39.00,$32.85,Da Bomb,https://www.hotsauce.com/da-bomb-jolokia-ghost-snacks-gift-set/
"Da Bomb Scorpion Garlic Salsa, 15.5oz.",$10.00,$8.49,Da Bomb,https://www.hotsauce.com/da-bomb-scorpion-garlic-salsa/
"Da Bomb The Final Answer Extract, 2oz.",$65.00,$53.95,Da Bomb,https://www.hotsauce.com/da-bomb-the-final-answer-extract/
"Da Bomb Ultimate Sauce & Extracts Gift Set, 3/4oz., 1/2 oz.",$122.50,$101.80,Da Bomb,https://www.hotsauce.com/da-bomb-ultimate-sauce-extracts-gift-set/
"Pain Is Good Ghost Pepper Spicy Virginia Peanuts, 9oz.",$10.00,$8.95,Pain Is Good,https://www.hotsauce.com/Pain_Is_Good_Ghost_Pepper_Spicy_Virginia_Peanuts/
