Name,Price,Price witout Tax,Brand,Link
"Dave's (NEW) Ghost Pepper Naga Jolokia Hot Sauce, (Gallon) 128oz.",$150.00,$129.95,Daves Gourmet,https://www.hotsauce.com/daves-ghost-pepper-naga-jolokia-hot-sauce-gallon/
"Dave's (NEW) Ghost Pepper Naga Jolokia Hot Sauce, 5oz.",$10.50,$9.95,Daves Gourmet,https://www.hotsauce.com/daves-ghost-pepper-naga-jolokia-hot-sauce/
"Dave's Four Pack Super Hot in Wooden Crate, 4/5oz.",$46.00,$41.95,Daves Gourmet,https://www.hotsauce.com/daves-four-pack-super-hot-in-wooden-crate/
"Dave's Gourmet Carolina Reaper Pepper Hot Sauce, 5oz.",$12.00,$10.49,Daves Gourmet,https://www.hotsauce.com/Daves-Gourmet-Carolina-Reaper-Pepper-Hot-Sauce/
"Dave's Gourmet Cool Cayenne Pepper Sauce, 5oz.",$7.50,$6.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-cool-cayenne-pepper-sauce/
"Dave's Gourmet Crazy Caribbean Hot Sauce, 5oz.",$7.00,$5.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-crazy-caribbean-hot-sauce/
"Dave's Gourmet Creamy Garlic Red Pepper Hot Sauce, 8oz.",$9.50,$8.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-creamy-garlic-red-pepper-hot-sauce/
"Dave's Gourmet Creamy Ginger Citrus Hot Sauce, 8oz.",$9.50,$8.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-creamy-ginger-citrus-hot-sauce/
"Dave's Gourmet Creamy Hot Sauce Gift Pack, 3/8oz.",$28.50,$26.85,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-creamy-hot-sauce-gift-pack/
"Dave's Gourmet Creamy Roasted Jalapeno Hot Sauce, 8oz.",$9.50,$8.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-creamy-roasted-jalapeno-hot-sauce/
"Dave's Gourmet Ginger Peach Hot Sauce, 5oz.",$7.50,$6.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-ginger-peach-hot-sauce/
"Dave's Gourmet Hurtin' Habanero, 5oz.",$7.50,$6.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-hurtin-habanero/
"Dave's Gourmet Hurtin' Jalapeno, 5oz.",$7.50,$6.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-hurtin-jalapeno/
"Dave's Gourmet Insanity Hot Sauce, 5oz.",$9.00,$8.49,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-insanity-hot-sauce/
"Dave's Gourmet Insanity Sauce Hot Sauce Gallon, 128oz.",$140.00,$125.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-insanity-sauce-hot-sauce-gallon/
"Dave's Gourmet Insanity Spicy 6 Pack, 6/5oz.",$45.00,$35.29,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-insanity-spicy-6-pack/
"Dave's Gourmet Insanity Spicy Three Pack, 3/5oz.",$22.50,$19.85,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-insanity-spicy-three-pack/
"Dave's Gourmet Roasted Garlic, 5oz.",$7.50,$6.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-roasted-garlic/
"Dave's Gourmet Roasted Red Pepper & Chipotle, 5oz.",$7.00,$5.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-roasted-red-pepper-chipotle/
"Dave's Gourmet Scorpion Pepper Hot Sauce, 5oz.",$12.00,$10.49,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-scorpion-pepper-hot-sauce/
"Dave's Gourmet Scotch Bonnet Hot Sauce, 5oz.",$7.50,$6.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-scotch-bonnet-hot-sauce/
"Dave's Gourmet Steak Sauce, 8oz.",$9.50,$7.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-steak-sauce/
"Dave's Gourmet Temporary Insanity, 5oz.",$8.50,$7.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-temporary-insanity/
"Dave's Gourmet Total Insanity, 5oz.",$9.00,$8.49,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-total-insanity/
"Dave's Gourmet Ultimate Insanity, 5oz.",$10.50,$9.95,Daves Gourmet,https://www.hotsauce.com/Daves-Gourmet-Ultimate-Insanity/
