name,priceNormal,priceWithoutax,branch,link
"El Yucateco Black Label Reserve Chile Habanero 3 Pack, 3/4oz.",$16.50,$14.85,El Yucateco,https://www.hotsauce.com/el-yucateco-black-label-reserve-chile-habanero-3-pack/
"El Yucateco Black Label Reserve Chile Habanero, 4oz.",$5.50,$4.95,El Yucateco,https://www.hotsauce.com/El-Yucateco-Black-Label-Reserve-Chile-Habanero/
"El Yucateco Caribbean Hot Sauce, 4oz.",$4.50,$3.95,El Yucateco,https://www.hotsauce.com/el-yucateco-caribbean-hot-sauce/
"El Yucateco Chipotle Hot Sauce, 5oz.",$5.50,$4.95,El Yucateco,https://www.hotsauce.com/el-yucateco-chipotle-hot-sauce/
"El Yucateco Complete Gift Set, 4/4oz., 2/5oz.",$27.00,$25.70,El Yucateco,https://www.hotsauce.com/el-yucateco-complete-gift-set-4-4oz-2-5oz/
"El Yucateco Complete Gift Set, 5/4oz.,2/5oz.",$32.00,$30.65,El Yucateco,https://www.hotsauce.com/el-yucateco-complete-gift-set/
"El Yucateco Green Chile Habanero 4 Pack, 4/4oz.",$20.00,$15.80,El Yucateco,https://www.hotsauce.com/el-yucateco-green-chile-habanero-4-pack/
"El Yucateco Jalapeno Hot Sauce, 5oz.",$5.50,$4.95,El Yucateco,https://www.hotsauce.com/el-yucateco-jalapeno-hot-sauce/
"El Yucateco Salsa Picante de Chile Habanero Green, 4oz.",$5.00,$3.95,El Yucateco,https://www.hotsauce.com/el-yucateco-salsa-picante-de-chile-habanero-green/
"El Yucateco Salsa Picante de Chile Habanero Green, 8oz.",$6.50,$5.95,El Yucateco,https://www.hotsauce.com/el-yucateco-salsa-picante-de-chile-habanero-green-8oz/
"El Yucateco Salsa Picante de Chile Habanero Red, 4oz.",$5.00,$3.95,El Yucateco,https://www.hotsauce.com/el-yucateco-salsa-picante-de-chile-habanero-red/
"El Yucateco Salsa Picante de Chile Habanero Red, 8oz.",$6.50,$5.95,El Yucateco,https://www.hotsauce.com/el-yucateco-salsa-picante-de-chile-habanero-red-8oz/
"El Yucateco XXXtra Hot Chile Habanero, 4oz.",$5.00,$3.95,El Yucateco,https://www.hotsauce.com/el-yucateco-xxxtra-hot-chile-habanero/
