name,priceNormal,priceWithoutax,branch,link
"Fat Cat Bacon Flavored Sriracha Sauce, 12oz.",$8.50,$7.95,Fat Cat,https://www.hotsauce.com/fat-cat-bacon-flavored-sriracha-sauce/
"Fat Cat Caribbean Curry Hot Sauce, 5oz.",$6.50,$5.95,Fat Cat,https://www.hotsauce.com/fat-cat-caribbean-curry-hot-sauce/
"Fat Cat Cat in Heat Hot Sauce, 5oz.",$6.50,$5.95,Fat Cat,https://www.hotsauce.com/fat-cat-cat-in-heat-hot-sauce/
"Fat Cat Chairman Meow's Revenge Hot Sauce, 5oz.",$7.00,$5.95,Fat Cat,https://www.hotsauce.com/fat-cat-chairman-meows-revenge-hot-sauce/
"Fat Cat Complete Hot Sauces Gift Set, 8/5oz.",$52.00,$47.60,Fat Cat,https://www.hotsauce.com/fat-cat-complete-sauces-gift-set/
"Fat Cat Mexican-Style Habanero Hot Sauce, 5oz.",$6.50,$5.95,Fat Cat,https://www.hotsauce.com/fat-cat-mexican-style-habanero-hot-sauce/
"Fat Cat Papaya Pequin Passion Hot Sauce, 5oz.",$6.50,$5.95,Fat Cat,https://www.hotsauce.com/Fat-Cat-Papaya-Pequin-Passion-Hot-Sauce/
"Fat Cat Purry-Purry Hot Sauce, 5oz.",$6.50,$5.95,Fat Cat,https://www.hotsauce.com/fat-cat-purry-purry-hot-sauce/
"Fat Cat Siamese Sriracha Sauce, 12oz.",$8.50,$7.95,Fat Cat,https://www.hotsauce.com/fat-cat-siamese-sriracha-sauce/
"Fat Cat Sriracha Sauces Gift Set, 2/12oz.",$17.00,$15.90,Fat Cat,https://www.hotsauce.com/fat-cat-sriracha-gift-set/
"Fat Cat Strawberry Serrano Hot Sauce, 5oz.",$6.50,$5.95,Fat Cat,https://www.hotsauce.com/fat-cat-strawberry-serrano-hot-sauce/
"Fat Cat Surprisingly Mild Guajillo Ghost Hot Sauce, 5oz.",$6.50,$5.95,Fat Cat,https://www.hotsauce.com/fat-cat-surprisingly-mild-guajillo-ghost-hot-sauce/
