Name,Price,Price witout Tax,Brand,Link
"A Little Nukey Hot Sauce, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/a-little-nukey-hot-sauce/
"Ass Gas Hot Sauce, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/ass-gas-hot-sauce/
"Backfire Peppa Sauce, A Real Butt Burner!, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/backfire-peppa-sauce-a-real-butt-burner/
"Bad to the Bone Hot Sauce, 5oz.",$5.50,$4.95,FireWorks,https://www.hotsauce.com/bad-to-the-bone-hot-sauce/
"Blowout Habanero Serious Hot Sauce, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/blowout-habanero-hot-sauce/
"Body Heat XXX Hot, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/body-heat-xxx-hot-sauce/
"Chile Dawg Hot Pepper Sauce, 5oz.",$5.50,$4.95,FireWorks,https://www.hotsauce.com/chile-dawg-hot-pepper-sauce/
"Final Fear Hot Sauce, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/final-fear-hot-sauce/
"Hotsy Totsy XXX Rated Hot Sauce, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/hotsy-totsy-xxx-rated-hot-sauce/
"Ole Fart Hot Sauce, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/ole-fart-hot-sauce/
"Pain In The Ass Hot Pepper Sauce, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/pain-in-the-ass-hot-pepper-sauce/
"Poots Peppa Sauce, The Cats Meow, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/poots-peppa-sauce-the-cats-meow/
"Red Hot Mama Hot Sauce, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/red-hot-mama-hot-sauce/
"Red Rectum Hot Sauce, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/red-rectum-hot-sauce/
"Red Rectum Revenge Hot Sauce, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/red-rectum-revenge-hot-sauce/
"Squirts Hot Sauce, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/squirts-hot-sauce/
