name,priceNormal,priceWithoutax,branch,link
"Iguana Bloody Mary Mix, 25.7oz.",$9.00,$8.49,Iguana Sauces,https://www.hotsauce.com/iguana-bloody-mary-mix/
"Iguana Bold Gold Habanero Mini Hot Sauce, 2oz.",$3.00,$2.49,Iguana Sauces,https://www.hotsauce.com/iguana-bold-gold-habanero-mini-hot-sauce/
"Iguana En Fuego Ultra Hot Pepper Sauce, 5oz.",$6.50,$5.95,Iguana Sauces,https://www.hotsauce.com/iguana-en-fuego-ultra-hot-pepper-sauce/
"Iguana Fearsome Five Variety Pack, 5/5oz.",$32.50,$29.75,Iguana Sauces,https://www.hotsauce.com/iguana-fearsome-five-variety-pack/
"Iguana Gold Golden Habanero Island Pepper Sauce, 5oz.",$6.50,$5.95,Iguana Sauces,https://www.hotsauce.com/iguana-gold-golden-habanero-island-pepper-sauce/
"Iguana Mean Green Hot n' Tasty Jalapeno Pepper Sauce, 5oz.",$6.50,$5.95,Iguana Sauces,https://www.hotsauce.com/iguana-mean-green-hot-n-tasty-jalapeno-pepper-sauce/
"Iguana Radioactive Explosively Hot Atomic Pepper Sauce, 5oz.",$6.50,$5.95,Iguana Sauces,https://www.hotsauce.com/iguana-radioactive-explosively-hot-atomic-pepper-sauce/
"Iguana Red Habanero Mini Pepper Sauce, 2oz.",$3.00,$2.49,Iguana Sauces,https://www.hotsauce.com/iguana-red-habanero-mini-pepper-sauce/
"Iguana Red Moderately Hot Cayenne Pepper Sauce, 5oz.",$6.50,$5.95,Iguana Sauces,https://www.hotsauce.com/iguana-red-moderately-hot-cayenne-pepper-sauce/
"Iguana Smoky Chipotle Mini Pepper Sauce, 2oz.",$3.00,$2.49,Iguana Sauces,https://www.hotsauce.com/iguana-smoky-chipotle-mini-pepper-sauce/
"Iguana Smoky Jalapeno Chipotle Pepper Sauce, 5oz.",$6.50,$5.95,Iguana Sauces,https://www.hotsauce.com/iguana-smoky-jalapeno-chipotle-pepper-sauce/
"Iguana Smoky Jalapeno Chipotle Salsa, 16oz.",$9.00,$8.49,Iguana Sauces,https://www.hotsauce.com/iguana-smoky-jalapeno-chipotle-salsa/
"Iguana Tropic Thunder Red Jalapeno & Habanero Tropical Pepper, 5oz.",$6.50,$5.95,Iguana Sauces,https://www.hotsauce.com/iguana-tropic-thunder-red-jalapeno-habanero-tropical-pepper-sauce/
"Iguana Ultimate en Fuego Pepper Sauce Gift Set, 8/5oz.",$52.00,$47.60,Iguana Sauces,https://www.hotsauce.com/iguana-ultimate-en-fuego-pepper-sauce-gift-set/
"Iguana Vicious Jalapeno Mini Pepper Sauce, 2oz.",$3.00,$2.49,Iguana Sauces,https://www.hotsauce.com/iguana-vicious-jalapeno-mini-pepper-sauce/
"Iguana XXX Pretty Damn Hot Habanero Pepper Sauce, 5oz.",$6.50,$5.95,Iguana Sauces,https://www.hotsauce.com/iguana-xxx-pretty-damn-hot-habanero-pepper-sauce/
