name,priceNormal,priceWithoutax,branch,link
"Challenge 7 Pot Douglah Trinidad Scorpion Pepper Plant - 2,000,000 SHU",$6.50,$5.95,Magic Plant Farms,https://www.hotsauce.com/Challenge-Moruga-Scorpion-Pepper-Plant/
"Challenge Chocolate Habanero Pepper Chili Plant - 500,000 SHU",$6.50,$5.95,Magic Plant Farms,https://www.hotsauce.com/challenge-chocolate-habanero-pepper-chili-plant/
"Challenge Ghost Chili Magic Plant - 1,000,000 SHU",$6.50,$5.95,Magic Plant Farms,https://www.hotsauce.com/challenge-ghost-chili-magic-plant/
"Challenge Jay's Red Ghost Scorpion Pepper Plant - 800,000 SHU",$6.50,$5.95,Magic Plant Farms,https://www.hotsauce.com/challenge-jays-red-ghost-scorpion-pepper-plant/
"Challenge Peach Ghost Chili Pepper Plant - 1,000,000 SHU",$6.50,$5.95,Magic Plant Farms,https://www.hotsauce.com/challenge-peach-ghost-chili-pepper-plant/
"Challenge Peruvian White Habanero Pepper Plant - 350,000 SHU",$6.50,$5.95,Magic Plant Farms,https://www.hotsauce.com/challenge-peruvian-white-habanero-pepper-plant/
"Challenge Red Scotch Bonnet Pepper Plant - 350,000 SHU",$6.50,$5.95,Magic Plant Farms,https://www.hotsauce.com/challenge-red-scotch-bonnet-pepper-plant/
"Challenge Scorpion Pepper Magic Plant - 1,400,000 SHU",$6.50,$5.95,Magic Plant Farms,https://www.hotsauce.com/challenge-scorpion-pepper-magic-plant/
"Challenge Yellow Fatalii Pepper Plant - 300,000 SHU",$6.50,$5.95,Magic Plant Farms,https://www.hotsauce.com/challenge-yellow-fatalii-pepper-plant/
"Challenge Yellow Scotch Bonnet Pepper Plant - 350,000 SHU",$6.50,$5.95,Magic Plant Farms,https://www.hotsauce.com/challenge-yellow-scotch-bonnet-pepper-plant-350-000-shu/
"Magic Pepper Plants Gift Set, 3/Pepper Plants",$19.50,$17.85,Magic Plant Farms,https://www.hotsauce.com/magic-pepper-plants-gift-set-3-pepper-plants/
"Magic Plant Farms Carolina Reaper Mash Puree, 9oz.",$11.00,$9.95,Magic Plant Farms,https://www.hotsauce.com/magic-plant-farms-carolina-reaper-mash-puree/
"Magic Plant Farms Ghost Pepper Mash Puree, 9oz.",$11.00,$9.95,Magic Plant Farms,https://www.hotsauce.com/magic-plant-farms-ghost-pepper-mash/
"Magic Plant Farms Scorpion Pepper Mash Puree, 9oz.",$11.00,$9.95,Magic Plant Farms,https://www.hotsauce.com/magic-plant-farms-scorpion-pepper-mash-puree/
"Magic Plants Mash Puree Gift Set, 3/9oz.",$33.00,$29.85,Magic Plant Farms,https://www.hotsauce.com/magic-plants-mash-puree-gift-set/
