Name,Price,Price witout Tax,Brand,Link
"Maui Pepper Sauces Complete Gift Set, 9/5oz.",$54.00,$52.55,Maui Pepper,https://www.hotsauce.com/maui-pepper-sauces-complete-gift-set/
"Tahiti Joe's Maui Pepper Apples Ass Hot Sauce, 5oz.",$6.50,$5.95,Maui Pepper,https://www.hotsauce.com/tahiti-joes-maui-pepper-apples-ass-hot-sauce/
"Tahiti Joe's Maui Pepper Chipotle Raspberry Mango Hot Sauce, 5oz.",$6.50,$5.95,Maui Pepper,https://www.hotsauce.com/tahiti-joes-maui-pepper-chipotle-raspberry-mango-hot-sauce/
"Tahiti Joe's Maui Pepper Hot Sauces 4 Pack, 4/5oz.",$24.00,$23.80,Maui Pepper,https://www.hotsauce.com/tahiti-joes-maui-pepper-hot-sauces-4-pack/
"Tahiti Joe's Maui Pepper Mango Meltdown Medium Heat, 5oz.",$6.50,$5.95,Maui Pepper,https://www.hotsauce.com/tahiti-joes-maui-pepper-mango-meltdown-medium-heat/
"Tahiti Joe's Maui Pepper Mango Meltdown X-Treme Heat, 5oz.",$6.50,$5.95,Maui Pepper,https://www.hotsauce.com/tahiti-joes-maui-pepper-mango-meltdown-x-treme-heat/
"Tahiti Joe's Maui Pepper Mangonesian Hot Sauce, 5oz.",$6.50,$5.95,Maui Pepper,https://www.hotsauce.com/tahiti-joes-maui-pepper-mangonesian-hot-sauce/
"Tahiti Joe's Maui Pepper Pinapple Salsa 2 Pack, 2/12oz.",$12.00,$11.90,Maui Pepper,https://www.hotsauce.com/tahiti-joes-maui-pepper-pinapple-salsa-set/
"Tahiti Joe's Maui Pepper Strawberry Meltdown Hot Sauce, 5oz.",$6.50,$5.95,Maui Pepper,https://www.hotsauce.com/tahiti-joes-maui-pepper-strawberry-meltdown-hot-sauce/
"Tahiti Joe's Maui Pepper Sunset Salsa Pineapple - Hot, 12oz.",$6.50,$5.95,Maui Pepper,https://www.hotsauce.com/tahiti-joes-maui-pepper-hot-sunset-pineapple-salsa/
