Name,Price,Price witout Tax,Brand,Link
"Da Bomb Beyond Insanity Hot Sauce, 4oz.",$17.00,$14.95,Da Bomb,https://www.hotsauce.com/da-bomb-beyond-insanity-hot-sauce/
"Da Bomb Ghost Pepper Hot Sauce, 4oz.",$19.50,$14.95,Da Bomb,https://www.hotsauce.com/da-bomb-ghost-pepper-hot-sauce/
"Da Bomb Ghost Pepper Salsa, 15.5oz.",$9.50,$8.95,Da Bomb,https://www.hotsauce.com/da-bomb-ghost-pepper-salsa/
"Da Bomb Green Habanero Salsa Verde, 15.5oz.",$8.50,$7.95,Da Bomb,https://www.hotsauce.com/da-bomb-green-habanero-salsa-verde/
"Da Bomb Ground Zero Hot Sauce, 4oz.",$21.50,$17.95,Da Bomb,https://www.hotsauce.com/da-bomb-ground-zero-hot-sauce/
"Da Bomb Hottest Hot Extracts Gift Set, 2/4oz., 1/2 oz.",$103.00,$86.85,Da Bomb,https://www.hotsauce.com/da-bomb-hottest-hot-extracts-gift-set/
"Da Bomb Jolokia Ghost Snacks Gift Set, 8oz, 4oz, 15.5oz.",$39.00,$32.85,Da Bomb,https://www.hotsauce.com/da-bomb-jolokia-ghost-snacks-gift-set/
"Da Bomb Scorpion Garlic Salsa, 15.5oz.",$10.00,$8.49,Da Bomb,https://www.hotsauce.com/da-bomb-scorpion-garlic-salsa/
"Da Bomb The Final Answer Extract, 2oz.",$65.00,$53.95,Da Bomb,https://www.hotsauce.com/da-bomb-the-final-answer-extract/
"Da Bomb Ultimate Sauce & Extracts Gift Set, 3/4oz., 1/2 oz.",$122.50,$101.80,Da Bomb,https://www.hotsauce.com/da-bomb-ultimate-sauce-extracts-gift-set/
"Fiesta Artichoke & Spinach Party Dip, 16.5oz.",$9.00,$7.95,Original Juan,https://www.hotsauce.com/fiesta-artichoke-spinach-party-dip/
"Fiesta Very Berry Chipotle Sauce, 12.5oz.",$10.00,$8.95,Original Juan,https://www.hotsauce.com/fiesta-three-berry-chipotle-sauce/
"Fire and Spice All Natural Hot Sauce, 7oz.",$8.50,$7.95,Original Juan,https://www.hotsauce.com/fire-and-spice-all-natural-hot-sauce/
"PAIN 100% Hot Sauce, 7oz.",$13.00,$10.75,Original Juan,https://www.hotsauce.com/pain-100-hot-sauce/
"Pain is Good #37 Honey Habanero Screamin' Wing Sauce, 13.5oz.",$10.50,$9.95,Pain Is Good,https://www.hotsauce.com/pain-is-good-37-honey-habanero-screamin-wing-sauce/
"Pain Is Good Batch #114 Jamaican Style Hot Sauce, 7oz.",$13.00,$10.49,Pain Is Good,https://www.hotsauce.com/pain-is-good-batch-114-jamaican-style-hot-sauce/
"Pain is Good Batch #114 Salsa, 15.5oz.",$7.50,$6.95,Pain Is Good,https://www.hotsauce.com/pain-is-good-batch-114-salsa/
"Pain Is Good Batch #218 Louisiana Style, 7oz.",$13.00,$10.49,Pain Is Good,https://www.hotsauce.com/pain-is-good-batch-218-louisiana-style-hot-sauce/
"Pain is Good Batch #218 Salsa, 15.5oz.",$10.50,$9.95,Pain Is Good,https://www.hotsauce.com/pain-is-good-batch-218-salsa/
"Pain Is Good Batch #37 Garlic Style Hot Sauce, 7oz.",$13.00,$10.49,Pain Is Good,https://www.hotsauce.com/pain-is-good-batch-37-garlic-style-hot-sauce/
"Pain Is Good Batch #37 Habanero Garlic Salsa, 15.5oz.",$7.50,$6.95,Pain Is Good,https://www.hotsauce.com/pain-is-good-batch-37-habanero-garlic-salsa/
"Pain is Good Harissa Hot Sauce, 7oz.",$13.00,$10.49,Pain Is Good,https://www.hotsauce.com/Pain-Is-Good-Harissa-Hot-Sauce/
"Pain Is Good Original 3 Gift Set, 3/6.75oz.",$36.50,$31.47,Pain Is Good,https://www.hotsauce.com/pain-is-good-original-3-gift-set/
"Raw Heat Vintage 69' Hot Sauce, 7.5oz.",$8.50,$7.95,Original Juan,https://www.hotsauce.com/raw-heat-vintage-69-hot-sauce/
