name,priceNormal,priceWithoutax,branch,link
"Stubb's Bar-B-Q Spice Rub, 4.62oz.",$9.50,$7.95,Stubbs,https://www.hotsauce.com/stubbs-bbq-spice-rub/
"Stubb's BBQ Rubs Gift Set, 4/2oz, 1/4.62oz.",$35.50,$31.75,Stubbs,https://www.hotsauce.com/Stubbs-Bbq-Rubs-Gift-Set/
"Stubb's Beef Marinade, 12oz.",$6.50,$5.95,Stubbs,https://www.hotsauce.com/stubbs-beef-marinade/
"Stubb's Beef Spice Rub, 2oz.",$6.50,$5.95,Stubbs,https://www.hotsauce.com/stubbs-beef-spice-rub/
"Stubb's Chicken Marinade, 12oz.",$7.00,$6.49,Stubbs,https://www.hotsauce.com/stubbs-chicken-marinade/
"Stubb's Chicken Spice Rub, 5.04oz.",$6.50,$5.95,Stubbs,https://www.hotsauce.com/stubbs-chicken-spice-rub/
"Stubb's Dr. Pepper Anytime Sauce, 12oz.",$7.00,$6.49,Stubbs,https://www.hotsauce.com/stubbs-dr-pepper-anytime-sauce/
"Stubb's Dr. Pepper Legendary Bar-B-Q Sauce, 18oz.",$7.00,$6.49,Stubbs,https://www.hotsauce.com/stubbs-dr-pepper-bbq-sauce/
"Stubb's Green Chile Anytime Marinade Sauce, 12oz.",$7.00,$6.49,Stubbs,https://www.hotsauce.com/stubbs-green-chile-marinade/
"Stubb's Hickory Bourbon Legendary Bar-B-Q Sauce, 18oz.",$6.50,$5.95,Stubbs,https://www.hotsauce.com/stubbs-hickory-bourbon-bbq-sauce/
"Stubb's Hickory Liquid Smoke, 5oz.",$3.50,$2.95,Stubbs,https://www.hotsauce.com/stubbs-hickory-liquid-smoke/
"Stubb's Mesquite Liquid Smoke, 5oz.",$4.50,$3.95,Stubbs,https://www.hotsauce.com/stubbs-mesquite-liquid-smoke/
"Stubb's Moppin' Sauce Bar-B-Q Baste, 12oz.",$7.00,$6.49,Stubbs,https://www.hotsauce.com/stubbs-moppin-sauce/
"Stubb's Original BBQ Sauce Gift Set, 4/18oz.",$26.00,$23.80,Stubbs,https://www.hotsauce.com/stubbs-original-bbq-sauce-gift-set/
"Stubb's Original Legendary Bar-B-Q Sauce, 18oz.",$6.50,$5.95,Stubbs,https://www.hotsauce.com/stubbs-original-bbq-sauce/
"Stubb's Original Marinade Sauces Gift Set, 4/12oz.",$26.00,$24.88,Stubbs,https://www.hotsauce.com/stubbs-original-marinade-sauces-gift-set/
"Stubb's Original Wicked Habanero Pepper Wing Sauce, 12oz.",$6.50,$5.95,Stubbs,https://www.hotsauce.com/stubbs-wing-sauce/
"Stubb's Pork Marinade, 12oz.",$6.50,$5.95,Stubbs,https://www.hotsauce.com/stubbs-pork-marinade/
"Stubb's Pork Spice Rub, 5.07oz.",$6.50,$5.95,Stubbs,https://www.hotsauce.com/stubbs-pork-spice-rub/
"Stubb's Smokey Mesquite Legendary Bar-B-Q Sauce, 18oz.",$6.50,$5.95,Stubbs,https://www.hotsauce.com/stubbs-smokey-mesquite-bbq-sauce/
"Stubb's Spicy Legendary Bar-B-Q Sauce, 18oz.",$6.50,$5.95,Stubbs,https://www.hotsauce.com/stubbs-spicy-bbq-sauce/
"Stubb's Sweet BBQ Sauce Gift Set, 3/18oz.",$20.00,$19.39,Stubbs,https://www.hotsauce.com/stubbs-sweet-bbq-sauce-gift-set/
"Stubb's Sweet Heat Legendary Bar-B-Q Sauce, 18oz.",$7.50,$6.95,Stubbs,https://www.hotsauce.com/stubbs-sweet-heat-bbq-sauce/
"Stubb's Sweet Honey N Spice Legendary Bar-B-Q Sauce, 18oz.",$6.50,$5.95,Stubbs,https://www.hotsauce.com/Stubbs-Sweet-Honey-N-Spice-Bar-B-Q-Sauce/
