name,priceNormal,priceWithoutax,branch,link
"TABASCO 2018 Limited Edition 150 Years Diamond Reserve, 6oz. (VERY LIMITED - EDITION)",NONE,$174.95,Tabasco,https://www.hotsauce.com/tabasco-2018-limited-edition-150-years-diamond-reserve/
"Tabasco Raspberry Chipotle Hot Sauce, 5oz.",$11.00,$8.95,Tabasco,https://www.hotsauce.com/tabasco-raspberry-chipotle-hot-sauce/
"Tabasco Sriracha Sauce, 20oz.",$9.00,$7.95,Tabasco,https://www.hotsauce.com/tabasco-sriracha-sauce/
"TABASCO® Avery Island 2008 Limited Edition Reserve, 5oz. (SOLD OUT!)",NONE,$149.00,Tabasco,https://www.hotsauce.com/tabasco-avery-island-2008-limited-edition-reserve/
"TABASCO® Avery Island 2011 Limited Edition Reserve, 5oz. (SOLD OUT!)",NONE,$149.00,Tabasco,https://www.hotsauce.com/tabasco-avery-island-2011-limited-edition-reserve/
"TABASCO® Buffalo Style Hot Sauce, 5oz.",$9.00,$7.95,Tabasco,https://www.hotsauce.com/tabasco-buffalo-style-hot-sauce/
"TABASCO® Cayenne Garlic Pepper Sauce, 5oz.",$7.50,$5.95,Tabasco,https://www.hotsauce.com/tabasco-garlic-pepper-sauce/
"TABASCO® Chipotle Pepper Sauce, 5oz.",$7.50,$5.95,Tabasco,https://www.hotsauce.com/tabasco-chipotle-pepper-sauce/
"TABASCO® Green Pepper Sauce, 5oz.",$7.50,$5.95,Tabasco,https://www.hotsauce.com/tabasco-green-pepper-sauce/
"TABASCO® Habanero Okra and Dill Gift Set, 2/12oz, 1/5oz.",$25.50,$22.39,Tabasco,https://www.hotsauce.com/tabasco-habanero-okra-and-dill-gift-set/
"TABASCO® Habanero Sauce, 5oz.",$10.00,$7.95,Tabasco,https://www.hotsauce.com/tabasco-habanero-pepper-sauce/
TABASCO® Orig 1950s Fused Label Glass Military Bottle - 3oz. (SOLD OUT!),NONE,$0.00,Tabasco,https://www.hotsauce.com/tabasco-orig-1950s-fused-label-glass-military-bottle/
"TABASCO® Pepper Sauce Man's 4 Pack, 4/5oz.",$32.50,$21.85,Tabasco,https://www.hotsauce.com/tabasco-pepper-sauce-mans-4-pack/
"TABASCO® Pepper Sauce Ultimate Gift Set, 7/5oz.",$55.00,$45.65,Tabasco,https://www.hotsauce.com/tabasco-pepper-sauce-ultimate-gift-set/
"TABASCO® Red Pepper Sauce, 5oz.",$7.50,$5.95,Tabasco,https://www.hotsauce.com/tabasco-red-pepper-sauce/
"TABASCO® Spicy Garlic Dill Pickles, 12oz.",$7.00,$6.49,Tabasco,https://www.hotsauce.com/tabasco-spicy-garlic-dill-pickles/
"TABASCO® Spicy Pickled Okra, 12oz.",$8.50,$7.95,Tabasco,https://www.hotsauce.com/tabasco-spicy-pickled-okra/
