Name,Price,Price witout Tax,Brand,Link
"Maui Pepper Sauces Complete Gift Set, 9/5oz.",$54.00,$52.55,Maui Pepper,https://www.hotsauce.com/maui-pepper-sauces-complete-gift-set/
"Tahiti Joe's Ahi Of Kahuna XX Hot Sauce, 5oz.",$6.50,$5.95,Tahiti Joes,https://www.hotsauce.com/tahiti-joes-ahi-of-kahuna-xx-hot-sauce/
"Tahiti Joe's Hot Sauce Complete Gift Set, 12/5oz.",$78.50,$69.40,Tahiti Joes,https://www.hotsauce.com/tahiti-joes-hot-sauce-complete-gift-set/
"Tahiti Joe's Killer Garlic XXX Pepper Sauce, 5oz.",$6.50,$5.95,Tahiti Joes,https://www.hotsauce.com/tahiti-joes-killer-garlic-xxx-pepper-sauce/
"Tahiti Joe's Maui Pepper Apples Ass Hot Sauce, 5oz.",$6.50,$5.95,Maui Pepper,https://www.hotsauce.com/tahiti-joes-maui-pepper-apples-ass-hot-sauce/
"Tahiti Joe's Maui Pepper Chipotle Raspberry Mango Hot Sauce, 5oz.",$6.50,$5.95,Maui Pepper,https://www.hotsauce.com/tahiti-joes-maui-pepper-chipotle-raspberry-mango-hot-sauce/
"Tahiti Joe's Maui Pepper Hot Sauces 4 Pack, 4/5oz.",$24.00,$23.80,Maui Pepper,https://www.hotsauce.com/tahiti-joes-maui-pepper-hot-sauces-4-pack/
"Tahiti Joe's Maui Pepper Mango Meltdown Medium Heat, 5oz.",$6.50,$5.95,Maui Pepper,https://www.hotsauce.com/tahiti-joes-maui-pepper-mango-meltdown-medium-heat/
"Tahiti Joe's Maui Pepper Mango Meltdown X-Treme Heat, 5oz.",$6.50,$5.95,Maui Pepper,https://www.hotsauce.com/tahiti-joes-maui-pepper-mango-meltdown-x-treme-heat/
"Tahiti Joe's Maui Pepper Mangonesian Hot Sauce, 5oz.",$6.50,$5.95,Maui Pepper,https://www.hotsauce.com/tahiti-joes-maui-pepper-mangonesian-hot-sauce/
"Tahiti Joe's Maui Pepper Pinapple Salsa 2 Pack, 2/12oz.",$12.00,$11.90,Maui Pepper,https://www.hotsauce.com/tahiti-joes-maui-pepper-pinapple-salsa-set/
"Tahiti Joe's Maui Pepper Strawberry Meltdown Hot Sauce, 5oz.",$6.50,$5.95,Maui Pepper,https://www.hotsauce.com/tahiti-joes-maui-pepper-strawberry-meltdown-hot-sauce/
"Tahiti Joe's Maui Pepper Sunset Salsa Pineapple - Hot, 12oz.",$6.50,$5.95,Maui Pepper,https://www.hotsauce.com/tahiti-joes-maui-pepper-hot-sunset-pineapple-salsa/
"Tahiti Joe's Maui Pepper Sunset Salsa Pineapple - Medium, 12oz.",$6.50,$5.95,Maui Pepper,https://www.hotsauce.com/tahiti-joes-maui-pepper-medium-sunset-pineapple-salsa/
"Tahiti Joe's Onionator XXX Ghost Pepper Hot Sauce, 5oz.",$7.50,$6.95,Tahiti Joes,https://www.hotsauce.com/tahiti-joes-onionator-xxx-ghost-pepper-hot-sauce/
"Tahiti Joe's Polynesian Hot Sauce (Heat With Flavor), 5oz.",$6.50,$5.95,Tahiti Joes,https://www.hotsauce.com/tahiti-joes-polynesian-hot-sauce-heat-with-flavor/
"Tahiti Joe's Super Six Pack Gift Set, 6/5oz.",$36.00,$35.70,Tahiti Joes,https://www.hotsauce.com/tahiti-joes-super-six-pack-gift-set/
"Tahiti Joe's Tropi Garlic Hot Sauce, Italian Heat, 5oz.",$6.50,$5.95,Tahiti Joes,https://www.hotsauce.com/tahiti-joes-tropi-garlic-hot-sauce-italian-heat/
