name,priceNormal,priceWithoutax,branch,link
"Best of Carolina Reaper Gift Set #1, 3/5oz.",$43.50,$39.85,HotSauce,https://www.hotsauce.com/Best-Of-Carolina-Reaper-Gift-Set/
"Da Bomb Beyond Insanity and Torchbearer Garlic Reaper Hot Sauce Bundle, 5oz, 4oz.",$34.50,$31.90,Torchbearer,https://www.hotsauce.com/Da-Bomb-Beyond-Insanity-And-Torchbearer-Garlic-Reaper-Hot-Sauce-Bundle/
"The Evil Reaper Bastards Hot Sauce Set, 2/5oz.",$34.00,$27.35,Torchbearer,https://www.hotsauce.com/The-Evil-Reaper-Bastards-Hot-Sauce-Set/
"Torchbearer All Natural #37 Tarnation XX Hot Sauce, 5oz.",$9.50,$8.95,Torchbearer,https://www.hotsauce.com/torchbearer-all-natural-37-tarnation-xx-hot-sauce/
"Torchbearer All Natural #7 Sultry Spicy Hot Sauce, 5oz.",$8.00,$7.49,Torchbearer,https://www.hotsauce.com/torchbearer-all-natural-7-sultry-spicy-hot-sauce/
"Torchbearer All Natural Zombie Apocalypse Hot Sauce, 5oz.",$22.50,$21.95,Torchbearer,https://www.hotsauce.com/torchbearer-all-natural-zombie-apocalypse-hot-sauce/
"Torchbearer Carolina-Style BBQ Sauce, 12oz.",$8.00,$7.49,Torchbearer,https://www.hotsauce.com/torchbearer-carolina-style-bbq-sauce/
"Torchbearer Chipotle BBQ Sauce, 12oz.",$8.00,$7.49,Torchbearer,https://www.hotsauce.com/torchbearer-chipotle-bbq-sauce/
"Torchbearer Fruity Tangy Spicy BBQ Sauces Gift Pack, 3/12oz.",$24.00,$22.47,Torchbearer,https://www.hotsauce.com/Torchbearer-BBQ-Sauces-Gift-Pack/
"Torchbearer Garlic Carolina Reaper Hot Sauce, 5oz.",$18.00,$16.95,Torchbearer,https://www.hotsauce.com/Torchbearer-Garlic-Carolina-Reaper-Hot-Sauce/
"Torchbearer Honey Mustard Sauce, 12oz.",$8.50,$7.95,Torchbearer,https://www.hotsauce.com/torchbearer-honey-mustard-sauce/
"Torchbearer Hottest Sauces Zombie Reaper Gift Set, 4/5oz.",$88.50,$77.80,Torchbearer,https://www.hotsauce.com/Torchbearer-Hottest-Sauces-Zombie-Reaper-Gift-Set/
"Torchbearer Oh My Garlic! Sauce, 12oz.",$8.00,$7.49,Torchbearer,https://www.hotsauce.com/Torchbearer-Oh-My-Garlic-Sauce/
"Torchbearer Pineapple Papaya BBQ Sauce, 12oz.",$8.00,$7.49,Torchbearer,https://www.hotsauce.com/torchbearer-pineapple-papaya-bbq-sauce/
"Torchbearer Reaper Evil Hot Sauce, 5oz.",$20.00,$17.95,Torchbearer,https://www.hotsauce.com/Torchbearer-Reaper-Evil-Hot-Sauce/
"Torchbearer Slaughter XXX Hot Sauce, 5oz.",$9.50,$8.95,Torchbearer,https://www.hotsauce.com/torchbearer-slaughter-xxx-hot-sauce/
"Torchbearer Smokey Horseradish Sauce, 12oz.",$9.50,$8.95,Torchbearer,https://www.hotsauce.com/torchbearer-smokey-horseradish-sauce/
"Torchbearer Son of Zombie Wing Sauce, 5oz.",$13.00,$10.95,Torchbearer,https://www.hotsauce.com/Torchbearer-Son-Of-Zombie-Wing-Sauce/
"Torchbearer The Rapture Deadly Hot Sauce, 5oz.",$22.50,$19.95,Torchbearer,https://www.hotsauce.com/torchbearer-the-rapture-deadly-hot-sauce/
"Torchbearer Ultimate Annihilation Sauce, 5oz.",$22.50,$17.95,Torchbearer,https://www.hotsauce.com/torchbearer-ultimate-annihilation-sauce/
