name,priceNormal,priceWithoutax,branch,link
"WalkersWood Hot Jamaican Scotch Bonnet, 6oz.",$6.50,$5.95,WalkersWood,https://www.hotsauce.com/walkerswood-hot-jamaican-scotch-bonnet/
"WalkersWood Hottest Sauces Gift Set, 2/6oz, 10oz.",$19.50,$18.39,WalkersWood,https://www.hotsauce.com/walkerswood-hottest-sauces-gift-set/
"WalkersWood Jamaican Jerk Seasoning, 9.25lb.",$79.00,$64.95,WalkersWood,https://www.hotsauce.com/walkerswood-jamaican-jerk-seasoning/
"WalkersWood Las'Lick Jerk Sauce, 6oz.",$5.50,$4.95,WalkersWood,https://www.hotsauce.com/walkerswood-laslick-jerk-sauce/
"WalkersWood Mild Jerk Seasoning, 10oz.",$7.50,$6.95,WalkersWood,https://www.hotsauce.com/walkerswood-mild-jerk-seasoning/
"WalkersWood One Stop Savory Sauce, 6oz.",$4.50,$3.95,WalkersWood,https://www.hotsauce.com/walkerswood-one-stop-savory-sauce/
"WalkersWood Sauces Gift Set, 4/6oz.",$21.50,$19.80,WalkersWood,https://www.hotsauce.com/walkerswood-sauces-gift-set/
"WalkersWood Seriously Hot Jonkanoo, 6oz.",$5.50,$4.95,WalkersWood,https://www.hotsauce.com/walkerswood-seriously-hot-jonkanoo-sauce/
"WalkersWood Spicy Jamaican Jerk Barbecue Sauce, 17oz.",$11.00,$9.95,WalkersWood,https://www.hotsauce.com/walkerswood-spicy-jamaican-jerk-barbecue-sauce/
"WalkersWood Spicy Jamaican Jerk Marinade, 17oz.",$11.00,$9.95,WalkersWood,https://www.hotsauce.com/walkerswood-spicy-jamaican-jerk-marinade/
"WalkersWood Totally Jerk Gift Set, 10oz, 2/17oz.",$27.50,$27.39,WalkersWood,https://www.hotsauce.com/walkerswood-totally-jerk-gift-set/
"WalkersWood Traditional Jerk Seasoning Hot & Spicy, 10oz.",$8.00,$7.49,WalkersWood,https://www.hotsauce.com/walkerswood-traditional-jerk-seasoning-hot-spicy/
