Name,Price,Price witout Tax,Brand,Link
"1 Million Scoville Concentrated Pepper Extract, 5oz.",$34.00,$24.95,Artifact Burn Extracts,https://www.hotsauce.com/1-Million-Scoville-Concentrated-Pepper-Extract/
"Ass in the E.R. Scorpion Pepper Sauce, 5oz.",$10.00,$8.95,Ass In The Tub,https://www.hotsauce.com/ass-in-the-e-r-scorpion-pepper-sauce/
"Ass Kickin Carolina Reaper Hot Sauce, 5oz.",$11.00,$9.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-carolina-reaper-hot-sauce/
"Ass Kickin Chile Lime Popcorn, 3.5oz.",$3.00,$2.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-chile-lime-popcorn/
"Bee Sting Rainforest Honey Papaya Mustard Hot Sauce, 5oz.",$6.50,$5.95,Bee Sting,https://www.hotsauce.com/bee-sting-rainforest-honey-mustard-hot-sauce/
"Blair's Original Death Sauce with Chipotle, 5oz.",$12.00,$10.95,Blairs Sauces,https://www.hotsauce.com/blairs-original-death-sauce-with-chipotle/
"Bravado Spice Co Ghost Pepper Blueberry Hot Sauce, 5oz.",$9.00,$7.95,Bravado Spice Co,https://www.hotsauce.com/bravado-spice-co-ghost-pepper-blueberry-hot-sauce/
"Bravado Spice Co. Aka Miso Ghost Reaper Hot Sauce, 5oz.",$14.00,$11.95,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Aka-Miso-Ghost-Reaper-Hot-Sauce/
"Bravado Spice Co. Ancho Masala Scorpion Reaper Hot Sauce, 5oz.",$14.00,$12.49,Bravado Spice Co,https://www.hotsauce.com/Bravado-Cpice-Co-Ancho-Masala-Scorpion-Reaper-Hot-Sauce/
"Bravado Spice Co. Black Garlic Carolina Reaper Hot Sauce, 5oz.",$14.00,$12.49,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Black-Garlic-Carolina-Reaper-Hot-Sauce/
"Burns & McCoy Excubiarium Salsa Verde Hot Sauce, 5oz.",$13.50,$11.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Excubiarium-Salsa-Verde-Hot-Sauce/
"Burns & McCoy Exhorresco 7 Pot Primo Hot Sauce, 5oz.",$14.00,$12.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Exhorresco-7-Pot-Primo-Hot-Sauce/
"Burns & McCoy Reaper Verde Hot Sauce, 5oz.",$10.00,$7.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Verde-Hot-Sauce/
"CaJohn's Black Cherry Vanilla Hot Sauce, 5oz.",$10.00,$8.49,CaJohns,https://www.hotsauce.com/cajohns-black-cherry-vanilla-hot-sauce/
"CaJohn's Black Garlic Hot Sauce, 5oz.",$10.00,$8.95,CaJohns,https://www.hotsauce.com/CaJohns-Black-Garlic-Hot-Sauce/
"CaJohn's Cerberus Hot Sauce, 5oz.",$15.00,$13.95,CaJohns,https://www.hotsauce.com/Cajohns-Cerberus-Hot-Sauce/
"CaJohn's Get Bitten Black Mamba 6 Hot Sauce, 2oz.",$20.00,$17.95,CaJohns,https://www.hotsauce.com/cajohns-get-bitten-black-mamba-6-hot-sauce/
"CaJohn's Trouble Bubble Gum with Pure 16 Million, 5g.",$20.00,$15.95,CaJohns,https://www.hotsauce.com/Cajohns-Trouble-Bubble-Gum-With-Pure-16-Million/
"Da Bomb Beyond Insanity Hot Sauce, 4oz.",$17.00,$14.95,Da Bomb,https://www.hotsauce.com/da-bomb-beyond-insanity-hot-sauce/
"Da Bomb Ground Zero Hot Sauce, 4oz.",$21.50,$17.95,Da Bomb,https://www.hotsauce.com/da-bomb-ground-zero-hot-sauce/
"Dave's (NEW) Ghost Pepper Naga Jolokia Hot Sauce, 5oz.",$10.50,$9.95,Daves Gourmet,https://www.hotsauce.com/daves-ghost-pepper-naga-jolokia-hot-sauce/
"El Yucateco Black Label Reserve Chile Habanero, 4oz.",$5.50,$4.95,El Yucateco,https://www.hotsauce.com/El-Yucateco-Black-Label-Reserve-Chile-Habanero/
"ELijah's Xtreme Reaper Sauce, 5oz.",$11.00,$9.95,ELijahs Xtreme,https://www.hotsauce.com/elijahs-xtreme-reaper-sauce/
"Georgia Peach Vidalia Onion Hot Sauce with Red Velvet Top, 5oz.",$7.50,$6.95,HotSauce,https://www.hotsauce.com/georgia-peach-vidalia-onion-hot-sauce-red-velvet-top/
"Heartbreaking Dawns Papa Boi Caribbean Scotch Bonnet Hot Sauce, 5oz.",$7.50,$6.95,Heartbreaking Dawns,https://www.hotsauce.com/heartbreaking-dawns-papa-boi-caribbean-scotch-bonnet-sauce/
"Hellfire Blueberry Hell Hot Sauce, 5oz.",$10.50,$9.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-blueberry-hell-hot-sauce/
"Hellfire Evil Bastard Hot Sauce, 5oz.",$14.00,$11.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-evil-bastard-hot-sauce/
"Hellfire Fear This! Reaper Hot Sauce, 5oz.",$16.00,$14.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-fear-this-reaper-hot-sauce/
"Hellfire Fiery Fool Hot Sauce, 5oz.",$16.00,$13.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-fiery-fool-hot-sauce/
"High River Sauces Grapes of Wrath Hot Sauce, 5.4oz.",$10.00,$9.49,High River Sauces,https://www.hotsauce.com/high-river-sauces-grapes-of-wrath-hot-sauce/
"High River Sauces Hellacious Hot Sauce, 5.4oz.",$7.50,$6.95,High River Sauces,https://www.hotsauce.com/high-river-sauces-hellacious-hot-sauce/
"High River Sauces Rogue Hot Sauce, 5.4oz.",$11.00,$9.95,High River Sauces,https://www.hotsauce.com/high-river-sauces-rogue-hot-sauce/
"High River Sauces Tears of the Sun Hot Sauce, 5.4oz.",$7.50,$6.95,High River Sauces,https://www.hotsauce.com/high-river-sauces-tears-of-the-sun-hot-sauce/
"High River Sauces Thunder Juice Tequila Infused Hot Sauce, 5oz.",$11.50,$10.95,High River Sauces,https://www.hotsauce.com/High-River-Sauces-Thunder-Juice-Tequila-Infused-Hot-Sauce/
"Karma Sauce Extreme Karma Hot Sauce, 5oz.",$13.00,$12.49,Karma,https://www.hotsauce.com/karma-sauce-extreme-karma-hot-sauce/
"Marie Sharp's Beware Comatose Hot Sauce, 5oz.",$6.50,$5.95,Marie Sharps,https://www.hotsauce.com/marie-sharps-beware-comatose-hot-sauce-5oz/
"Melinda's (NEW) Scorpion Pepper Sauce, 5oz.",$10.00,$7.95,Melinda's,https://www.hotsauce.com/Melindas-Scorpion-Pepper-Sauce/
"Melinda's Chipotle Habanero Hot Sauce, 5oz.",$6.50,$5.95,Melinda's,https://www.hotsauce.com/melindas-chipotle-habanero-hot-sauce/
"Nuckin Futs Hot Sauce, 5oz.",$9.50,$8.95,HotSauce,https://www.hotsauce.com/nuckin-futs-hot-sauce/
