name,priceNormal,priceWithoutax,branch,link
"Red Flaming Chili Extract Bottle with Dropper, .5oz.",$4.00,$2.95,HotSauce,https://www.hotsauce.com/red-flaming-chili-extract-bottle-with-dropper-1/2oz/
"Rose GOLD Chili Extract Bottle with Dropper, 2oz.",$8.00,$4.95,HotSauce,https://www.hotsauce.com/Rose-Gold-Chili-Extract-Bottle-With-Dropper-2oz/
"16 Million Natural PURE Capsaicin Crystals, 1 Gram, 1.7ml, Kit.",$39.00,$24.95,HotSauce,https://www.hotsauce.com/16-million-pure-capsaicin-crystals-2ml/
"16 Million PURE Capsaicin Crystals, 3 Grams, 5ml, Kit.",$59.00,$29.95,HotSauce,https://www.hotsauce.com/16-million-pure-capsaicin-crystals-5ml/
"6 Million (SHU) Pure Capsicum Oleoresin Extract, .5oz. Kit.",$50.00,$34.95,HotSauce,https://www.hotsauce.com/6-million-shu-pure-capsicum-oleoresin-extract-15ml/
"6 Million (SHU) Pure Capsicum Extract, 1oz. Kit.",$100.00,$64.95,HotSauce,https://www.hotsauce.com/6-million-shu-pure-capsicum-oleoresin-extract-30ml/
"16 Million PURE Capsaicin Crystals, 6 Grams, 10ml, Kit.",$79.00,$74.95,HotSauce,https://www.hotsauce.com/16-Million-Pure-Capsaicin-Crystals-10ml/
"9 Million (SHU) Pure Capsicum Extract, 1oz. Kit.",$125.00,$79.95,HotSauce,https://www.hotsauce.com/9-Million-SHU-Pure-Capsicum-Oleoresin-Extract-1oz-Kit/
"16 Million PURE Capsaicin Crystals, 9 Gram, 15ml, Kit.",$99.00,$89.00,HotSauce,https://www.hotsauce.com/16-million-pure-capsaicin-crystals-15ml/
"16 Million PURE Capsaicin Crystals, 12 Grams, 20ml, Kit.",$149.00,$125.00,HotSauce,https://www.hotsauce.com/16-million-pure-capsaicin-crystals-20ml/
"16 Million PURE Capsaicin Crystals, 50 Grams.",$225.00,$175.00,HotSauce,https://www.hotsauce.com/16-Million-Pure-Capsaicin-Crystals-50-Grams/
"16 Million PURE Capsaicin Crystals, 100 Grams.",$375.00,$295.00,HotSauce,https://www.hotsauce.com/16-Million-Pure-Capsaicin-Crystals-100-Grams/
"16 Million PURE Capsaicin Crystals, 250 Grams.",$795.00,$675.00,HotSauce,https://www.hotsauce.com/16-Million-Pure-Capsaicin-Crystals-250-Grams/
"16 Million PURE Capsaicin Crystals, 500 Grams.","$1,495.00","$1,250.00",HotSauce,https://www.hotsauce.com/16-Million-Pure-Capsaicin-Crystals-500-Grams/
"16 Million PURE Capsaicin Crystals, 1000 Grams / 1 Kilo.","$2,850.00","$2,450.00",HotSauce,https://www.hotsauce.com/16-Million-Pure-Capsaicin-Crystals-1000-Grams/
