name,priceNormal,priceWithoutax,branch,link
"Artifact ACUTE Burn 1 Million Scoville Pepper Extract, 1.7oz.",$40.00,$34.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-acute-burn-1-million-scoville-pepper-extract/
"Artifact EXTREME Burn 3 Million Scoville Pepper Extract, 1.7oz.",$60.00,$43.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-extreme-burn-3-million-scoville-pepper-extract/
"Artifact SEVERE Burn 2 Million Scoville Pepper Extract, 1.7oz.",$50.00,$39.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-severe-burn-2-million-scoville-pepper-extract/
"Ass Blaster Collector's Hot Sauce w/ Wooden Outhouse, 5oz.",$17.50,$14.95,Ass Kickin,https://www.hotsauce.com/ass-blaster-collectors-hot-sauce-wooden-outhouse/
"Ass in the Tub Special Reserve Armageddon Hot Sauce, 5oz.",$11.00,$9.95,Ass In The Tub,https://www.hotsauce.com/ass-in-the-tub-special-reserve-armageddon-hot-sauce/
"Blair's 2am Reserve Extract Signed (NEW 2nd EDITION), 2oz.",$43.00,$29.95,Blairs Sauces,https://www.hotsauce.com/blairs-2am-reserve-extract-signed-2nd-edition/
"Blair's 3am Reserve Extract Signed (NEW 2nd EDITION), 2oz.",$55.00,$46.95,Blairs Sauces,https://www.hotsauce.com/blairs-3am-reserve-extract-signed-2nd-edition/
"Blair's Beyond Death Hot Sauce, 5oz.",$18.00,$15.95,Blairs Sauces,https://www.hotsauce.com/blairs-beyond-death-hot-sauce/
"Blair's Ultimate Death Hot Sauce Collector's Rack, 16/5oz. (Sold Out)",$198.00,$179.00,Blairs Sauces,https://www.hotsauce.com/blairs-ultimate-death-hot-sauce-collectors-rack/
"Caboom! Ballistic Hot Sauce with Bullet Keychain, 5oz.",$12.00,$10.49,CaJohns,https://www.hotsauce.com/Caboom-Ballistic-Hot-Sauce-With-Bullet-Keychain/
"Caboom! High Velocity Hot Sauce with Bullet Keychain, 5oz.",$10.50,$9.95,CaJohns,https://www.hotsauce.com/Caboom-High-Velocity-Hot-Sauce-With-Bullet-Keychain/
"Caboom! Tracer Hot Sauce with Bullet Keychain, 5oz.",$11.00,$10.49,CaJohns,https://www.hotsauce.com/Caboom-Tracer-Hot-Sauce-With-Bullet-Keychain/
"CaJohn's NOLA Hot Sauce, 5oz.",$8.00,$7.49,CaJohns,https://www.hotsauce.com/Cajohns-Nola-Hot-Sauce/
"Day Of The Dead w/ Skeleton Keychain, 5oz.",$8.50,$7.95,Captain Thoms,https://www.hotsauce.com/day-of-the-dead-skeleton-keychain/
"Satan's Blood Chile Extract, 1.35oz.",$27.00,$19.95,HotSauce,https://www.hotsauce.com/satans-blood-chile-extract/
"Satan's Bloody Toe Torture Gift Set, .7oz, 1.35oz, 5.7oz.",$48.50,$38.39,HotSauce,https://www.hotsauce.com/Satans-Bloody-Toe-Torture-Gift-Set/
"Scariest Pepper Extracts Gift Set, 2oz, 1.35oz, 1.7oz.",$142.00,$110.85,HotSauce,https://www.hotsauce.com/Scariest-Pepper-Extracts-Gift-Set/
"Sturgis Habanero Hot Sauce, 5oz.",$6.50,$5.95,HotSauce,https://www.hotsauce.com/sturgis-habanero-hot-sauce/
"TABASCO 2018 Limited Edition 150 Years Diamond Reserve, 6oz. (VERY LIMITED - EDITION)",NONE,$174.95,Tabasco,https://www.hotsauce.com/tabasco-2018-limited-edition-150-years-diamond-reserve/
"The Source 7.1 Million Collectors Extract, 1oz.",$159.00,$124.95,Original Juan,https://www.hotsauce.com/the-source-7-million-collectors-extract/
"West African Voodoo Juice, 5oz.",$8.50,$7.95,Captain Thoms,https://www.hotsauce.com/west-african-voodoo-juice/
