name,priceNormal,priceWithoutax,branch,link
"1 Million Scoville Concentrated Pepper Extract, 5oz.",$34.00,$24.95,Artifact Burn Extracts,https://www.hotsauce.com/1-Million-Scoville-Concentrated-Pepper-Extract/
"16 Million PURE Capsaicin Crystals, 3 Grams, 5ml, Kit.",$59.00,$29.95,HotSauce,https://www.hotsauce.com/16-million-pure-capsaicin-crystals-5ml/
"16 Million PURE Capsaicin Crystals, 6 Grams, 10ml, Kit.",$79.00,$74.95,HotSauce,https://www.hotsauce.com/16-Million-Pure-Capsaicin-Crystals-10ml/
"9 Million (SHU) Pure Capsicum Extract, 1oz. Kit.",$125.00,$79.95,HotSauce,https://www.hotsauce.com/9-Million-SHU-Pure-Capsicum-Oleoresin-Extract-1oz-Kit/
"Alice Cooper Hot Sauce 3 Pack, 3/5oz.",$33.00,$30.00,Alice Cooper,https://www.hotsauce.com/Alice-Cooper-Hot-Sauce-3-Pack/
"Artifact ACUTE Burn 1 Million Scoville Pepper Extract, 1.7oz.",$40.00,$34.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-acute-burn-1-million-scoville-pepper-extract/
"Artifact EXTREME Burn 3 Million Scoville Pepper Extract, 1.7oz.",$60.00,$43.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-extreme-burn-3-million-scoville-pepper-extract/
"Bravado Spice Co. Aka Miso Ghost Reaper Hot Sauce, 5oz.",$14.00,$11.95,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Aka-Miso-Ghost-Reaper-Hot-Sauce/
"Bravado Spice Co. Ancho Masala Scorpion Reaper Hot Sauce, 5oz.",$14.00,$12.49,Bravado Spice Co,https://www.hotsauce.com/Bravado-Cpice-Co-Ancho-Masala-Scorpion-Reaper-Hot-Sauce/
"Bumblefoot's Bumblef**ked Hot Sauce, 5oz.",$10.50,$9.95,Bumblefoot's,https://www.hotsauce.com/Bumblefoots-Bumblef-ked-Hot-Sauce/
"Burns & McCoy Exhorresco 7 Pot Primo Hot Sauce, 5oz.",$14.00,$12.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Exhorresco-7-Pot-Primo-Hot-Sauce/
"CaJohn's Black Garlic Ghost Pepper Hot Sauce, 5oz.",$11.00,$9.95,CaJohns,https://www.hotsauce.com/Cajohns-Black-Garlic-Ghost-Pepper-Hot-Sauce/
"CaJohn's Trouble Bubble Gum with Pure 16 Million, 5g.",$20.00,$15.95,CaJohns,https://www.hotsauce.com/Cajohns-Trouble-Bubble-Gum-With-Pure-16-Million/
"Cutino Chipotle Hot Sauce, 4oz.",$12.00,$10.95,Cutino,https://www.hotsauce.com/Cutino-Chipotle-Hot-Sauce/
"High River Sauces Thunder Juice Tequila Infused Hot Sauce, 5oz.",$11.50,$10.95,High River Sauces,https://www.hotsauce.com/High-River-Sauces-Thunder-Juice-Tequila-Infused-Hot-Sauce/
"Satan's Blood Chile Extract, 1.35oz.",$27.00,$19.95,HotSauce,https://www.hotsauce.com/satans-blood-chile-extract/
"The Toe of Satan Lollipop, .7oz.",$8.00,$7.49,HotSauce,https://www.hotsauce.com/the-toe-of-satan-lollipop/
"Torchbearer All Natural Zombie Apocalypse Hot Sauce, 5oz.",$22.50,$21.95,Torchbearer,https://www.hotsauce.com/torchbearer-all-natural-zombie-apocalypse-hot-sauce/
"Torchbearer Ultimate Annihilation Sauce, 5oz.",$22.50,$17.95,Torchbearer,https://www.hotsauce.com/torchbearer-ultimate-annihilation-sauce/
