name,priceNormal,priceWithoutax,branch,link
"Carolina Reaper Flakes, 1/2oz.",$11.00,$9.95,HotSauce,https://www.hotsauce.com/carolina-reaper-flakes/
"Carolina Reaper Pepper Powder, .5oz.",$11.00,$9.95,HotSauce,https://www.hotsauce.com/carolina-reaper-pepper-powder/
"Dave's (Chile Today) Chipotle Powder Medium, 1oz.",$8.50,$6.95,Daves Gourmet,https://www.hotsauce.com/daves-chile-today-chipotle-powder-medium/
"Ghost Dust Pure Ground Naga Jolokia Powder, 1oz",$24.50,$19.95,HotSauce,https://www.hotsauce.com/ghost-dust-pure-ground-naga-jolokia-powder/
"Pure Bhut Jolokia Ghost Chili Powder, .5oz.",$6.50,$5.95,HotSauce,https://www.hotsauce.com/pure-bhut-jolokia-ghost-chili-powder/
"Pure Scorpion Pepper Powder, .5oz.",$11.00,$9.95,HotSauce,https://www.hotsauce.com/pure-scorpion-pepper-powder/
"Sucklebusters Texas Gunpowder Ghost Chile Powder, 2.5oz.",$20.50,$18.95,SuckleBusters,https://www.hotsauce.com/sucklebusters-texas-gunpowder-ghost-chile-powder/
"SuckleBusters Texas Jalapeno Gunpowder, 2.88oz.",$9.50,$8.95,SuckleBusters,https://www.hotsauce.com/sucklebusters-texas-jalapeno-gunpowder/
"Whole Dried Premium Carolina Reaper Pods, 1/4oz.",$7.50,$6.95,HotSauce,https://www.hotsauce.com/Dried-Whole-Carolina-Reaper-Pods/
"Whole Dried Premium Ghost Chiles Pods, 1/2oz.",$6.50,$5.95,HotSauce,https://www.hotsauce.com/Dried-Whole-Ghost-Chiles-Pods/
"Whole Dried Premium Scorpion Pepper Pods, 1/4oz.",$7.50,$6.95,HotSauce,https://www.hotsauce.com/Dried-Whole-Scorpion-Peppers-Pods/
