name,priceNormal,priceWithoutax,branch,link
"1 Million Scoville Concentrated Pepper Extract, 5oz.",$34.00,$24.95,Artifact Burn Extracts,https://www.hotsauce.com/1-Million-Scoville-Concentrated-Pepper-Extract/
"9 Million (SHU) Pure Capsicum Extract, 1oz. Kit.",$125.00,$79.95,HotSauce,https://www.hotsauce.com/9-Million-SHU-Pure-Capsicum-Oleoresin-Extract-1oz-Kit/
"Alice Cooper Hot Sauce 3 Pack, 3/5oz.",$33.00,$30.00,Alice Cooper,https://www.hotsauce.com/Alice-Cooper-Hot-Sauce-3-Pack/
"Angry Goat Pepper Co. Dreams Of Calypso Hot Sauce, 5oz.",$9.00,$7.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Dreams-Of-Calypso-Hot-Sauce/
"Angry Goat Pepper Co. Goat Rider Hot Sauce, 5oz.",$10.50,$9.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Goat-Rider-Hot-Sauce/
"Artifact ACUTE Burn 1 Million Scoville Pepper Extract, 1.7oz.",$40.00,$34.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-acute-burn-1-million-scoville-pepper-extract/
"Artifact EXTREME Burn 3 Million Scoville Pepper Extract, 1.7oz.",$60.00,$43.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-extreme-burn-3-million-scoville-pepper-extract/
"Artifact SEVERE Burn 2 Million Scoville Pepper Extract, 1.7oz.",$50.00,$39.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-severe-burn-2-million-scoville-pepper-extract/
"Ass Kickin Nuts Gift Set, 4/12oz.",$38.00,$36.34,Ass Kickin,https://www.hotsauce.com/ass-kickin-nuts-gift-set/
"Ass Kickin PopCorn Gift Set, 4/3.5oz.",$12.00,$9.96,Ass Kickin,https://www.hotsauce.com/Ass-Kickin-Popcorn-Gift-Set/
"Bacon Hot Sauce, 3/5oz.",$22.50,$20.85,HotSauce,https://www.hotsauce.com/bacon-hot-sauce-3-pack/
"Bayou Hot Sauces Hotter Gift Set, 4/5oz.",$30.00,$27.80,Bayou Sauces,https://www.hotsauce.com/bayou-hot-sauces-hotter-gift-set/
"Best of Blueberry Hot Sauces Gift Set, 3/5oz.",$30.00,$27.39,HotSauce,https://www.hotsauce.com/best-of-blueberry-hot-sauces-gift-set/
"Best of Carolina Reaper Gift Set #1, 3/5oz.",$43.50,$39.85,HotSauce,https://www.hotsauce.com/Best-Of-Carolina-Reaper-Gift-Set/
"Best of Cayenne Hot Sauces Gift Set, 3/5oz.",$22.00,$21.39,HotSauce,https://www.hotsauce.com/best-of-cayenne-hot-sauces-gift-set/
"Best of Naga Jolokia (Ghost) Gift Set, 4/5oz.",$38.50,$34.80,HotSauce,https://www.hotsauce.com/best-of-naga-jolokia-ghost-gift-set/
"Best of Scorpion Sauces Gift Set, 3/5oz.",$33.00,$29.39,HotSauce,https://www.hotsauce.com/Best-Of-Scorpion-Sauces-Gift-Set/
"Bourbon Q Moonshine Madness Barbecue Rub, 16oz",$15.50,$13.95,Kentucky Bourbon Q,https://www.hotsauce.com/Bourbon-Q-Moonshine-Madness-Barbecue-Rub/
"Bourbon Q XXX White Lightnin Barbecue Rub, 16oz",$15.50,$13.95,Kentucky Bourbon Q,https://www.hotsauce.com/Bourbon-Q-XXX-White-Lightnin-Barbecue-Rub/
"Bravado Spice Co. Ancho Masala Scorpion Reaper Hot Sauce, 5oz.",$14.00,$12.49,Bravado Spice Co,https://www.hotsauce.com/Bravado-Cpice-Co-Ancho-Masala-Scorpion-Reaper-Hot-Sauce/
"Bravado Spice Co. Garlic and Arbol Moruga Scorpion Hot Sauce, 5oz.",$14.00,$12.49,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Garlic-Arbol-Moruga-Scorpion-Hot-Sauce/
"Bravado Spice Co. Hot Sauces 4 Pack, 4/5oz.",$36.00,$31.80,Bravado Spice Co,https://www.hotsauce.com/bravado-spice-co-hot-sauces-4-pack/
"Caboom! Ballistic Hot Sauce with Bullet Keychain, 5oz.",$12.00,$10.49,CaJohns,https://www.hotsauce.com/Caboom-Ballistic-Hot-Sauce-With-Bullet-Keychain/
"CaJohn's (Special Edition) Barrel Aged Bourbon Vanilla Cayenne Chipotle Apple Pie Sauce, 12.7oz.",$30.00,$24.95,CaJohns,https://www.hotsauce.com/Cajohns-Barrel-Aged-Bourbon-Vanilla-Cayenne-Chipotle-Apple-Pie-Sauce/
"CaJohn's Black Garlic Hot Sauces 3 Pack, 3/5oz.",$31.00,$27.85,CaJohns,https://www.hotsauce.com/Cajohns-Black-Garlic-Hot-Sauces-3-Pack/
"CaJohn's Get Bitten Black Mamba 6 Hot Sauce, 2oz.",$20.00,$17.95,CaJohns,https://www.hotsauce.com/cajohns-get-bitten-black-mamba-6-hot-sauce/
