name,priceNormal,priceWithoutax,branch,link
"A Taste Of THAI Garlic Chili Sriracha Hot Sauce, 7oz.",$6.50,$5.95,HotSauce,https://www.hotsauce.com/A-Taste-Of-Thai-Garlic-Hot-Sauce/
"Artifact ACUTE Burn 1 Million Scoville Pepper Extract, 1.7oz.",$40.00,$34.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-acute-burn-1-million-scoville-pepper-extract/
"Artifact EXTREME Burn 3 Million Scoville Pepper Extract, 1.7oz.",$60.00,$43.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-extreme-burn-3-million-scoville-pepper-extract/
"Artifact SEVERE Burn 2 Million Scoville Pepper Extract, 1.7oz.",$50.00,$39.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-severe-burn-2-million-scoville-pepper-extract/
"Ass In The Tub Ghost Pepper Sauce, 5oz.",$9.50,$8.95,Ass In The Tub,https://www.hotsauce.com/ass-in-the-tub-ghost-pepper-sauce/
"Bee Sting ""Thai Sting"" Sweet Chili Sauce, 5oz.",$6.50,$5.95,Bee Sting,https://www.hotsauce.com/bee-sting-thai-sting-sweet-chili-sauce/
"Bee Sting Honey & Habanero Hot Sauce, 5oz.",$6.50,$5.95,Bee Sting,https://www.hotsauce.com/bee-sting-honey-habanero-hot-sauce/
"Bee Sting Mango Passion Hot Sauce, 5oz.",$5.50,$4.95,Bee Sting,https://www.hotsauce.com/bee-sting-mango-passion-hot-sauce/
"Bee Sting Pineapple Guava Pepper Sauce, 5oz.",$6.50,$5.95,Bee Sting,https://www.hotsauce.com/bee-sting-pineapple-guava-pepper-sauce/
"Bee Sting Rainforest Honey Papaya Mustard Hot Sauce, 5oz.",$6.50,$5.95,Bee Sting,https://www.hotsauce.com/bee-sting-rainforest-honey-mustard-hot-sauce/
"Black Mamba Extreme Venomous Hot Sauce, 2oz.",$16.00,$12.95,CaJohns,https://www.hotsauce.com/black-mamba-extreme-venomous-hot-sauce/
"Blair's (New) Ultra Death Hot Sauce, 5oz.",$25.00,$19.95,Blairs Sauces,https://www.hotsauce.com/blairs-ultra-death-hot-sauce/
"Blair's 2am Reserve Extract Signed (NEW 2nd EDITION), 2oz.",$43.00,$29.95,Blairs Sauces,https://www.hotsauce.com/blairs-2am-reserve-extract-signed-2nd-edition/
"Blair's 3am Reserve Extract Signed (NEW 2nd EDITION), 2oz.",$55.00,$46.95,Blairs Sauces,https://www.hotsauce.com/blairs-3am-reserve-extract-signed-2nd-edition/
"Blair's After Death with Liquid Fire Hot Sauce, 5oz.",$13.00,$11.95,Blairs Sauces,https://www.hotsauce.com/blairs-after-death-with-liquid-fire-hot-sauce/
"Blair's Beyond Death Hot Sauce, 5oz.",$18.00,$15.95,Blairs Sauces,https://www.hotsauce.com/blairs-beyond-death-hot-sauce/
"Blair's Golden Death Sauce with Chipotle, 5oz.",$9.50,$8.95,Blairs Sauces,https://www.hotsauce.com/blairs-golden-death-sauce-with-chipotle/
"Blair's Jalapeno Death Sauce with Tequila, 5oz.",$12.00,$10.95,Blairs Sauces,https://www.hotsauce.com/blairs-jalapeno-death-sauce-with-tequila/
"Blair's Mega Death Sauce with Liquid Fury, 5oz.",$24.00,$19.95,Blairs Sauces,https://www.hotsauce.com/blairs-mega-death-sauce-with-liquid-fury/
"Blair's Original Death Sauce with Chipotle, 5oz.",$12.00,$10.95,Blairs Sauces,https://www.hotsauce.com/blairs-original-death-sauce-with-chipotle/
"Blair's Pure Death Naga (Ghost) Jolokia Hot Sauce, 5oz.",$10.50,$9.95,Blairs Sauces,https://www.hotsauce.com/blairs-pure-death-naga-ghost-jolokia-hot-sauce/
"Blair's Q Heat Chipotle Slam Exotic Hot Sauce, 8.44oz.",$11.00,$9.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-chipotle-slam-exotic-hot-sauce/
Blair's Q Heat Exotic Hot Sauce Gourmet Sampler 4 Pack / 2oz.,$17.00,$15.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-exotic-hot-sauce-gourmet-sampler-4-pack/
"Blair's Q Heat Habanero Mango Exotic Hot Sauce, 8.44oz.",$10.50,$9.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-habanero-mango-exotic-hot-sauce/
"Blair's Q Heat Jalapeno Tequila Exotic Hot Sauce, 8.44oz.",$11.00,$9.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-jalapeno-tequila-exotic-hot-sauce/
"Blair's Q Heat Wasabi Green Tea Exotic Hot Sauce, 8.44oz.",$8.50,$7.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-wasabi-green-tea-exotic-hot-sauce/
"Blair's Salsa De La Muerte con Chipotle, 5oz.",$8.50,$7.95,Blairs Sauces,https://www.hotsauce.com/blairs-salsa-de-la-muerte-con-chipotle/
"Blair's Sudden Death Sauce with Ginseng, 5oz.",$22.00,$18.95,Blairs Sauces,https://www.hotsauce.com/blairs-sudden-death-sauce-with-ginseng/
"Blair's Sweet Death Sauce with Mango, 5oz.",$9.50,$8.95,Blairs Sauces,https://www.hotsauce.com/blairs-sweet-death-with-mango-hot-sauce/
"Bone Suckin Chicken Seasoning & Rub, 5.8oz.",$7.50,$6.95,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-sauce-poultry-seasoning-rub/
"Bone Suckin Garlic & Honey Wing Sauce, 12.25oz.",$8.00,$7.49,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-garlic-honey-wing-sauce/
"Bone Suckin Hiccuppin Hot Habanero Hot Sauce, 5oz.",$7.50,$6.95,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-habanero-sauce-hiccuppin-hot/
"Bone Suckin HOT Barbecue Sauce, 16oz.",$8.00,$7.49,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-bbq-sauce-hot/
"Bone Suckin HOT Seasoning & Rub, 6.2oz.",$7.50,$6.95,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-sauce-rib-rub-hot-seasoning-rub/
"Bone Suckin HOT Thicker Style Barbecue Sauce, 16oz.",$8.00,$7.49,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-hot-and-thick-barbecue-sauce/
"Bone Suckin Original Barbecue Sauce, 16oz.",$8.00,$7.49,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-bbq-sauce-original/
"Bone Suckin Seafood Seasoning & Rub, 5.8oz.",$7.50,$6.95,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-seafood-seasoning-and-rub/
"Bone Suckin Seasoning & Rub, 5.8oz.",$7.50,$6.95,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-sauce-rib-rub/
"Bone Suckin Steak Seasoning & Rub, 5.8oz.",$7.50,$6.95,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-steak-seasoning-and-rub/
"Bone Suckin Sweet Spicy Mustard, 12oz.",$8.00,$7.49,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-sweet-hot-mustard/
"Bone Suckin Thicker Style Barbecue Sauce, 16oz.",$8.00,$7.49,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-thick-barbecue-sauce/
"Bone Suckin Yaki Teriyaki Sauce, 13.25oz.",$8.00,$7.49,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-teriyaki-barbecue-sauce/
"Bravado Spice Co. Aka Miso Ghost Reaper Hot Sauce, 5oz.",$14.00,$11.95,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Aka-Miso-Ghost-Reaper-Hot-Sauce/
"Bravado Spice Co. Ancho Masala Scorpion Reaper Hot Sauce, 5oz.",$14.00,$12.49,Bravado Spice Co,https://www.hotsauce.com/Bravado-Cpice-Co-Ancho-Masala-Scorpion-Reaper-Hot-Sauce/
"Bravado Spice Co. Garlic and Arbol Moruga Scorpion Hot Sauce, 5oz.",$14.00,$12.49,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Garlic-Arbol-Moruga-Scorpion-Hot-Sauce/
"Bravado Spice Co. Serrano and Basil Hot Sauce, 5oz.",$9.00,$8.49,Bravado Spice Co,https://www.hotsauce.com/bravado-spice-co-serrano-and-basil-hot-sauce/
"Busha Browne's Pukka Hot Sauce, 5oz.",$7.50,$6.95,Busha Brownes,https://www.hotsauce.com/busha-brownes-pukka-hot-sauce/
"CaBoom! Gourmet Hot Sauce, 5oz.",$7.50,$6.95,CaJohns,https://www.hotsauce.com/caboom-gourmet-hot-sauce/
"CaJohn's Bourbon Infused Hot Sauce, 5oz.",$9.00,$8.49,CaJohns,https://www.hotsauce.com/cajohns-bourbon-infused-hot-sauce/
"CaJohn's Get Bitten Black Mamba 6 Hot Sauce, 2oz.",$20.00,$17.95,CaJohns,https://www.hotsauce.com/cajohns-get-bitten-black-mamba-6-hot-sauce/
"CaJohn's Gourmet Raspberry Chipotle Salsa, 16oz.",$9.00,$7.95,CaJohns,https://www.hotsauce.com/cajohns-gourmet-raspberry-chipotle-salsa/
"CaJohn's Gourmet Raspberry Salsa, 16oz.",$9.00,$7.95,CaJohns,https://www.hotsauce.com/cajohns-gourmet-raspberry-salsa/
"CaJohn's Lethal Ingestion Bhut Jolokia Hot Sauce, 2oz.",$19.50,$16.95,CaJohns,https://www.hotsauce.com/cajohns-lethal-ingestion-bhut-jolokia-hot-sauce/
"CaJohn's NOLA Hot Sauce, 5oz.",$8.00,$7.49,CaJohns,https://www.hotsauce.com/Cajohns-Nola-Hot-Sauce/
"CaJohn's Reaper Sling Blade Hot Sauce, 5oz.",$13.00,$10.95,CaJohns,https://www.hotsauce.com/cajohns-reaper-sling-blade-hot-sauce/
"CaJohn's Trinidad Scorpion Hot Sauce, 5oz.",$13.00,$9.95,CaJohns,https://www.hotsauce.com/cajohns-trinidad-scorpion-hot-sauce/
"CaJohn's Trinidad Scorpion Puree, 2oz.",$15.00,$12.95,CaJohns,https://www.hotsauce.com/cajohns-trinidad-scorpion-puree/
"Cholula Chili Garlic Hot Sauce, 5oz.",$5.50,$4.95,Cholula,https://www.hotsauce.com/cholula-chili-garlic-hot-sauce/
"Cholula Chili Lime Hot Sauce, 5oz.",$5.50,$4.95,Cholula,https://www.hotsauce.com/cholula-chili-lime-hot-sauce/
"Cholula Chipotle Hot Sauce, 5oz.",$5.50,$4.95,Cholula,https://www.hotsauce.com/cholula-chipotle-hot-sauce/
"Cholula Green Pepper Hot Sauce, 5oz.",$5.50,$4.95,Cholula,https://www.hotsauce.com/cholula-green-pepper-hot-sauce/
"Cholula Hot Sauce Complete 5 Pack Gift Set, 5/5oz.",$25.00,$24.75,Cholula,https://www.hotsauce.com/cholula-hot-sauce-complete-5-pack-gift-set/
"Cholula Hot Sauce Variety 4-Pack, 4/5oz.",$20.00,$19.80,Cholula,https://www.hotsauce.com/cholula-hot-sauce-variety-4-pack/
"Cholula Original Hot Sauce 1/2 Gallon, 64oz.",$30.50,$26.95,Cholula,https://www.hotsauce.com/cholula-original-hot-sauce-gallon/
"Cholula Original Hot Sauce with Wooden Topper, 12oz.",$11.00,$8.95,Cholula,https://www.hotsauce.com/cholula-original-hot-sauce-with-wooden-topper-large/
"Cholula Original Hot Sauce with Wooden Topper, 5oz.",$5.50,$4.95,Cholula,https://www.hotsauce.com/cholula-original-hot-sauce-with-wooden-topper/
"Cholula Original Mini Hot Sauce, 2oz.",$4.50,$3.49,Cholula,https://www.hotsauce.com/cholula-original-mini-hot-sauce/
"Danny Cash's Cajun Cayenne Salvation Sauce (w/mini bible), 5oz.",$8.50,$7.95,Danny Cash,https://www.hotsauce.com/danny-cashs-cajun-cayenne-salvation-hot-sauce-mini-bible/
"Danny Cash's Garlic Serrano Salvation Sauce (w/mini bible), 5oz.",$8.50,$7.95,Danny Cash,https://www.hotsauce.com/danny-cashs-garlic-serrano-salvation-hot-sauce-mini-bible/
"Danny Cash's Ghost Rider Hot Sauce, 5oz.",$10.50,$9.49,Danny Cash,https://www.hotsauce.com/danny-cashs-ghost-rider-hot-sauce/
"Danny Cash's Red Habanero Salvation Sauce (w/mini bible), 5oz.",$8.50,$7.95,Danny Cash,https://www.hotsauce.com/danny-cashs-red-habanero-salvation-sauce-mini-bible/
"Dave's (Chile Today) Chipotle Powder Medium, 1oz.",$8.50,$6.95,Daves Gourmet,https://www.hotsauce.com/daves-chile-today-chipotle-powder-medium/
"Dave's (NEW) Ghost Pepper Naga Jolokia Hot Sauce, (Gallon) 128oz.",$150.00,$129.95,Daves Gourmet,https://www.hotsauce.com/daves-ghost-pepper-naga-jolokia-hot-sauce-gallon/
"Dave's (NEW) Ghost Pepper Naga Jolokia Hot Sauce, 5oz.",$10.50,$9.95,Daves Gourmet,https://www.hotsauce.com/daves-ghost-pepper-naga-jolokia-hot-sauce/
"Dave's Four Pack Super Hot in Wooden Crate, 4/5oz.",$46.00,$41.95,Daves Gourmet,https://www.hotsauce.com/daves-four-pack-super-hot-in-wooden-crate/
"Dave's Gourmet Carolina Reaper Pepper Hot Sauce, 5oz.",$12.00,$10.49,Daves Gourmet,https://www.hotsauce.com/Daves-Gourmet-Carolina-Reaper-Pepper-Hot-Sauce/
"Dave's Gourmet Cool Cayenne Pepper Sauce, 5oz.",$7.50,$6.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-cool-cayenne-pepper-sauce/
"Dave's Gourmet Crazy Caribbean Hot Sauce, 5oz.",$7.00,$5.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-crazy-caribbean-hot-sauce/
"Dave's Gourmet Creamy Garlic Red Pepper Hot Sauce, 8oz.",$9.50,$8.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-creamy-garlic-red-pepper-hot-sauce/
"Dave's Gourmet Creamy Ginger Citrus Hot Sauce, 8oz.",$9.50,$8.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-creamy-ginger-citrus-hot-sauce/
"Dave's Gourmet Creamy Hot Sauce Gift Pack, 3/8oz.",$28.50,$26.85,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-creamy-hot-sauce-gift-pack/
"Dave's Gourmet Creamy Roasted Jalapeno Hot Sauce, 8oz.",$9.50,$8.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-creamy-roasted-jalapeno-hot-sauce/
"Dave's Gourmet Ginger Peach Hot Sauce, 5oz.",$7.50,$6.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-ginger-peach-hot-sauce/
"Dave's Gourmet Hurtin' Habanero, 5oz.",$7.50,$6.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-hurtin-habanero/
"Dave's Gourmet Hurtin' Jalapeno, 5oz.",$7.50,$6.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-hurtin-jalapeno/
"Dave's Gourmet Insanity Hot Sauce, 5oz.",$9.00,$8.49,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-insanity-hot-sauce/
