Name,Price,Price witout Tax,Brand,Link
Flaming Hot Sauce Gift Bag,$2.00,$1.95,HotSauce,https://www.hotsauce.com/Flaming-Hot-Sauce-Gift-Bag/
"Frosty's Demise Habanero Hot Sauce, 5oz. (Seasonal)",$7.00,$6.49,Hot Sauce Fanatics,https://www.hotsauce.com/frostys-demise-habanero-hot-sauce/
"Holiday Heat X-Mas Hot Sauce Gift Set, 3/5oz. (Seasonal)",$23.00,$16.95,Hot Sauce Fanatics,https://www.hotsauce.com/holiday-heat-x-mas-hot-sauce-gift-set/
"Hot Sauce Gift Box, Holds 4/5oz Bottles.",$4.00,$3.49,HotSauce,https://www.hotsauce.com/hot-sauce-gift-box-holds-4-bottles/
"Merry Christmas Hot Sauce, 5oz. (Seasonal)",$6.50,$5.95,Hot Sauce Fanatics,https://www.hotsauce.com/merry-christmas-hot-sauce/
"Merry Fuckin' Christmas Hot Sauce, 5oz. (Seasonal)",$6.50,$5.95,Hot Sauce Fanatics,https://www.hotsauce.com/merry-fuckin-christmas-hot-sauce/
"Naughty Christmas Hot Sauce, 5oz. (Seasonal)",$6.50,$5.95,Hot Sauce Fanatics,https://www.hotsauce.com/naughty-christmas-hot-sauce/
"Nice Christmas Hot Sauce, 5oz. (Seasonal)",$6.50,$5.95,Hot Sauce Fanatics,https://www.hotsauce.com/nice-christmas-hot-sauce/
"Reindeer Union Coalition Hot Sauce, 5oz. (Seasonal)",$6.50,$5.95,Hot Sauce Fanatics,https://www.hotsauce.com/reindeer-union-coalition-hot-sauce/
"Rudolph the Red-Assed Reindeer Cajun Hot Sauce, 5oz. (Seasonal)",$7.50,$6.95,Hot Sauce Fanatics,https://www.hotsauce.com/rudolph-the-red-assed-reindeer-cajun-hot-sauce/
"Santa Baby Hot Sauce, 5oz. (Seasonal)",$6.50,$5.95,Hot Sauce Fanatics,https://www.hotsauce.com/santa-baby-hot-sauce/
"Santa Baby! XMas Hot Sauce Gift Set, 4/5oz. (Seasonal)",$24.00,$23.80,Hot Sauce Fanatics,https://www.hotsauce.com/santa-baby-xmas-hot-sauce-gift-set/
"Santa's Chimney Reigniter Hot Sauce, 5oz. (Seasonal)",$6.50,$5.95,Hot Sauce Fanatics,https://www.hotsauce.com/santas-chimney-reigniter-hot-sauce/
"Santa's Smokin' Chimney Red Habanero Hot Sauce, 5oz. (Seasonal)",$7.50,$6.95,Hot Sauce Fanatics,https://www.hotsauce.com/santas-smokin-chimney-red-habanero-hot-sauce/
"Santa, Rudolph and Frosty Complete Holiday Gift Set, 5/5oz. (Seasonal)",$34.50,$32.29,Hot Sauce Fanatics,https://www.hotsauce.com/santa-rudolph-and-frosty-complete-holiday-gift-set/
