Name,Price,Price witout Tax,Brand,Link
"1 Million Scoville Concentrated Pepper Extract, 5oz.",$34.00,$24.95,Artifact Burn Extracts,https://www.hotsauce.com/1-Million-Scoville-Concentrated-Pepper-Extract/
"6 Million (SHU) Pure Capsicum Extract, 1oz. Kit.",$100.00,$64.95,HotSauce,https://www.hotsauce.com/6-million-shu-pure-capsicum-oleoresin-extract-30ml/
"9 Million (SHU) Pure Capsicum Extract, 1oz. Kit.",$125.00,$79.95,HotSauce,https://www.hotsauce.com/9-Million-SHU-Pure-Capsicum-Oleoresin-Extract-1oz-Kit/
"Ass in the E.R. Scorpion Pepper Sauce, 5oz.",$10.00,$8.95,Ass In The Tub,https://www.hotsauce.com/ass-in-the-e-r-scorpion-pepper-sauce/
"Ass In The Tub Ghost Pepper Sauce, 5oz.",$9.50,$8.95,Ass In The Tub,https://www.hotsauce.com/ass-in-the-tub-ghost-pepper-sauce/
"Ass In The Tub Hot Sauce, 5oz.",$5.50,$4.95,Ass In The Tub,https://www.hotsauce.com/ass-in-the-tub-hot-sauce/
"Ass in the Tub Special Reserve Armageddon Hot Sauce, 5oz.",$11.00,$9.95,Ass In The Tub,https://www.hotsauce.com/ass-in-the-tub-special-reserve-armageddon-hot-sauce/
"Ass Reaper Hot Sauce with Skull Cap and Cape, 5oz.",$11.00,$9.95,HotSauce,https://www.hotsauce.com/ass-reaper-hot-sauce-skull-cap-cape/
"Best of Carolina Reaper Gift Set #1, 3/5oz.",$43.50,$39.85,HotSauce,https://www.hotsauce.com/Best-Of-Carolina-Reaper-Gift-Set/
"Best of Naga Jolokia (Ghost) Gift Set, 4/5oz.",$38.50,$34.80,HotSauce,https://www.hotsauce.com/best-of-naga-jolokia-ghost-gift-set/
"Best of Scorpion Sauces Gift Set, 3/5oz.",$33.00,$29.39,HotSauce,https://www.hotsauce.com/Best-Of-Scorpion-Sauces-Gift-Set/
"Black Mamba Extreme Venomous Hot Sauce, 2oz.",$16.00,$12.95,CaJohns,https://www.hotsauce.com/black-mamba-extreme-venomous-hot-sauce/
"Blair's (New) Ultra Death Hot Sauce, 5oz.",$25.00,$19.95,Blairs Sauces,https://www.hotsauce.com/blairs-ultra-death-hot-sauce/
"Blair's Beyond Death Hot Sauce, 5oz.",$18.00,$15.95,Blairs Sauces,https://www.hotsauce.com/blairs-beyond-death-hot-sauce/
"Blair's Mega Death Sauce with Liquid Fury, 5oz.",$24.00,$19.95,Blairs Sauces,https://www.hotsauce.com/blairs-mega-death-sauce-with-liquid-fury/
"Bravado Spice Co. Garlic and Arbol Moruga Scorpion Hot Sauce, 5oz.",$14.00,$12.49,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Garlic-Arbol-Moruga-Scorpion-Hot-Sauce/
"Burns & McCoy Devorandum Cherry & Trinidad Scorpion Hot Sauce, 5oz.",$13.50,$11.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Devorandum-Cherry-Trinidad-Scorpion-Hot-Sauce/
"Burns & McCoy Excubiarium Salsa Verde Hot Sauce, 5oz.",$13.50,$11.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Excubiarium-Salsa-Verde-Hot-Sauce/
"Burns & McCoy Exhorresco 7 Pot Primo Hot Sauce, 5oz.",$14.00,$12.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Exhorresco-7-Pot-Primo-Hot-Sauce/
"Burns & McCoy Exitium Pineapple Ginger Hot Sauce, 5oz.",$14.00,$12.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Exitium-Pineapple-Ginger-Hot-Sauce/
"Caboom! Ballistic Hot Sauce with Bullet Keychain, 5oz.",$12.00,$10.49,CaJohns,https://www.hotsauce.com/Caboom-Ballistic-Hot-Sauce-With-Bullet-Keychain/
"Caboom! Tracer Hot Sauce with Bullet Keychain, 5oz.",$11.00,$10.49,CaJohns,https://www.hotsauce.com/Caboom-Tracer-Hot-Sauce-With-Bullet-Keychain/
"CaJohn's Calavera Hot Sauce, 5oz.",$15.00,$12.95,CaJohns,https://www.hotsauce.com/calavera-hot-sauce/
"CaJohn's Cerberus Hot Sauce, 5oz.",$15.00,$13.95,CaJohns,https://www.hotsauce.com/Cajohns-Cerberus-Hot-Sauce/
"CaJohn's Classic Small Batch Carolina Reaper Pepper Sauce, 5oz.",$8.50,$7.95,CaJohns,https://www.hotsauce.com/cajohns-classic-small-batch-carolina-reaper-pepper-sauce/
"CaJohn's El Chupacabra Hot Sauce, 5oz.",$14.50,$12.95,CaJohns,https://www.hotsauce.com/cajohns-el-chupacabra-hot-sauce/
"CaJohn's Get Bitten Black Mamba 6 Hot Sauce, 2oz.",$20.00,$17.95,CaJohns,https://www.hotsauce.com/cajohns-get-bitten-black-mamba-6-hot-sauce/
"CaJohn's Hydra 7-Pot Primo Hot Sauce, 5oz.",$15.00,$13.95,CaJohns,https://www.hotsauce.com/cajohns-hydra-7-pot-primo-hot-sauce/
"CaJohn's La Parca Reaper Hot Sauce, 5oz.",$10.50,$9.95,CaJohns,https://www.hotsauce.com/cajohns-la-parca-reaper-hot-sauce/
Name,Price,Price witout Tax,Brand,Link
"CaJohn's Lethal, Mamba & Mongoose Gift Set, 2/2oz, 1/5oz.",$49.50,$42.85,CaJohns,https://www.hotsauce.com/cajohns-lethal-mamba-mongoose-gift-set/
"CaJohn's Leviathan Hot Sauce, 5oz.",$15.00,$12.95,CaJohns,https://www.hotsauce.com/cajohns-leviathan-hot-sauce/
"CaJohn's Memento Mori Hot Sauce, 5oz.",$15.00,$12.95,CaJohns,https://www.hotsauce.com/Cajohns-Memento-Mori-Hot-Sauce/
"CaJohn's Reaper Sling Blade Hot Sauce, 5oz.",$13.00,$10.95,CaJohns,https://www.hotsauce.com/cajohns-reaper-sling-blade-hot-sauce/
"CaJohn's Rougaroux Hot Sauce, 5oz.",$15.00,$13.95,CaJohns,https://www.hotsauce.com/cajohns-rougaroux-hot-sauce/
"CaJohn's Trinidad Scorpion BBQ Sauce, 16oz.",$10.50,$9.49,CaJohns,https://www.hotsauce.com/cajohns-trinidad-scorpion-bbq-sauce/
"CaJohn's Trinidad Scorpion Hot Sauce, 5oz.",$13.00,$9.95,CaJohns,https://www.hotsauce.com/cajohns-trinidad-scorpion-hot-sauce/
"CaJohn's Trinidad Scorpion Puree, 2oz.",$15.00,$12.95,CaJohns,https://www.hotsauce.com/cajohns-trinidad-scorpion-puree/
"CaJohn's Trinidad Scorpion Salsa, 16oz.",$11.00,$9.95,CaJohns,https://www.hotsauce.com/cajohns-trinidad-scorpion-salsa/
"Colon Blow Red Habanero Enima, 5oz.",$8.50,$7.95,HotSauce,https://www.hotsauce.com/colon-blow-red-habanero-enima/
"Da Bomb Beyond Insanity and Torchbearer Garlic Reaper Hot Sauce Bundle, 5oz, 4oz.",$34.50,$31.90,Torchbearer,https://www.hotsauce.com/Da-Bomb-Beyond-Insanity-And-Torchbearer-Garlic-Reaper-Hot-Sauce-Bundle/
"Da Bomb Beyond Insanity Hot Sauce, 4oz.",$17.00,$14.95,Da Bomb,https://www.hotsauce.com/da-bomb-beyond-insanity-hot-sauce/
"Da Bomb Ghost Pepper Hot Sauce, 4oz.",$19.50,$14.95,Da Bomb,https://www.hotsauce.com/da-bomb-ghost-pepper-hot-sauce/
