name,priceNormal,priceWithoutax,branch,link
"A Little Nukey Hot Sauce, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/a-little-nukey-hot-sauce/
"Anal Angst X-Hot Hot Sauce, 5.7oz.",$8.50,$7.95,Professor Payne,https://www.hotsauce.com/Anal-Angst-X-Hot-Hot-Sauce/
"Analize This XXX Garlic Hot Sauce, 5oz.",$6.50,$5.95,Tahiti Joes,https://www.hotsauce.com/analize-this-xxx-garlic-hot-sauce/
"Area 51 The Hot Sauce That Doesn't Exist, 6.75oz.",$7.50,$6.95,HotSauce,https://www.hotsauce.com/Area-51-The-Hot-Sauce-That-Doesnt-Exist/
"Ass Blaster Collector's Hot Sauce w/ Wooden Outhouse, 5oz.",$17.50,$14.95,Ass Kickin,https://www.hotsauce.com/ass-blaster-collectors-hot-sauce-wooden-outhouse/
"Ass Blaster Hot Sauce, 5oz.",$10.00,$8.95,Ass Kickin,https://www.hotsauce.com/ass-blaster-hot-sauce/
"Ass Gas Hot Sauce, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/ass-gas-hot-sauce/
"Ass In Hell Hot Sauce, 5oz.",$10.50,$9.95,Ass In The Tub,https://www.hotsauce.com/ass-in-hell-hot-sauce/
"Ass in the E.R. Scorpion Pepper Sauce, 5oz.",$10.00,$8.95,Ass In The Tub,https://www.hotsauce.com/ass-in-the-e-r-scorpion-pepper-sauce/
"Ass In The Tub Ghost Pepper Sauce, 5oz.",$9.50,$8.95,Ass In The Tub,https://www.hotsauce.com/ass-in-the-tub-ghost-pepper-sauce/
"Ass Kickin Dumb Ass Hot Sauce, 5oz.",$9.00,$8.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-dumb-ass-hot-sauce/
"Ass Kickin Extreme Hot Sauces 3 Pack, 3/5oz.",$34.50,$29.85,Ass Kickin,https://www.hotsauce.com/Ass-Kickin-Extreme-Hot-Sauces-3-Pack/
"Ass Kickin Extreme Variety Hot Sauces Pack, 4/5oz.",$39.00,$35.34,Ass Kickin,https://www.hotsauce.com/ass-kickin-extreme-variety-hot-sauces-pack/
"Ass Kickin Hot Sauces Variety 4 Pack, 4/5oz.",$26.00,$23.80,Ass Kickin,https://www.hotsauce.com/Ass-Kickin-Hot-Sauces-Variety-4-Pack/
"Ass Kickin Hottest Hot Sauces 3 Pack, 3/5oz.",$29.00,$26.39,Ass Kickin,https://www.hotsauce.com/ass-kickin-hottest-hot-sauces-3-pack/
"Ass Kickin Jack Ass Complete Hot Sauce Set, 7/5oz.",$53.00,$49.27,Ass Kickin,https://www.hotsauce.com/ass-kickin-jack-ass-complete-hot-sauce-set/
"Ass Kickin My Favorite Ass 4 Pack, 4/5oz.",$36.00,$33.96,Ass Kickin,https://www.hotsauce.com/ass-kickin-my-favorite-ass-4-pack/
"Ass Kickin Smart Ass Hot Sauce, 5oz.",$9.00,$8.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-smart-ass-hot-sauce/
"Ass Reaper Hot Sauce with Skull Cap and Cape, 5oz.",$11.00,$9.95,HotSauce,https://www.hotsauce.com/ass-reaper-hot-sauce-skull-cap-cape/
"Assplosion Hot Sauce, 5oz.",$5.50,$4.95,HotSauce,https://www.hotsauce.com/assplosion-hot-sauce/
"Aw Shit Seasoning, 9oz.",$15.50,$13.95,Special Shit,https://www.hotsauce.com/aw-shit-seasoning/
"Belligerent Blaze Habanero Gourmet Hot Sauce, 5oz.",$8.00,$7.49,CaJohns,https://www.hotsauce.com/belligerent-blaze-habanero-gourmet-hot-sauce/
"Big Johnson's Twice Burnin Hot Sauce, 5oz.",$4.50,$3.95,HotSauce,https://www.hotsauce.com/big-johnsons-twice-burnin-hot-sauce/
"Biker Bitch Hot n Wild Hot Sauce, 5oz.",$6.50,$5.95,Tahiti Joes,https://www.hotsauce.com/biker-bitch-hot-n-wild-hot-sauce/
"Blowout Habanero Serious Hot Sauce, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/blowout-habanero-hot-sauce/
"Bomb Laden Mad Blast Habanero Hot Sauce, 5oz.",$7.50,$6.95,Hot Sauce Fanatics,https://www.hotsauce.com/bomb-laden-mad-blast-habanero-hot-sauce/
"Boyle's Irish Scream Hot Sauce, 5oz.",$7.50,$6.95,HotSauce,https://www.hotsauce.com/boyles-irish-scream-hot-sauce/
"Brand New Asshole Hot Sauce, 5oz.",$5.50,$4.95,HotSauce,https://www.hotsauce.com/brand-new-asshole-hot-sauce/
"Brenda's Bootie Burner Hot Sauce, 5oz.",$6.50,$5.95,HotSauce,https://www.hotsauce.com/brendas-bootie-burner-hot-sauce/
"Buhba's Butt Blaster X-Hot Sauce, 5.7oz.",$8.50,$7.95,HotSauce,https://www.hotsauce.com/buhbas-butt-blaster-x-hot-sauce/
