name,priceNormal,priceWithoutax,branch,link
"Blair's 2AM, 3AM, 4AM, 5AM, 6AM, 16 Million Collectors Reserve Set, 6/2.5oz. SOLD!",NONE,$0.00,Blairs Sauces,https://www.hotsauce.com/blairs-1-2am-1-3am-1-4am-2-5am-2-6am-custom-reserve-set/
Blair's MEGA B Collector's Hot Sauce w/ White Skull - #4/149 - SOLD!,NONE,$0.00,Blairs Collectors,https://www.hotsauce.com/blairs-mega-b-collectors-hot-sauce-white-skull-4-149/
Blair's MINI B Collector's Hot Sauce w/ White Skull (Gold Wax) - #76/149 - SOLD!,NONE,$0.00,Blairs Collectors,https://www.hotsauce.com/blairs-mini-b-collectors-hot-sauce-white-skull-gold-wax-76-149/
"Blair's PRE Pure Death Collector's Hot Sauce w/ Gold Skull (White Wax), 5oz. - #15/30 - SOLD!",NONE,$0.00,Blairs Collectors,https://www.hotsauce.com/blairs-pre-pure-death-collectors-hot-sauce-gold-skull-white-wax-15-30/
"Blair's Reserve 16 Million Crystals, 1ml. - SOLD!",NONE,$0.00,Blairs Collectors,https://www.hotsauce.com/blairs-reserve-16-million-crystals/
"Blair's Reserve 2am Signed & Numbered, 2oz. - #8318 - SOLD!",NONE,$0.00,Blairs Collectors,https://www.hotsauce.com/blairs-reserve-2am-signed-numbered-8318/
"Blair's Reserve 3am Signed & Numbered, 2oz. - #9317 - SOLD!",NONE,$0.00,Blairs Collectors,https://www.hotsauce.com/blairs-reserve-3am-signed-numbered-9317/
"Blair's Reserve 4am Extract, 2oz. - LOW #88 - SOLD!",NONE,$0.00,Blairs Collectors,https://www.hotsauce.com/blairs-reserve-4am-extract-88/
"Blair's Reserve 5am Extract, 2oz. - VERY LOW #22 - SOLD!",NONE,$0.00,Blairs Collectors,https://www.hotsauce.com/blairs-reserve-5am-extract-22/
"Blair's Reserve 6am Extract, 2oz. - #28 - SOLD!",NONE,$0.00,Blairs Collectors,https://www.hotsauce.com/blairs-reserve-6am-extract-28/
"Blair's Reserve B-99, 2oz. - SOLD!",NONE,$0.00,Blairs Collectors,https://www.hotsauce.com/blairs-reserve-b-99/
"Blair's Reserve Caldera, 6oz. - SOLD!",NONE,$0.00,Blairs Collectors,https://www.hotsauce.com/blairs-reserve-caldera/
"Blair's Reserve Encore, 2oz. - SOLD!",NONE,$0.00,Blairs Collectors,https://www.hotsauce.com/blairs-reserve-encore/
Blair's Reserve Fire Cracker 500 - Blue #373 - SOLD!,NONE,$0.00,Blairs Collectors,https://www.hotsauce.com/blairs-reserve-fire-cracker-500-blue-373/
Blair's Reserve Fire Cracker 500 - Limited Availability! - SOLD!,NONE,$0.00,Blairs Collectors,https://www.hotsauce.com/blairs-reserve-fire-cracker-500/
