Name,Price,Price witout Tax,Brand,Link
"Alligator Bayou Premium BBQ Sauce, 18oz.",$9.00,$8.49,Bayou Sauces,https://www.hotsauce.com/alligator-bayou-premium-bbq-sauce/
"Ass In Antarctica Hot Sauce, 5oz.",$7.50,$6.95,Ass In The Tub,https://www.hotsauce.com/ass-in-antarctica-hot-sauce/
"Ass In Hell Hot Sauce, 5oz.",$10.50,$9.95,Ass In The Tub,https://www.hotsauce.com/ass-in-hell-hot-sauce/
"Ass In Space Hot Sauce, 5oz.",$6.50,$5.95,Ass In The Tub,https://www.hotsauce.com/Ass-In-Space-Hot-Sauce/
"Ass In The Tub Hot Sauce, 5oz.",$5.50,$4.95,Ass In The Tub,https://www.hotsauce.com/ass-in-the-tub-hot-sauce/
"Ass In The Tub Hot Sauces Complete Gift Set, 7/5oz.",$60.50,$55.65,Ass In The Tub,https://www.hotsauce.com/ass-in-the-tub-hot-sauces-complete-gift-set/
"Ass In The Tub Hot Sauces Gift Pack, 3/5oz.",$23.00,$19.95,Ass In The Tub,https://www.hotsauce.com/Ass-In-The-Tub-Hot-Sauces-Gift-Pack/
"Ass In The Tub Hot Sauces Original Gift Set, 5/5oz.",$41.00,$37.75,Ass In The Tub,https://www.hotsauce.com/ass-in-the-tub-hot-sauces-5-pack-gift-set/
"Ass in the Tub Special Reserve Armageddon Hot Sauce, 5oz.",$11.00,$9.95,Ass In The Tub,https://www.hotsauce.com/ass-in-the-tub-special-reserve-armageddon-hot-sauce/
"Ass Kickin Cajun Hot Sauce, 5oz.",$6.50,$5.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-cajun-hot-sauce/
"Bayou Blow Torch Hot Sauce, 5oz.",$7.50,$6.95,Bayou Sauces,https://www.hotsauce.com/bayou-blow-torch-hot-sauce/
"Bayou Butt Burner Hot Sauce, 5oz.",$8.00,$7.49,Bayou Sauces,https://www.hotsauce.com/bayou-butt-burner-hot-sauce/
"Bayou Fireballs Hot Sauce, 5oz.",$7.50,$6.95,Bayou Sauces,https://www.hotsauce.com/bayou-fireballs-hot-sauce/
"Bayou Love Potion Number 9 Louisiana Peppa Sauce, 5oz.",$7.50,$6.95,Bayou Sauces,https://www.hotsauce.com/bayou-love-potion-number-9-louisiana-peppa-sauce/
"Bayou Passion Hot Sauce, 5oz.",$7.50,$6.95,Bayou Sauces,https://www.hotsauce.com/bayou-passion-hot-sauce/
"Bayou Pecker Power Hot Sauce, 5oz.",$7.50,$6.95,Bayou Sauces,https://www.hotsauce.com/bayou-pecker-power-hot-sauce/
"Blue Bayou Louisiana Pepper Sauce, 5oz.",$7.50,$6.95,HotSauce,https://www.hotsauce.com/blue-bayou-louisiana-pepper-sauce/
"Cajun Power Garlic Sauce, 8oz.",$5.50,$4.95,Cajun Power,https://www.hotsauce.com/cajun-power-garlic-sauce/
"Cajun Power Spicy Garlic All Purpose Sauce, 8oz.",$5.50,$4.95,Cajun Power,https://www.hotsauce.com/cajun-power-spicy-garlic-all-purpose-sauce/
"Cajun Power Spicy Garlic Pepper Sauce, 6oz.",$5.50,$4.95,Cajun Power,https://www.hotsauce.com/cajun-power-spicy-garlic-pepper-sauce/
"Dave's Gourmet Cool Cayenne Pepper Sauce, 5oz.",$7.50,$6.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-cool-cayenne-pepper-sauce/
"Mo Hotta Mo Betta Cayenne Garlic Hot Sauce, 5oz.",$6.50,$5.95,Mo Hotta,https://www.hotsauce.com/mo-hotta-mo-betta-cayenne-garlic-hot-sauce/
"Pain and Suffering XXX Rated Hurts So Bad, 5oz.",$6.50,$5.95,HotSauce,https://www.hotsauce.com/pain-and-suffering-xxx-rated-hurts-so-bad/
"Pain Is Good Batch #218 Louisiana Style, 7oz.",$13.00,$10.49,Pain Is Good,https://www.hotsauce.com/pain-is-good-batch-218-louisiana-style-hot-sauce/
"Pleasure & Pain XXX Rated Hot Sauce, 5oz.",$5.50,$4.95,HotSauce,https://www.hotsauce.com/pleasure-pain-xxx-rated-hot-sauce/
"See Dick Burn Hot Sauce, 5oz.",$5.50,$4.95,HotSauce,https://www.hotsauce.com/see-dick-burn-hot-sauce/
"See Dick, Jane and Spot Burn Gift Box Gift Set 3/5oz.",$16.50,$14.95,HotSauce,https://www.hotsauce.com/see-dick-jane-and-spot-burn-gift-box-gift-set/
"See Jane On Fire ""Burn Jane Burn"" Hot Sauce, 5oz.",$5.50,$4.95,HotSauce,https://www.hotsauce.com/see-jane-on-fire-burn-jane-burn-hot-sauce/
