Name,Price,Price witout Tax,Brand,Link
"Body Heat XXX Hot, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/body-heat-xxx-hot-sauce/
"Buttplug Relief Extra Hot Sauce, 5oz.",$6.50,$5.95,Tahiti Joes,https://www.hotsauce.com/buttplug-relief-extra-hot-sauce/
"Devil's Bitch XXX Rated Hot Sauce, 5oz.",$5.50,$4.95,HotSauce,https://www.hotsauce.com/devils-bitch-xxx-rated-hot-sauce/
"Don't Fuck With Me I'm Hot XXX Extract Hot Sauce, 5oz.",$8.50,$7.95,Hot Sauce Fanatics,https://www.hotsauce.com/dont-fuck-with-me-im-hot-xxx-extract-hot-sauce/
"Fiery Fart XXX Rated Hot Sauce, 5oz.",$5.50,$4.95,HotSauce,https://www.hotsauce.com/fiery-fart-xxx-rated-hot-sauce/
"Hotsy Totsy XXX Rated Hot Sauce, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/hotsy-totsy-xxx-rated-hot-sauce/
"No Shit This Is Hot! Hot Sauce, 5oz.",$6.50,$5.95,HotSauce,https://www.hotsauce.com/no-shit-this-is-hot-hot-sauce/
"One Fuckin' Drop At A Time Hot Sauce, 4oz.",$11.00,$9.75,Hottest FN,https://www.hotsauce.com/one-fuckin-drop-at-a-time-hot-sauce/
"Pain and Suffering XXX Rated Hurts So Bad, 5oz.",$6.50,$5.95,HotSauce,https://www.hotsauce.com/pain-and-suffering-xxx-rated-hurts-so-bad/
"Pleasure & Pain XXX Rated Hot Sauce, 5oz.",$5.50,$4.95,HotSauce,https://www.hotsauce.com/pleasure-pain-xxx-rated-hot-sauce/
"Show Your Tits! Hot Sauce w/ Mardi Gras Beads, 5oz.",$6.50,$5.95,HotSauce,https://www.hotsauce.com/show-your-tits-hot-sauce-mardi-gras-beads/
"Submission Hot Sauce, 5oz.",$11.00,$9.95,HotSauce,https://www.hotsauce.com/submission-hot-sauce/
"The Big Hot One Hot Sauce, How Much Can You Swallow, 5oz.",$5.50,$4.95,HotSauce,https://www.hotsauce.com/the-big-hot-one-hot-sauce-how-much-can-you-swallow/
"The Hottest Fuckin' Hot Sauce, 5oz.",$10.00,$8.95,Hottest FN,https://www.hotsauce.com/the-hottest-fuckin-hot-sauce/
