Name,Price,Price witout Tax,Brand,Link
"Ass Kickin Mini Hot Sauce 4-Pack , 4/.75oz.",$7.00,$6.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-mini-hot-sauce-4-pack/
Blair's Q Heat Exotic Hot Sauce Gourmet Sampler 4 Pack / 2oz.,$17.00,$15.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-exotic-hot-sauce-gourmet-sampler-4-pack/
"Gator Hammock Mini Hot Sauce, .5oz.",$3.00,$2.49,Gator Hammock,https://www.hotsauce.com/gator-hammock-mini-hot-sauce/
"Hottest Fuckin' Sauce Mini Hot Sauce, 1.5oz.",$4.00,$3.49,Hottest FN,https://www.hotsauce.com/hottest-fuckin-sauce-mini-hot-sauce/
"Iguana Bold Gold Habanero Mini Hot Sauce, 2oz.",$3.00,$2.49,Iguana Sauces,https://www.hotsauce.com/iguana-bold-gold-habanero-mini-hot-sauce/
"Iguana Red Habanero Mini Pepper Sauce, 2oz.",$3.00,$2.49,Iguana Sauces,https://www.hotsauce.com/iguana-red-habanero-mini-pepper-sauce/
"Iguana Smoky Chipotle Mini Pepper Sauce, 2oz.",$3.00,$2.49,Iguana Sauces,https://www.hotsauce.com/iguana-smoky-chipotle-mini-pepper-sauce/
"Iguana Vicious Jalapeno Mini Pepper Sauce, 2oz.",$3.00,$2.49,Iguana Sauces,https://www.hotsauce.com/iguana-vicious-jalapeno-mini-pepper-sauce/
"Marie Sharp's Belizean Heat Mini Habanero Hot Sauce, 1.69oz.",$3.00,$2.49,Marie Sharps,https://www.hotsauce.com/marie-sharps-belizean-heat-mini-habanero-hot-sauce/
"Marie Sharp's Beware Comatose Hot Sauce Mini, 1.69oz.",$3.00,$2.49,Marie Sharps,https://www.hotsauce.com/marie-sharps-beware-comatose-mini-hot-sauce/
"Marie Sharp's Fiery Hot Habanero Mini Pepper Sauce, 1.69oz.",$3.00,$2.49,Marie Sharps,https://www.hotsauce.com/marie-sharps-fiery-hot-habanero-mini-pepper-sauce/
"Marie Sharp's Green Habanero Mini Hot Sauce with Prickly Pears, 1.69oz.",$3.00,$2.49,Marie Sharps,https://www.hotsauce.com/marie-sharps-green-habanero-mini-hot-sauce-with-prickly-pears/
"Marie Sharp's Hot Habanero Mini Pepper Sauce, 1.69oz.",$3.00,$2.49,Marie Sharps,https://www.hotsauce.com/marie-sharps-hot-habanero-mini-pepper-sauce/
"Marie Sharp's Hot Sauce Mini Gift Set, 7/1.69oz.",$21.00,$17.43,Marie Sharps,https://www.hotsauce.com/marie-sharps-hot-sauce-mini-gift-set/
"Marie Sharp's Mild Habanero Mini Pepper Sauce, 1.69oz.",$3.00,$2.49,Marie Sharps,https://www.hotsauce.com/marie-sharps-mild-habanero-mini-pepper-sauce/
"Marie Sharp's Orange Pulp Mini, 1.69oz.",$3.00,$2.49,Marie Sharps,https://www.hotsauce.com/marie-sharps-orange-pulp-mini-hot-sauce/
"Mini Ass Kickin Roasted Garlic Hot Sauce, .75oz.",$2.50,$1.99,Ass Kickin,https://www.hotsauce.com/ass-kickin-roasted-garlic-mini-hot-sauce/
"Mini Ass Kickin' Ass Blaster Hot Sauce, .75oz.",$2.50,$1.99,Ass Kickin,https://www.hotsauce.com/ass-kickin-ass-blaster-mini-hot-sauce/
"Mini Ass Kickin' Cajun Hot Sauce, .75oz.",$2.50,$1.99,Ass Kickin,https://www.hotsauce.com/ass-kickin-cajun-mini-hot-sauce/
"Mini Ass Kickin' Original Hot Sauce, .75oz.",$2.50,$1.99,Ass Kickin,https://www.hotsauce.com/mini-ass-kickin-original-hot-sauce/
"Mini Ass Kickin' Wasabi Horseradish Hot Sauce, .75oz.",$2.50,$1.99,Ass Kickin,https://www.hotsauce.com/ass-kickin-wasabi-horseradish-mini-hot-sauce/
"Mini Habanero Hot Sauce From Hell Devil's Revenge, .75oz.",$2.50,$1.99,Habanero From Hell,https://www.hotsauce.com/habanero-hot-sauce-from-hell-mini-devils-revenge/
"Mini Hot Sauce From Hell, .75oz.",$2.50,$1.99,Habanero From Hell,https://www.hotsauce.com/hot-sauce-from-hell-mini-hot-sauce/
"Mini Spontaneous Combustion Hot Sauce, .75oz.",$2.50,$1.99,Spontaneous Combust,https://www.hotsauce.com/spontaneous-combustion-mini-hot-sauce/
