Name,Price,Price witout Tax,Brand,Link
"1 Million Scoville Concentrated Pepper Extract, 5oz.",$34.00,$24.95,Artifact Burn Extracts,https://www.hotsauce.com/1-Million-Scoville-Concentrated-Pepper-Extract/
"6 Million (SHU) Pure Capsicum Extract, 1oz. Kit.",$100.00,$64.95,HotSauce,https://www.hotsauce.com/6-million-shu-pure-capsicum-oleoresin-extract-30ml/
"9 Million (SHU) Pure Capsicum Extract, 1oz. Kit.",$125.00,$79.95,HotSauce,https://www.hotsauce.com/9-Million-SHU-Pure-Capsicum-Oleoresin-Extract-1oz-Kit/
"Alice Cooper Hot Sauce 3 Pack, 3/5oz.",$33.00,$30.00,Alice Cooper,https://www.hotsauce.com/Alice-Cooper-Hot-Sauce-3-Pack/
"Alice Cooper No More Mr. Nice Guy Medium Hot Sauce, 5oz.",$11.00,$10.00,Alice Cooper,https://www.hotsauce.com/Alice-Cooper-No-More-Mr-Nice-Guy-Medium-Hot-Sauce/
"Alice Cooper Poison Reaper Hot Sauce, 5oz.",$13.00,$12.00,Alice Cooper,https://www.hotsauce.com/Alice-Cooper-Poison-Reaper-Hot-Sauce/
"Alice Cooper Welcome To My Nightmare Mild Hot Sauce, 5oz.",$9.00,$8.00,Alice Cooper,https://www.hotsauce.com/Alice-Cooper-Welcome-To-My-Nightmare-Mild-Hot-Sauce/
"Angry Goat Pepper Co. Black Bison Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-black-bison-hot-sauce/
"Angry Goat Pepper Co. Dark Swizzle Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-dark-swizzle-hot-sauce/
"Angry Goat Pepper Co. Demon Reaper Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Demon-Reaper-Hot-Sauce/
"Angry Goat Pepper Co. Dreams Of Calypso Hot Sauce, 5oz.",$9.00,$7.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Dreams-Of-Calypso-Hot-Sauce/
"Angry Goat Pepper Co. Goat Rider Hot Sauce, 5oz.",$10.50,$9.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Goat-Rider-Hot-Sauce/
"Angry Goat Pepper Co. Hippy Dippy Green Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-hippy-dippy-green-hot-sauce/
"Angry Goat Pepper Co. Hot Cock Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Hot-Cock-Hot-Sauce/
"Angry Goat Pepper Co. Pink Elephant Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-pink-elephant-hot-sauce/
"Angry Goat Pepper Co. Purple Hippo Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-purple-hippo-hot-sauce/
"Angry Goat Pepper Co. Red Armadillo Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-red-armadillo-hot-sauce/
"Angry Goat Pepper Co. Sacrifice Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-sacrifice-hot-sauce/
"Angry Goat Pepper Co. Sweaty Beaver Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Sweaty-Beaver-Hot-Sauce/
"Angry Goat Pepper Co. Yellow Flamingo Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-yellow-flamingo-hot-sauce/
"Artifact ACUTE Burn 1 Million Scoville Pepper Extract, 1.7oz.",$40.00,$34.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-acute-burn-1-million-scoville-pepper-extract/
"Artifact EXTREME Burn 3 Million Scoville Pepper Extract, 1.7oz.",$60.00,$43.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-extreme-burn-3-million-scoville-pepper-extract/
"Artifact SEVERE Burn 2 Million Scoville Pepper Extract, 1.7oz.",$50.00,$39.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-severe-burn-2-million-scoville-pepper-extract/
"Ass In The Tub Hot Sauces Gift Pack, 3/5oz.",$23.00,$19.95,Ass In The Tub,https://www.hotsauce.com/Ass-In-The-Tub-Hot-Sauces-Gift-Pack/
"Bourbon Q Barbecue Rub for Sissies, 16oz.",$15.50,$13.95,Kentucky Bourbon Q,https://www.hotsauce.com/Bourbon-Q-Barbecue-Rub-For-Sissies/
"Bourbon Q Hottest Ride In Town Barbecue Rub, 16oz",$15.50,$13.95,Kentucky Bourbon Q,https://www.hotsauce.com/Bourbon-Q-Hottest-Ride-In-Town-Barbecue-Rub/
"Bourbon Q Moonshine Madness Barbecue Rub, 16oz",$15.50,$13.95,Kentucky Bourbon Q,https://www.hotsauce.com/Bourbon-Q-Moonshine-Madness-Barbecue-Rub/
"Bourbon Q XXX White Lightnin Barbecue Rub, 16oz",$15.50,$13.95,Kentucky Bourbon Q,https://www.hotsauce.com/Bourbon-Q-XXX-White-Lightnin-Barbecue-Rub/
"Bravado Spice Co Ghost Pepper Blueberry Hot Sauce, 5oz.",$9.00,$7.95,Bravado Spice Co,https://www.hotsauce.com/bravado-spice-co-ghost-pepper-blueberry-hot-sauce/
Name,Price,Price witout Tax,Brand,Link
"Bravado Spice Co. Ancho Masala Scorpion Reaper Hot Sauce, 5oz.",$14.00,$12.49,Bravado Spice Co,https://www.hotsauce.com/Bravado-Cpice-Co-Ancho-Masala-Scorpion-Reaper-Hot-Sauce/
"Bravado Spice Co. Black Garlic Carolina Reaper Hot Sauce, 5oz.",$14.00,$12.49,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Black-Garlic-Carolina-Reaper-Hot-Sauce/
"Bravado Spice Co. Creamy Herb and Jalapeno Hot Sauce, 5oz.",$9.00,$7.95,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Creamy-Herb-And-Jalapeno-Hot-Sauce/
"Bravado Spice Co. Crimson Hot Sauce, 5oz.",$9.00,$7.95,Bravado Spice Co,https://www.hotsauce.com/bravado-spice-co-crimson-hot-sauce/
"Bravado Spice Co. Crimson Pack, 2/5oz., 1/2.7oz.",$30.00,$25.85,Bravado Spice Co,https://www.hotsauce.com/bravado-spice-co-crimson-pack/
"Bravado Spice Co. Crimson Reserve Hot Sauce, 5oz.",$12.00,$9.95,Bravado Spice Co,https://www.hotsauce.com/bravado-spice-co-crimson-reserve-hot-sauce/
"Bravado Spice Co. Crimson Seasoning, 2.7oz.",$9.00,$7.95,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Crimson-Seasoning/
"Bravado Spice Co. Fruity Hot Sauces 3 Pack, 3/5oz.",$27.00,$23.85,Bravado Spice Co,https://www.hotsauce.com/bravado-spice-co-fruity-hot-sauces/
"Bravado Spice Co. Garlic and Arbol Moruga Scorpion Hot Sauce, 5oz.",$14.00,$12.49,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Garlic-Arbol-Moruga-Scorpion-Hot-Sauce/
