Name,Price,Price witout Tax,Brand,Link
"1 Million Scoville Concentrated Pepper Extract, 5oz.",$34.00,$24.95,Artifact Burn Extracts,https://www.hotsauce.com/1-Million-Scoville-Concentrated-Pepper-Extract/
"16 Million Natural PURE Capsaicin Crystals, 1 Gram, 1.7ml, Kit.",$39.00,$24.95,HotSauce,https://www.hotsauce.com/16-million-pure-capsaicin-crystals-2ml/
"16 Million PURE Capsaicin Crystals, 100 Grams.",$375.00,$295.00,HotSauce,https://www.hotsauce.com/16-Million-Pure-Capsaicin-Crystals-100-Grams/
"16 Million PURE Capsaicin Crystals, 1000 Grams / 1 Kilo.","$2,850.00","$2,450.00",HotSauce,https://www.hotsauce.com/16-Million-Pure-Capsaicin-Crystals-1000-Grams/
"16 Million PURE Capsaicin Crystals, 12 Grams, 20ml, Kit.",$149.00,$125.00,HotSauce,https://www.hotsauce.com/16-million-pure-capsaicin-crystals-20ml/
"16 Million PURE Capsaicin Crystals, 250 Grams.",$795.00,$675.00,HotSauce,https://www.hotsauce.com/16-Million-Pure-Capsaicin-Crystals-250-Grams/
"16 Million PURE Capsaicin Crystals, 3 Grams, 5ml, Kit.",$59.00,$29.95,HotSauce,https://www.hotsauce.com/16-million-pure-capsaicin-crystals-5ml/
"16 Million PURE Capsaicin Crystals, 50 Grams.",$225.00,$175.00,HotSauce,https://www.hotsauce.com/16-Million-Pure-Capsaicin-Crystals-50-Grams/
"16 Million PURE Capsaicin Crystals, 500 Grams.","$1,495.00","$1,250.00",HotSauce,https://www.hotsauce.com/16-Million-Pure-Capsaicin-Crystals-500-Grams/
"16 Million PURE Capsaicin Crystals, 6 Grams, 10ml, Kit.",$79.00,$74.95,HotSauce,https://www.hotsauce.com/16-Million-Pure-Capsaicin-Crystals-10ml/
"16 Million PURE Capsaicin Crystals, 9 Gram, 15ml, Kit.",$99.00,$89.00,HotSauce,https://www.hotsauce.com/16-million-pure-capsaicin-crystals-15ml/
"6 Million (SHU) Pure Capsicum Extract, 1oz. Kit.",$100.00,$64.95,HotSauce,https://www.hotsauce.com/6-million-shu-pure-capsicum-oleoresin-extract-30ml/
"6 Million (SHU) Pure Capsicum Oleoresin Extract, .5oz. Kit.",$50.00,$34.95,HotSauce,https://www.hotsauce.com/6-million-shu-pure-capsicum-oleoresin-extract-15ml/
"9 Million (SHU) Pure Capsicum Extract, 1oz. Kit.",$40.00,$125.00,HotSauce,https://www.hotsauce.com/9-Million-SHU-Pure-Capsicum-Oleoresin-Extract-1oz-Kit/
"Artifact ACUTE Burn 1 Million Scoville Pepper Extract, 1.7oz.",$150.00,$79.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-acute-burn-1-million-scoville-pepper-extract/
"Artifact Burn Complete Collectors Gift Set, 3/1.7oz.",$60.00,$34.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-burn-complete-collectors-gift-set/
"Artifact EXTREME Burn 3 Million Scoville Pepper Extract, 1.7oz.",$50.00,$118.85,Artifact Burn Extracts,https://www.hotsauce.com/artifact-extreme-burn-3-million-scoville-pepper-extract/
"Artifact SEVERE Burn 2 Million Scoville Pepper Extract, 1.7oz.",$43.00,$43.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-severe-burn-2-million-scoville-pepper-extract/
"Blair's 2am Reserve Extract Signed (NEW 2nd EDITION), 2oz.",$55.00,$39.95,Blairs Sauces,https://www.hotsauce.com/blairs-2am-reserve-extract-signed-2nd-edition/
"Blair's 3am Reserve Extract Signed (NEW 2nd EDITION), 2oz.",$20.00,$29.95,Blairs Sauces,https://www.hotsauce.com/blairs-3am-reserve-extract-signed-2nd-edition/
"CaJohn's Get Bitten Black Mamba 6 Hot Sauce, 2oz.",$20.00,$46.95,CaJohns,https://www.hotsauce.com/cajohns-get-bitten-black-mamba-6-hot-sauce/
"CaJohn's Trouble Bubble Gum with Pure 16 Million, 5g.",$103.00,$17.95,CaJohns,https://www.hotsauce.com/Cajohns-Trouble-Bubble-Gum-With-Pure-16-Million/
"Da Bomb Hottest Hot Extracts Gift Set, 2/4oz., 1/2 oz.",$65.00,$15.95,Da Bomb,https://www.hotsauce.com/da-bomb-hottest-hot-extracts-gift-set/
"Da Bomb The Final Answer Extract, 2oz.",$122.50,$86.85,Da Bomb,https://www.hotsauce.com/da-bomb-the-final-answer-extract/
"Da Bomb Ultimate Sauce & Extracts Gift Set, 3/4oz., 1/2 oz.",$10.95,$53.95,Da Bomb,https://www.hotsauce.com/da-bomb-ultimate-sauce-extracts-gift-set/
"Lil' Nitro: The World's Hottest Gummy Bear, 3 Grams.",$115.00,$101.80,HotSauce,https://www.hotsauce.com/Lil-Nitro-Worlds-Hottest-Gummy-Bear/
"Milder Pepper Extracts Gift Set, 5oz, 2oz, 1.35oz.",$38.00,$9.95,HotSauce,https://www.hotsauce.com/Milder-Pepper-Extracts-Gift-Set/
"Pure Cap Extract, 2oz.",$4.00,$98.85,HotSauce,https://www.hotsauce.com/pure-cap-extract/
"Red Flaming Chili Extract Bottle with Dropper, .5oz.",$8.00,$29.95,HotSauce,https://www.hotsauce.com/red-flaming-chili-extract-bottle-with-dropper-1/2oz/
"Satan's Blood Chile Extract, 1.35oz.",$27.00,$19.95,HotSauce,https://www.hotsauce.com/satans-blood-chile-extract/
"Satan's Bloody Toe Torture Gift Set, .7oz, 1.35oz, 5.7oz.",$48.50,$38.39,HotSauce,https://www.hotsauce.com/Satans-Bloody-Toe-Torture-Gift-Set/
"Scariest Pepper Extracts Gift Set, 2oz, 1.35oz, 1.7oz.",$142.00,$110.85,HotSauce,https://www.hotsauce.com/Scariest-Pepper-Extracts-Gift-Set/
"The Source 7.1 Million Collectors Extract, 1oz.",$159.00,$124.95,Original Juan,https://www.hotsauce.com/the-source-7-million-collectors-extract/
