Name,Price,Price witout Tax,Brand,Link
"Ass Kickin Moonshine Pepper Mash, 9.5oz.",$11.00,$9.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-moonshine-pepper-mash/
"CaJohn's Reaper Gift Set, 1/2oz, 1/5oz, 1/16oz.",$40.00,$35.40,CaJohns,https://www.hotsauce.com/cajohns-reaper-gift-set/
"CaJohn's Scorpion Pepper Gift Set, 1/2oz, 1/5oz, 2/16oz.",$46.00,$42.34,CaJohns,https://www.hotsauce.com/cajohns-scorpion-pepper-gift-set/
"Ghost Scream Chili Garlic Paste, 9oz.",$14.00,$11.95,Ghost Scream,https://www.hotsauce.com/ghost-scream-chili-garlic-paste/
"Hottest Purees Gift Set, 3/2oz.",$53.00,$36.39,CaJohns,https://www.hotsauce.com/hottest-purees-gift-set/
"Krakatoa! Pure Red Savina Mash Hot Sauce, 5oz.",$8.50,$7.95,CaJohns,https://www.hotsauce.com/krakatoa-pure-red-savina-mash-hot-sauce/
"Magic Plant Farms Carolina Reaper Mash Puree, 9oz.",$11.00,$9.95,Magic Plant Farms,https://www.hotsauce.com/magic-plant-farms-carolina-reaper-mash-puree/
"Magic Plant Farms Ghost Pepper Mash Puree, 9oz.",$11.00,$9.95,Magic Plant Farms,https://www.hotsauce.com/magic-plant-farms-ghost-pepper-mash/
"Magic Plant Farms Scorpion Pepper Mash Puree, 9oz.",$11.00,$9.95,Magic Plant Farms,https://www.hotsauce.com/magic-plant-farms-scorpion-pepper-mash-puree/
"Magic Plants Mash Puree Gift Set, 3/9oz.",$33.00,$29.85,Magic Plant Farms,https://www.hotsauce.com/magic-plants-mash-puree-gift-set/
"Marie Sharp's Belizean Heat Hot Sauce, 10oz.",$10.00,$7.95,Marie Sharps,https://www.hotsauce.com/marie-sharps-belizean-heat-hot-sauce/
"Marie Sharp's Belizean Heat Hot Sauce, 5oz.",$6.50,$5.95,Marie Sharps,https://www.hotsauce.com/marie-sharps-belizean-heat-hot-sauce-5oz/
"Marie Sharp's Belizean Heat Mini Habanero Hot Sauce, 1.69oz.",$3.00,$2.49,Marie Sharps,https://www.hotsauce.com/marie-sharps-belizean-heat-mini-habanero-hot-sauce/
"Marie Sharp's Belizean Season All, 10oz.",$6.50,$5.95,Marie Sharps,https://www.hotsauce.com/marie-sharps-belizean-season-all/
"Marie Sharp's Beware Comatose Hot Sauce Mini, 1.69oz.",$3.00,$2.49,Marie Sharps,https://www.hotsauce.com/marie-sharps-beware-comatose-mini-hot-sauce/
"Marie Sharp's Beware Comatose Hot Sauce, 10oz.",$8.00,$6.95,Marie Sharps,https://www.hotsauce.com/marie-sharps-beware-comatose-hot-sauce/
"Marie Sharp's Beware Comatose Hot Sauce, 5oz.",$6.50,$5.95,Marie Sharps,https://www.hotsauce.com/marie-sharps-beware-comatose-hot-sauce-5oz/
"Marie Sharp's Orange Pulp Habanero, 5oz.",$6.50,$5.95,Marie Sharps,https://www.hotsauce.com/marie-sharps-orange-pulp-habanero/
"Marie Sharp's Pure Love Pineapple Habanero Pepper Sauce, 5oz.",$7.00,$5.95,Marie Sharps,https://www.hotsauce.com/Marie-Sharps-Pure-Love-Pineapple-Habanero-Pepper-Sauce/
"Marie Sharp's Pure Mango Habanero Pepper Sauce, 5oz.",$7.00,$5.95,Marie Sharps,https://www.hotsauce.com/marie-sharps-pure-mango-habanero-pepper-sauce/
"Melinda's Chipotle Habanero Hot Sauce, 5oz.",$6.50,$5.95,Melinda's,https://www.hotsauce.com/melindas-chipotle-habanero-hot-sauce/
"Orange Krush The Habanero Sauce, 5.7oz.",$8.00,$7.49,HotSauce,https://www.hotsauce.com/orange-krush-the-habanero-sauce/
"Simply Chili Select Cayenne Puree, 5oz.",$8.50,$7.95,CaJohns,https://www.hotsauce.com/simply-chili-select-cayenne-puree/
"Simply Chili Select Chipotle Puree, 5oz.",$8.50,$7.95,CaJohns,https://www.hotsauce.com/simply-chili-select-chipotle-puree/
"Simply Chili Select Fatalii Puree, 5oz.",$8.50,$7.95,CaJohns,https://www.hotsauce.com/simply-chili-select-fatalii-puree/
"Simply Chili Select Jalapeno Puree, 5oz.",$8.50,$7.95,CaJohns,https://www.hotsauce.com/simply-chili-select-jalapeno-puree/
"Simply Chili Select Orange Habanero Puree, 5oz.",$8.50,$7.95,CaJohns,https://www.hotsauce.com/simply-chili-select-orange-habanero-puree/
"Simply Chili Select Puree Gift Set, 7/5oz.",$59.50,$55.65,CaJohns,https://www.hotsauce.com/simply-chili-select-puree-gift-set/
"Simply Chili Select Red Savina Puree, 5oz.",$8.50,$7.95,CaJohns,https://www.hotsauce.com/simply-chili-select-red-savina-puree/
