name,priceNormal,priceWithoutax,branch,link
"Ass Kickin Fire Roasted Green Chile and Tequila Salsa, 13oz.",$7.50,$6.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-fire-roasted-green-chile-and-tequila-salsa/
"Blair's Jalapeno Death Sauce with Tequila, 5oz.",$12.00,$10.95,Blairs Sauces,https://www.hotsauce.com/blairs-jalapeno-death-sauce-with-tequila/
"Boyle's Irish Scream Hot Sauce, 5oz.",$7.50,$6.95,HotSauce,https://www.hotsauce.com/boyles-irish-scream-hot-sauce/
"Bravado Spice Co. Creamy Herb and Jalapeno Hot Sauce, 5oz.",$9.00,$7.95,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Creamy-Herb-And-Jalapeno-Hot-Sauce/
"Bravado Spice Co. Jalapeno & Green Apple Hot Sauce, 5oz.",$9.00,$7.95,Bravado Spice Co,https://www.hotsauce.com/bravado-spice-co-jalapeno-green-apple-hot-sauce/
"Cholula Green Pepper Hot Sauce, 5oz.",$5.50,$4.95,Cholula,https://www.hotsauce.com/cholula-green-pepper-hot-sauce/
"El Yucateco Green Chile Habanero 4 Pack, 4/4oz.",$20.00,$15.80,El Yucateco,https://www.hotsauce.com/el-yucateco-green-chile-habanero-4-pack/
"El Yucateco Jalapeno Hot Sauce, 5oz.",$5.50,$4.95,El Yucateco,https://www.hotsauce.com/el-yucateco-jalapeno-hot-sauce/
"El Yucateco Salsa Picante de Chile Habanero Green, 4oz.",$5.00,$3.95,El Yucateco,https://www.hotsauce.com/el-yucateco-salsa-picante-de-chile-habanero-green/
"El Yucateco Salsa Picante de Chile Habanero Green, 8oz.",$6.50,$5.95,El Yucateco,https://www.hotsauce.com/el-yucateco-salsa-picante-de-chile-habanero-green-8oz/
"Green Ghost Hot Sauce, 5oz.",$9.50,$8.49,HotSauce,https://www.hotsauce.com/green-ghost-hot-sauce/
"Heartbreaking Dawns The Green Verde Hot Sauce, 5oz.",$7.50,$6.95,Heartbreaking Dawns,https://www.hotsauce.com/heartbreaking-dawns-the-green-verde-hot-sauce/
"Hog's Breath Key West Green Hot Sauce, 5oz.",$7.00,$6.49,Hogs Breath,https://www.hotsauce.com/hogs-breath-key-west-green-hot-sauce/
"Hog's Breath Key West Red Hot Sauce, 5oz.",$7.00,$6.49,Hogs Breath,https://www.hotsauce.com/hogs-breath-key-west-red-hot-sauce/
"Howler Monkey Verde Hot Sauce, 5oz.",$6.50,$5.95,Howler Monkey,https://www.hotsauce.com/howler-monkey-verde-hot-sauce/
"Iguana Mean Green Hot n' Tasty Jalapeno Pepper Sauce, 5oz.",$6.50,$5.95,Iguana Sauces,https://www.hotsauce.com/iguana-mean-green-hot-n-tasty-jalapeno-pepper-sauce/
"Irish Scream Hot Sauce, 5oz.",$7.50,$6.95,CaJohns,https://www.hotsauce.com/irish-scream-hot-sauce/
"Lime Time Grilling Sauce, 12oz.",$8.00,$7.49,HotSauce,https://www.hotsauce.com/lime-time-grilling-sauce/
"Marie Sharp's Green Habanero Mini Hot Sauce with Prickly Pears, 1.69oz.",$3.00,$2.49,Marie Sharps,https://www.hotsauce.com/marie-sharps-green-habanero-mini-hot-sauce-with-prickly-pears/
"Marie Sharp's Hot Nopal / Prickly Pear Green Habanero, 10oz.",$8.00,$6.95,Marie Sharps,https://www.hotsauce.com/marie-sharps-hot-nopal-prickly-pear-green-habanero/
"Marie Sharp's Hot Nopal / Prickly Pear Green Habanero, 5oz.",$6.50,$5.95,Marie Sharps,https://www.hotsauce.com/marie-sharps-hot-nopal-prickly-pear-green-habanero-5oz/
"Mean Green Motherfucker Hot Sauce, 5oz.",$6.50,$5.95,HotSauce,https://www.hotsauce.com/mean-green-motherfucker-hot-sauce/
"Sharkbite Green Jalapeno Hot Sauce, 5oz.",$6.50,$5.95,HotSauce,https://www.hotsauce.com/sharkbite-green-jalapeno-hot-sauce/
"Simply Chili Select Jalapeno Puree, 5oz.",$8.50,$7.95,CaJohns,https://www.hotsauce.com/simply-chili-select-jalapeno-puree/
"Smack My Ass and Call Me Sally, The Second Slapping Jalapeno Hot Sauce, 5oz.",$6.50,$5.95,Tijuana Flats,https://www.hotsauce.com/smack-my-ass-the-second-slapping-green-jalapeno-hot-sauce/
"Stubb's Green Chile Anytime Marinade Sauce, 12oz.",$7.00,$6.49,Stubbs,https://www.hotsauce.com/stubbs-green-chile-marinade/
