Name,Price,Price witout Tax,Brand,Link
"Arizona Gunslinger Chipotle Pepper Salsa, 16oz.",$7.50,$6.95,Arizona Gunslinger,https://www.hotsauce.com/Arizona-Gunslinger-Chipotle-Pepper-Salsa/
"Arizona Gunslinger Roasted Garlic Salsa, 16oz.",$7.50,$6.95,Arizona Gunslinger,https://www.hotsauce.com/Arizona-Gunslinger-Roasted-Garlic-Salsa/
"Ass Kickin Fire Roasted Green Chile and Tequila Salsa, 13oz.",$7.50,$6.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-fire-roasted-green-chile-and-tequila-salsa/
"Ass Kickin Original Habanero and Pinto Bean Salsa, 13oz.",$7.50,$6.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-original-habanero-and-pinto-bean-salsa/
"Ass Kickin Salsas Gift Set, 2/13oz.",$13.90,$9.00,Ass Kickin,https://www.hotsauce.com/ass-kickin-salsas-gift-set/
"CaJohn's Black Bean and Corn Chipotle Gourmet Salsa, 16oz.",$7.95,$8.50,CaJohns,https://www.hotsauce.com/cajohns-black-bean-and-corn-chipotle-gourmet-salsa/
"CaJohn's Black Bean and Corn Ghost Chile Gourmet Salsa, 16oz.",$7.95,$9.00,CaJohns,https://www.hotsauce.com/cajohns-black-bean-and-corn-ghost-chile-gourmet-salsa/
"CaJohn's Black Bean and Corn Hot Gourmet Salsa, 16oz.",$8.49,$8.50,CaJohns,https://www.hotsauce.com/cajohns-black-bean-and-corn-hot-gourmet-salsa/
"CaJohn's Black Bean and Corn Mild Salsa, 16oz.",$7.95,$9.00,CaJohns,https://www.hotsauce.com/Cajohns-Black-Bean-And-Corn-Mild-Salsa/
"CaJohn's CaBoom Medium Heat Picante Sauce Gourmet Salsa, 16oz.",$7.95,$9.00,CaJohns,https://www.hotsauce.com/cajohns-caboom-medium-heat-picante-sauce-gourmet-salsa/
"CaJohn's Chipotle Picante Sauce Gourmet Salsa, 16oz.",$7.95,$6.95,CaJohns,https://www.hotsauce.com/cajohns-chipotle-picante-sauce-gourmet-salsa/
"CaJohn's Gourmet Cranberry Salsa, 16oz.",$7.50,$9.00,CaJohns,https://www.hotsauce.com/cajohns-gourmet-cranberry-salsa/
"CaJohn's Gourmet Mango Burst Salsa, 16oz.",$7.95,$9.00,CaJohns,https://www.hotsauce.com/cajohns-gourmet-mango-burst-salsa/
"CaJohn's Gourmet Peach Salsa, 16oz.",$7.95,$9.00,CaJohns,https://www.hotsauce.com/cajohns-gourmet-peach-salsa/
"CaJohn's Gourmet Pineapple Salsa, 16oz.",$7.95,$9.00,CaJohns,https://www.hotsauce.com/cajohns-gourmet-pineapple-salsa/
"CaJohn's Gourmet Raspberry Chipotle Salsa, 16oz.",$7.95,$9.00,CaJohns,https://www.hotsauce.com/cajohns-gourmet-raspberry-chipotle-salsa/
"CaJohn's Gourmet Raspberry Salsa, 16oz.",$7.95,$8.50,CaJohns,https://www.hotsauce.com/cajohns-gourmet-raspberry-salsa/
"CaJohn's Hot Picante Sauce Gourmet Salsa, 16oz.",$7.95,$33.00,CaJohns,https://www.hotsauce.com/cajohns-hot-picante-sauce-gourmet-salsa/
"CaJohn's Hottest Salsa's Gift Set, 3/16oz.",$29.40,$9.00,CaJohns,https://www.hotsauce.com/cajohns-hottest-salsas-gift-set/
"CaJohn's Key Lime Select Salsa, 16oz.",$7.95,$8.50,CaJohns,https://www.hotsauce.com/Cajohns-Key-Lime-Select-Salsa/
"CaJohn's Medium Picante Sauce Gourmet Salsa, 16oz.",$7.95,$9.00,CaJohns,https://www.hotsauce.com/cajohns-medium-picante-sauce-gourmet-salsa/
"CaJohn's Mild Picante Sauce Gourmet Salsa, 16oz.",$7.95,$8.50,CaJohns,https://www.hotsauce.com/Cajohns-Mild-Picante-Sauce-Gourmet-Salsa/
"CaJohn's Olive & Roasted Garlic Gourmet Salsa, 16oz.",$7.95,$40.00,CaJohns,https://www.hotsauce.com/cajohns-olive-roasted-garlic-gourmet-salsa/
"CaJohn's Reaper Gift Set, 1/2oz, 1/5oz, 1/16oz.",$35.40,$11.00,CaJohns,https://www.hotsauce.com/cajohns-reaper-gift-set/
"CaJohn's Reaper Super Hot Salsa, 16oz.",$9.50,$9.00,CaJohns,https://www.hotsauce.com/cajohns-reaper-super-hot-salsa/
"CaJohn's Roasted Garlic Gourmet Salsa, 16oz.",$8.49,$8.50,CaJohns,https://www.hotsauce.com/cajohns-roasted-garlic-gourmet-salsa/
"CaJohn's Salsa Verde Habanero Gourmet Salsa, 16oz.",$7.95,$9.00,CaJohns,https://www.hotsauce.com/cajohns-salsa-verde-habanero-gourmet-salsa/
"CaJohn's Salsa Verde Mild Gourmet Salsa, 16oz.",$7.95,$9.00,CaJohns,https://www.hotsauce.com/cajohns-salsa-verde-mild-gourmet-salsa/
"CaJohn's Select Salsa Apple Pie Flavor, 16oz.",$8.49,$9.00,CaJohns,https://www.hotsauce.com/cajohns-select-salsa-apple-pie-flavor/
Name,Price,Price witout Tax,Brand,Link
"CaJohn's Select Salsa Pumpkin Pie Flavor, 16oz.",$9.00,$8.49,CaJohns,https://www.hotsauce.com/cajohns-select-salsa-pumpkin-pie-flavor/
"CaJohn's Trinidad Scorpion Salsa, 16oz.",$11.00,$9.95,CaJohns,https://www.hotsauce.com/cajohns-trinidad-scorpion-salsa/
"CaJohn's XHot Picante Sauce Gourmet Salsa, 16oz.",$9.00,$7.95,CaJohns,https://www.hotsauce.com/cajohns-xhot-picante-sauce-gourmet-salsa/
"Crazy Jerry's Margarita Butt Burner Hot Salsa, 16.5oz.",$9.00,$7.95,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-margarita-butt-burner-hot-salsa/
"Crazy Jerry's Margarita No Sweat Mild Salsa, 16.5oz.",$9.00,$7.95,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-margarita-no-sweat-mild-salsa/
"Crazy Jerry's Salsa's Gift Set, 2/16.5oz, 12oz.",$24.00,$23.85,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-salsas-gift-set/
"Da Bomb Ghost Pepper Salsa, 15.5oz.",$9.50,$8.95,Da Bomb,https://www.hotsauce.com/da-bomb-ghost-pepper-salsa/
"Da Bomb Green Habanero Salsa Verde, 15.5oz.",$8.50,$7.95,Da Bomb,https://www.hotsauce.com/da-bomb-green-habanero-salsa-verde/
"Da Bomb Scorpion Garlic Salsa, 15.5oz.",$10.00,$8.49,Da Bomb,https://www.hotsauce.com/da-bomb-scorpion-garlic-salsa/
"Iguana Smoky Jalapeno Chipotle Salsa, 16oz.",$9.00,$8.49,Iguana Sauces,https://www.hotsauce.com/iguana-smoky-jalapeno-chipotle-salsa/
"Jack Ass Salsa, With Habanero Pepper Packet, 13oz.",$9.50,$8.95,Ass Kickin,https://www.hotsauce.com/jack-ass-salsa-with-habanero-pepper-packet/
"Key West Key Lime Salsa, 16oz.",$9.00,$7.95,Key West Key Lime,https://www.hotsauce.com/key-west-key-lime-salsa/
"Macioce's Hot Italian Salsa & Sauce, 16oz.",$9.50,$8.95,CaJohns,https://www.hotsauce.com/macioces-hot-italian-salsa-sauce/
"Macioce's Medium Italian Salsa & Sauce, 16oz.",$9.50,$8.95,CaJohns,https://www.hotsauce.com/macioces-medium-italian-salsa-sauce/
"Macioce's Mild Italian Salsa & Sauce, 16oz.",$9.50,$8.95,HotSauce,https://www.hotsauce.com/macioces-mild-italian-salsa-sauce/
"Naga Jolokia 10 Salsa, 16oz.",$11.00,$9.95,CaJohns,https://www.hotsauce.com/naga-jolokia-10-salsa/
"Pain is Good Batch #114 Salsa, 15.5oz.",$7.50,$6.95,Pain Is Good,https://www.hotsauce.com/pain-is-good-batch-114-salsa/
"Pain is Good Batch #218 Salsa, 15.5oz.",$10.50,$9.95,Pain Is Good,https://www.hotsauce.com/pain-is-good-batch-218-salsa/
"Pain Is Good Batch #37 Habanero Garlic Salsa, 15.5oz.",$7.50,$6.95,Pain Is Good,https://www.hotsauce.com/pain-is-good-batch-37-habanero-garlic-salsa/
"Peach 'N Pepper Gourmet Salsa, 16oz.",$8.00,$7.49,HotSauce,https://www.hotsauce.com/peach-n-pepper-gourmet-salsa/
"Peppers Original Blue Crab Salsa, 12oz.",$8.50,$7.95,HotSauce,https://www.hotsauce.com/peppers-original-blue-crab-salsa/
"Peppers Zesty Blue Crab Salsa, 12oz.",$9.00,$8.49,HotSauce,https://www.hotsauce.com/peppers-zesty-blue-crab-salsa/
"Salsa Stoopid, 16oz.",$11.00,$9.95,CaJohns,https://www.hotsauce.com/salsa-stoopid/
"Screaming Sphincter Habanero Salsa, 16oz.",$8.00,$7.49,Screaming Sphincter,https://www.hotsauce.com/screaming-sphincter-habanero-salsa/
"Tahiti Joe's Maui Pepper Pinapple Salsa 2 Pack, 2/12oz.",$12.00,$11.90,Maui Pepper,https://www.hotsauce.com/tahiti-joes-maui-pepper-pinapple-salsa-set/
"Tahiti Joe's Maui Pepper Sunset Salsa Pineapple - Hot, 12oz.",$6.50,$5.95,Maui Pepper,https://www.hotsauce.com/tahiti-joes-maui-pepper-hot-sunset-pineapple-salsa/
