Name,Price,Price witout Tax,Brand,Link
"Aw Shit Seasoning, 9oz.",$15.50,$13.95,Special Shit,https://www.hotsauce.com/aw-shit-seasoning/
"Bad Byron's Butt Rub Barbecue Seasoning, 26oz.",$22.00,$17.95,Bad Byrons,https://www.hotsauce.com/bad-byrons-butt-rub-barbecue-seasoning-26oz/
"Bad Byron's Butt Rub Barbecue Seasoning, 4.5oz.",$7.00,$5.95,Bad Byrons,https://www.hotsauce.com/bad-byrons-butt-rub-barbecue-seasoning/
"Bone Suckin Cajun Seasoning & Rub, 4.2oz.",$7.50,$6.95,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-cajun-seasoning-rub/
"Bone Suckin Chicken Seasoning & Rub, 5.8oz.",$7.50,$6.95,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-sauce-poultry-seasoning-rub/
"Bone Suckin HOT Seasoning & Rub, 6.2oz.",$7.50,$6.95,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-sauce-rib-rub-hot-seasoning-rub/
"Bone Suckin Seafood Seasoning & Rub, 5.8oz.",$7.50,$6.95,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-seafood-seasoning-and-rub/
"Bone Suckin Seasoning & Rub, 5.8oz.",$7.50,$6.95,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-sauce-rib-rub/
"Bone Suckin Steak Seasoning & Rub, 5.8oz.",$7.50,$6.95,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-steak-seasoning-and-rub/
"Bourbon Q Barbecue Rub for Sissies, 16oz.",$15.50,$13.95,Kentucky Bourbon Q,https://www.hotsauce.com/Bourbon-Q-Barbecue-Rub-For-Sissies/
"Bourbon Q Hottest Ride In Town Barbecue Rub, 16oz",$15.50,$13.95,Kentucky Bourbon Q,https://www.hotsauce.com/Bourbon-Q-Hottest-Ride-In-Town-Barbecue-Rub/
"Bourbon Q Moonshine Madness Barbecue Rub, 16oz",$15.50,$13.95,Kentucky Bourbon Q,https://www.hotsauce.com/Bourbon-Q-Moonshine-Madness-Barbecue-Rub/
"Bourbon Q XXX White Lightnin Barbecue Rub, 16oz",$15.50,$13.95,Kentucky Bourbon Q,https://www.hotsauce.com/Bourbon-Q-XXX-White-Lightnin-Barbecue-Rub/
"Bravado Spice Co. Crimson Seasoning, 2.7oz.",$9.00,$7.95,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Crimson-Seasoning/
"Bravado Spice Co. Jalapeno & Garlic Seasoning, 3oz.",$10.50,$7.95,Bravado Spice Co,https://www.hotsauce.com/bravado-spice-co-jalapeno-garlic-seasoning/
"Bravado Spice Co. Seasoning Set, 1/3oz., 1/2.7oz.",$19.50,$15.90,Bravado Spice Co,https://www.hotsauce.com/bravado-spice-co-seasoning-set/
"Bull Shit Seasoning, 12oz.",$15.50,$13.95,Special Shit,https://www.hotsauce.com/bull-shit-seasoning/
"CaJohn's Fire Dust No Salt Spice Blend, 2.5oz.",$8.50,$7.95,CaJohns,https://www.hotsauce.com/cajohns-fire-dust-no-salt-spice-blend-2oz/
"CaJohn's Fire Dust No Salt Spice Blend, 6oz.",$14.00,$12.95,CaJohns,https://www.hotsauce.com/cajohns-fire-dust-no-salt-spice-blend-6oz/
"Carolina Reaper Flakes, 1/2oz.",$11.00,$9.95,HotSauce,https://www.hotsauce.com/carolina-reaper-flakes/
"Carolina Reaper Pepper Powder, .5oz.",$11.00,$9.95,HotSauce,https://www.hotsauce.com/carolina-reaper-pepper-powder/
"Chicken Shit Poultry Seasoning, 12oz.",$15.50,$13.95,Special Shit,https://www.hotsauce.com/chicken-shit-poultry-seasoning/
"Dave's (Chile Today) Chipotle Powder Medium, 1oz.",$8.50,$6.95,Daves Gourmet,https://www.hotsauce.com/daves-chile-today-chipotle-powder-medium/
"Dip Shit For Fruit, .75oz.",$5.50,$4.95,Special Shit,https://www.hotsauce.com/dip-shit-for-fruit/
"Dip Shit For Vegetables, .75oz.",$5.50,$4.95,Special Shit,https://www.hotsauce.com/dip-shit-for-vegetables/
"Gator Hammock Cooter Rubb, 6.5oz",$8.50,$7.95,Gator Hammock,https://www.hotsauce.com/gator-hammock-cooter-rubb/
"Gator Hammock Gator Done Seasoning, 6.5oz.",$8.50,$7.95,Gator Hammock,https://www.hotsauce.com/gator-hammock-gator-done-seasoning/
"Gator Hammock Gator Sprinkle, 6.5oz.",$8.50,$7.95,Gator Hammock,https://www.hotsauce.com/gator-hammock-gator-sprinkle/
