name,priceNormal,priceWithoutax,branch,link
"Ass Kickin Hot Salt 9 Pack, 9/1.1oz.",$31.50,$26.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-hot-salt-9-pack/
"Ass Kickin Ketchup with Habanero, 12oz.",$8.00,$7.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-ketchup/
"Ass Kickin Steak Sauce with Habanero, 10oz.",$8.00,$7.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-steak-sauce/
"Captain Thom's Slappin' Fat Bacon Flavored Ketchup with Sriracha, 12oz.",$9.50,$8.95,Captain Thoms,https://www.hotsauce.com/Captain-Thoms-Slappin-Fat-Bacon-Flavored-Ketchup-With-Sriracha/
"Captain Thom's Slappin' Fat Bacon Flavored Ketchup, 12oz.",$9.50,$8.95,Captain Thoms,https://www.hotsauce.com/Captain-Thoms-Slappin-Fat-Bacon-Flavored-Ketchup/
"Crazy Jerry's Backfire X Hot Oyster Sauce, 13oz.",$8.50,$7.95,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-backfire-x-hot-oyster-sauce/
"Crazy Jerry's Fried Green Maters, 5oz.",$8.50,$7.95,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-fried-green-maters/
"Crazy Jerry's Lizard Eyes Habanero Stuffed Olives, 5oz.",$8.50,$7.95,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-lizard-eyes-habanero-stuffed-olives/
"Crazy Jerry's Lizard Eyes Jalapeno Stuffed Olives, 5oz.",$8.50,$7.95,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-lizard-eyes-jalapeno-stuffed-olives/
"Crazy Jerry's Mean Beans, Olives and Mushrooms Set, 2/5oz, 8oz, 12.5oz.",$33.00,$31.34,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-mean-beans-olives-and-mushrooms-set/
"Crazy Jerry's Seafood and Everything Else Sauce, 12oz.",$8.50,$7.95,Crazy Jerrys,https://www.hotsauce.com/Crazy-Jerrys-Seafood-And-Everything-Else-Sauce/
"Fiesta Very Berry Chipotle Sauce, 12.5oz.",$10.00,$8.95,Original Juan,https://www.hotsauce.com/fiesta-three-berry-chipotle-sauce/
"Ghost Scream Chili Garlic Jam, 10.5oz.",$12.00,$9.95,Ghost Scream,https://www.hotsauce.com/ghost-scream-chili-garlic-jam/
"Habanero Bloody Mary from Hell Mix, 26oz.",$9.50,$8.95,Habanero From Hell,https://www.hotsauce.com/habanero-bloody-mary-from-hell-mix/
"Historic Lynchburg Tennessee Whiskey Extra Spicy 140 Proof Habanero Pepper Ketchup, 15oz.",$8.50,$7.95,Tennessee Whiskey,https://www.hotsauce.com/historic-lynchburg-tennessee-whiskey-habanero-pepper-ketchup/
"Historic Lynchburg Tennessee Whiskey Hot and Spicy 110 Proof Jalapeno Pepper Ketchup, 15oz.",$7.50,$6.95,Tennessee Whiskey,https://www.hotsauce.com/historic-lynchburg-tennessee-whiskey-jalapeno-pepper-ketchup/
"Historic Lynchburg Tennessee Whiskey Spiced Curry Ketchup, 15oz.",$7.50,$6.95,Tennessee Whiskey,https://www.hotsauce.com/historic-lynchburg-tennessee-whiskey-spiced-curry-ketchup/
"Historic Lynchburg Tennessee Whiskey Swineapple Rib Glaze and Dippin' Sauce, 16oz.",$8.50,$7.95,Tennessee Whiskey,https://www.hotsauce.com/historic-lynchburg-tennessee-whiskey-swineapple-rib-glaze-and-dippin-sauce/
"Melinda's Black Pepper Ketchup, 14oz.",$7.50,$6.95,Melinda's,https://www.hotsauce.com/Melindas-Black-Pepper-Ketchup/
"Melinda's Bold & Spicy Habanero Ketchup, 14oz.",$7.50,$6.95,Melinda's,https://www.hotsauce.com/melindas-bold-spicy-habanero-ketchup/
"Melinda's Ketchup Complete Gift Set, 5/14oz.",$38.50,$35.83,Melinda's,https://www.hotsauce.com/Melindas-Ketchup-Complete-Gift-Set/
"Melinda's Naga Jolokia Ketchup, 14oz.",$8.00,$7.49,Melinda's,https://www.hotsauce.com/melindas-naga-jolokia-ketchup/
"Melinda's Rich & Smoky Chipotle Ketchup, 14oz.",$8.00,$7.49,Melinda's,https://www.hotsauce.com/melindas-rich-smoky-chipotle-ketchup/
"Melinda's Tangy & Spicy Jalapeno Ketchup, 14oz.",$7.50,$6.95,Melinda's,https://www.hotsauce.com/melindas-tangy-spicy-jalapeno-ketchup/
"Salsa Lizano, 24oz.",$9.00,$7.95,Salsa Lizano,https://www.hotsauce.com/salsa-lizano/
"Tobago Keys Coral Ridge Seafood Sauce, 12oz.",$7.50,$6.95,Trinidad Sauces,https://www.hotsauce.com/tobago-keys-coral-ridge-seafood-sauce/
