Name,Price,Price witout Tax,Brand,Link
"Ass Kickin Hot Sriracha Popcorn, 3.5oz.",$3.00,$2.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-hot-sriracha-popcorn/
"Ass Kickin Nuts Gift Set, 4/12oz.",$38.00,$36.34,Ass Kickin,https://www.hotsauce.com/ass-kickin-nuts-gift-set/
"Ass Kickin Sriracha Hot Sauce, 18oz.",$7.00,$6.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-sriracha-hot-sauce/
"Ass Kickin Sriracha Peanuts, 12oz.",$9.50,$8.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-sriracha-peanuts/
"Bee Sting Quasi Thai Sriracha Chili Sauce, 10oz.",$7.50,$6.95,Bee Sting,https://www.hotsauce.com/bee-sting-quasi-thai-sriracha-chili-sauce/
"Fat Cat Bacon Flavored Sriracha Sauce, 12oz.",$8.50,$7.95,Fat Cat,https://www.hotsauce.com/fat-cat-bacon-flavored-sriracha-sauce/
"Fat Cat Siamese Sriracha Sauce, 12oz.",$8.50,$7.95,Fat Cat,https://www.hotsauce.com/fat-cat-siamese-sriracha-sauce/
"Ho Lee Chit Sriracha Hot Sauce, 5oz.",$6.50,$5.95,Hot Sauce Fanatics,https://www.hotsauce.com/ho-lee-chit-sriracha-hot-sauce/
"Melinda's NEW Creamy Style Sriracha Wing Sauce, 12oz.",$7.50,$6.95,Melinda's,https://www.hotsauce.com/Melindas-Creamy-Style-Sriracha-Wing-Sauce/
"Melinda's NEW Sriracha Hot Sauce, 12oz.",$7.50,$6.95,Melinda's,https://www.hotsauce.com/Melindas-Sriracha-Hot-Sauce/
"Ming Loy Sriracha Hot Sauce, 5oz.",$5.50,$4.95,HotSauce,https://www.hotsauce.com/ming-loy-sriracha-hot-sauce/
"Moruga Scorpion Chili Sriracha Dust, 2 oz.",$8.50,$7.95,HotSauce,https://www.hotsauce.com/moruga-scorpion-chili-sriracha-dust/
"Pain is Good Sriracha Hot Sauce, 7oz.",$8.50,$6.95,Pain Is Good,https://www.hotsauce.com/most-wanted-pain-is-good-sriracha-hot-sauce/
"Scotch Bonnet Chili Sriracha Dust, 2 oz.",$8.50,$7.95,HotSauce,https://www.hotsauce.com/scotch-bonnet-chili-sriracha-dust/
"Sriracha Chili Dust, 2oz.",$7.50,$6.95,HotSauce,https://www.hotsauce.com/sriracha-chili-dust/
"Sriracha Dust Gift Set, 5/2oz.",$41.00,$38.75,Sriracha Dust,https://www.hotsauce.com/sriracha-dust-gift-set/
"Tabasco Sriracha Sauce, 20oz.",$9.00,$7.95,Tabasco,https://www.hotsauce.com/tabasco-sriracha-sauce/
