Name,Price,Price witout Tax,Brand,Link
"Bufalo Chipotle Mexican Hot Sauce, 5.8oz.",$3.50,$2.95,Bufalo Mexican,https://www.hotsauce.com/bufalo-chipotle-mexican-hot-sauce/
"Bufalo Jalapeno Mexican Hot Sauce, 5.5oz.",$3.50,$2.95,Bufalo Mexican,https://www.hotsauce.com/bufalo-jalapeno-mexican-hot-sauce/
"Bufalo Mexican Hot Sauce Set, 2/5.5oz.",$7.00,$5.90,Bufalo Mexican,https://www.hotsauce.com/Bufalo-Mexican-Hot-Sauce-Set/
"Cholula Chili Garlic Hot Sauce, 5oz.",$5.50,$4.95,Cholula,https://www.hotsauce.com/cholula-chili-garlic-hot-sauce/
"Cholula Chili Lime Hot Sauce, 5oz.",$5.50,$4.95,Cholula,https://www.hotsauce.com/cholula-chili-lime-hot-sauce/
"Cholula Chipotle Hot Sauce, 5oz.",$5.50,$4.95,Cholula,https://www.hotsauce.com/cholula-chipotle-hot-sauce/
"Cholula Green Pepper Hot Sauce, 5oz.",$5.50,$4.95,Cholula,https://www.hotsauce.com/cholula-green-pepper-hot-sauce/
"Cholula Hot Sauce Complete 5 Pack Gift Set, 5/5oz.",$25.00,$24.75,Cholula,https://www.hotsauce.com/cholula-hot-sauce-complete-5-pack-gift-set/
"Cholula Hot Sauce Variety 4-Pack, 4/5oz.",$20.00,$19.80,Cholula,https://www.hotsauce.com/cholula-hot-sauce-variety-4-pack/
"Cholula Original Hot Sauce 1/2 Gallon, 64oz.",$30.50,$26.95,Cholula,https://www.hotsauce.com/cholula-original-hot-sauce-gallon/
"Cholula Original Hot Sauce with Wooden Topper, 12oz.",$11.00,$8.95,Cholula,https://www.hotsauce.com/cholula-original-hot-sauce-with-wooden-topper-large/
"Cholula Original Hot Sauce with Wooden Topper, 5oz.",$5.50,$4.95,Cholula,https://www.hotsauce.com/cholula-original-hot-sauce-with-wooden-topper/
"Cholula Original Mini Hot Sauce, 2oz.",$4.50,$3.49,Cholula,https://www.hotsauce.com/cholula-original-mini-hot-sauce/
"Cholula Sweet Habanero Hot Sauce, 5oz.",$5.50,$4.95,Cholula,https://www.hotsauce.com/cholula-sweet-habanero-hot-sauce/
"El Yucateco Black Label Reserve Chile Habanero 3 Pack, 3/4oz.",$16.50,$14.85,El Yucateco,https://www.hotsauce.com/el-yucateco-black-label-reserve-chile-habanero-3-pack/
"El Yucateco Black Label Reserve Chile Habanero, 4oz.",$5.50,$4.95,El Yucateco,https://www.hotsauce.com/El-Yucateco-Black-Label-Reserve-Chile-Habanero/
"El Yucateco Caribbean Hot Sauce, 4oz.",$4.50,$3.95,El Yucateco,https://www.hotsauce.com/el-yucateco-caribbean-hot-sauce/
"El Yucateco Chipotle Hot Sauce, 5oz.",$5.50,$4.95,El Yucateco,https://www.hotsauce.com/el-yucateco-chipotle-hot-sauce/
"El Yucateco Complete Gift Set, 4/4oz., 2/5oz.",$27.00,$25.70,El Yucateco,https://www.hotsauce.com/el-yucateco-complete-gift-set-4-4oz-2-5oz/
"El Yucateco Complete Gift Set, 5/4oz.,2/5oz.",$32.00,$30.65,El Yucateco,https://www.hotsauce.com/el-yucateco-complete-gift-set/
"El Yucateco Green Chile Habanero 4 Pack, 4/4oz.",$20.00,$15.80,El Yucateco,https://www.hotsauce.com/el-yucateco-green-chile-habanero-4-pack/
"El Yucateco Jalapeno Hot Sauce, 5oz.",$5.50,$4.95,El Yucateco,https://www.hotsauce.com/el-yucateco-jalapeno-hot-sauce/
"El Yucateco Salsa Picante de Chile Habanero Green, 4oz.",$5.00,$3.95,El Yucateco,https://www.hotsauce.com/el-yucateco-salsa-picante-de-chile-habanero-green/
"El Yucateco Salsa Picante de Chile Habanero Green, 8oz.",$6.50,$5.95,El Yucateco,https://www.hotsauce.com/el-yucateco-salsa-picante-de-chile-habanero-green-8oz/
"El Yucateco Salsa Picante de Chile Habanero Red, 4oz.",$5.00,$3.95,El Yucateco,https://www.hotsauce.com/el-yucateco-salsa-picante-de-chile-habanero-red/
"El Yucateco Salsa Picante de Chile Habanero Red, 8oz.",$6.50,$5.95,El Yucateco,https://www.hotsauce.com/el-yucateco-salsa-picante-de-chile-habanero-red-8oz/
"El Yucateco XXXtra Hot Chile Habanero, 4oz.",$5.00,$3.95,El Yucateco,https://www.hotsauce.com/el-yucateco-xxxtra-hot-chile-habanero/
"Tapatio Hot Sauce, 10oz.",$3.50,$2.95,Tapatio,https://www.hotsauce.com/tapatio-hot-sauce-10oz/
"Tapatio Hot Sauce, 5oz.",$3.00,$2.49,Tapatio,https://www.hotsauce.com/tapatio-hot-sauce/
