Name,Price,Price witout Tax,Brand,Link
"Matouk's (New) Soca Hot Sauce, 10oz.",$6.00,$5.75,Matouks,https://www.hotsauce.com/matouks-soca-hot-sauce/
"Matouk's Hot Calypso Hot Sauce, 10oz.",$6.00,$5.75,Matouks,https://www.hotsauce.com/matouks-hot-calypso-hot-sauce/
"Matouk's Salsa Picante Hot Pepper Sauce, 10oz.",$6.00,$5.75,Matouks,https://www.hotsauce.com/matouks-salsa-picante-hot-pepper-sauce/
"Matouk's West Indian Flambeau Hot Sauce, 10oz.",$6.00,$5.75,Matouks,https://www.hotsauce.com/matouks-west-indian-flambeau-hot-sauce/
"Matouk's West Indian Hot Sauces 4 Pack, 4/10oz.",$26.00,$23.00,Matouks,https://www.hotsauce.com/matouks-west-indian-hot-sauces-4-pack/
"Matouk's West Indian Hot Sauces Full Set, 6/10oz.",$43.00,$40.70,Matouks,https://www.hotsauce.com/matouks-west-indian-hot-sauces-full-set/
"Matouk's West Indian Salsa Picante Hot Sauce, 10oz.",$6.00,$5.75,Matouks,https://www.hotsauce.com/matouks-west-indian-salsa-picante-hot-sauce/
"Tobago Keys Coral Ridge Seafood Sauce, 12oz.",$7.50,$6.95,Trinidad Sauces,https://www.hotsauce.com/tobago-keys-coral-ridge-seafood-sauce/
"Tobago Keys Peruvian Gold Grilling Sauce, 12oz.",$7.00,$6.49,Trinidad Sauces,https://www.hotsauce.com/tobago-keys-peruvian-gold-grilling-sauce/
"Trinidad Caribbean Medium Pepper Sauce, 5oz.",$5.50,$4.95,Trinidad Sauces,https://www.hotsauce.com/trinidad-caribbean-medium-pepper-sauce/
"Trinidad Habanero Extra Hot Sauce, 5oz.",$5.50,$4.95,Trinidad Sauces,https://www.hotsauce.com/trinidad-habanero-extra-hot-sauce/
"Trinidad Habanero Hot Sauce, 5oz.",$5.50,$4.95,Trinidad Sauces,https://www.hotsauce.com/trinidad-habanero-hot-sauce/
