name,priceNormal,priceWithoutax,branch,link
"1 Million Scoville Concentrated Pepper Extract, 5oz.",$34.00,$24.95,Artifact Burn Extracts,https://www.hotsauce.com/1-Million-Scoville-Concentrated-Pepper-Extract/
"17th Street Barbecue Sauce Apple City Red, 18oz.",$8.00,$7.49,17th Street Barbecue,https://www.hotsauce.com/17th-Street-Barbecue-Sauce-Apple-City-Red/
"17th Street Barbecue Sauce Hog Warsh, 18oz.",$8.00,$7.49,17th Street Barbecue,https://www.hotsauce.com/17th-Street-Barbecue-Sauce-Hog-Warsh/
"17th Street Barbecue Sauce Little Kick, 18oz.",$8.00,$7.49,17th Street Barbecue,https://www.hotsauce.com/17th-Street-Barbecue-Sauce-Little-Kick/
"17th Street Barbecue Sauce Mike's Original, 18oz.",$8.00,$7.49,17th Street Barbecue,https://www.hotsauce.com/17th-Street-Barbecue-Sauce-Mikes-Original/
"6 Million (SHU) Pure Capsicum Extract, 1oz. Kit.",$100.00,$64.95,HotSauce,https://www.hotsauce.com/6-million-shu-pure-capsicum-oleoresin-extract-30ml/
"9 Million (SHU) Pure Capsicum Extract, 1oz. Kit.",$125.00,$79.95,HotSauce,https://www.hotsauce.com/9-Million-SHU-Pure-Capsicum-Oleoresin-Extract-1oz-Kit/
"African Rhino Peri Peri Gift Set, 3/6.75oz.",$25.50,$23.85,African Rhino,https://www.hotsauce.com/african-rhino-peri-peri-gift-set/
"African Rhino Peri-Peri Extra Hot Sauce, 6.75oz.",$8.50,$7.95,African Rhino,https://www.hotsauce.com/african-rhino-peri-peri-extra-hot-sauce/
"African Rhino Peri-Peri Hot Sauce, 6.75oz.",$8.50,$7.95,African Rhino,https://www.hotsauce.com/african-rhino-peri-peri-hot-sauce/
"African Rhino Peri-Peri Mild Sauce, 6.75oz.",$8.50,$7.95,African Rhino,https://www.hotsauce.com/african-rhino-peri-peri-mild-sauce/
"Alice Cooper Hot Sauce 3 Pack, 3/5oz.",$33.00,$30.00,Alice Cooper,https://www.hotsauce.com/Alice-Cooper-Hot-Sauce-3-Pack/
"Alice Cooper No More Mr. Nice Guy Medium Hot Sauce, 5oz.",$11.00,$10.00,Alice Cooper,https://www.hotsauce.com/Alice-Cooper-No-More-Mr-Nice-Guy-Medium-Hot-Sauce/
"Alice Cooper Poison Reaper Hot Sauce, 5oz.",$13.00,$12.00,Alice Cooper,https://www.hotsauce.com/Alice-Cooper-Poison-Reaper-Hot-Sauce/
"Alice Cooper Welcome To My Nightmare Mild Hot Sauce, 5oz.",$9.00,$8.00,Alice Cooper,https://www.hotsauce.com/Alice-Cooper-Welcome-To-My-Nightmare-Mild-Hot-Sauce/
"Alligator Bayou Premium BBQ Sauce, 18oz.",$9.00,$8.49,Bayou Sauces,https://www.hotsauce.com/alligator-bayou-premium-bbq-sauce/
"American Style BBQ Beef Barbecue Sauce, 19oz.",$8.00,$7.49,American Style BBQ,https://www.hotsauce.com/american-style-bbq-beef-barbecue-sauce/
"American Style BBQ Chicken Barbecue Sauce, 19oz.",$8.00,$7.49,American Style BBQ,https://www.hotsauce.com/american-style-bbq-chicken-barbecue-sauce/
"American Style BBQ Pork Barbecue Sauce, 19oz.",$8.00,$7.49,American Style BBQ,https://www.hotsauce.com/american-style-bbq-pork-barbecue-sauce/
"Anal Angst X-Hot Hot Sauce, 5.7oz.",$8.50,$7.95,Professor Payne,https://www.hotsauce.com/Anal-Angst-X-Hot-Hot-Sauce/
"Anchor Bar Honey BBQ Sauce, 14oz.",$6.50,$5.95,Anchor Bar,https://www.hotsauce.com/Anchor-Bar-Honey-BBQ-Sauce/
"Anchor Bar Hot Wing Sauces Gift Box, 3/12oz.",$22.00,$19.95,Anchor Bar,https://www.hotsauce.com/Anchor-Bar-Hot-Wing-Sauces-Gift-Box/
"Anchor Bar Hotter Buffalo Wing Sauce, 12oz.",$6.50,$5.95,Anchor Bar,https://www.hotsauce.com/Anchor-Bar-Hotter-Buffalo-Wing-Sauce/
"Anchor Bar Medium Original Buffalo Wing Sauce, 12oz.",$6.50,$5.95,Anchor Bar,https://www.hotsauce.com/Anchor-Bar-Original-Buffalo-Wing-Sauce/
"Anchor Bar Suicidal Buffalo Wing Sauce, 13.6oz.",$6.50,$5.95,Anchor Bar,https://www.hotsauce.com/Anchor-Bar-Suicidal-Buffalo-Wing-Sauce/
"Angry Cock Hot Sauce, 5oz.",$15.00,$12.95,CaJohns,https://www.hotsauce.com/Angry-Cock-Hot-Sauce/
"Angry Goat Pepper Co. Black Bison Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-black-bison-hot-sauce/
"Angry Goat Pepper Co. Dark Swizzle Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-dark-swizzle-hot-sauce/
"Angry Goat Pepper Co. Goat Rider Hot Sauce, 5oz.",$10.50,$9.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Goat-Rider-Hot-Sauce/
"Angry Goat Pepper Co. Hippy Dippy Green Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-hippy-dippy-green-hot-sauce/
"Angry Goat Pepper Co. Pink Elephant Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-pink-elephant-hot-sauce/
"Angry Goat Pepper Co. Purple Hippo Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-purple-hippo-hot-sauce/
"Angry Goat Pepper Co. Red Armadillo Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-red-armadillo-hot-sauce/
"Angry Goat Pepper Co. Sacrifice Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-sacrifice-hot-sauce/
"Angry Goat Pepper Co. Yellow Flamingo Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-yellow-flamingo-hot-sauce/
"Area 51 The Hot Sauce That Doesn't Exist, 6.75oz.",$7.50,$6.95,HotSauce,https://www.hotsauce.com/Area-51-The-Hot-Sauce-That-Doesnt-Exist/
"Arizona Gunslinger Smokin Hot Habanero Pepper Sauce, 5oz.",$5.50,$4.95,Arizona Gunslinger,https://www.hotsauce.com/Arizona-Gunslinger-Smokin-Hot-Habanero-Pepper-Sauce/
"Artifact ACUTE Burn 1 Million Scoville Pepper Extract, 1.7oz.",$40.00,$34.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-acute-burn-1-million-scoville-pepper-extract/
"Artifact Burn Complete Collectors Gift Set, 3/1.7oz.",$150.00,$118.85,Artifact Burn Extracts,https://www.hotsauce.com/artifact-burn-complete-collectors-gift-set/
"Artifact EXTREME Burn 3 Million Scoville Pepper Extract, 1.7oz.",$60.00,$43.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-extreme-burn-3-million-scoville-pepper-extract/
"Artifact SEVERE Burn 2 Million Scoville Pepper Extract, 1.7oz.",$50.00,$39.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-severe-burn-2-million-scoville-pepper-extract/
"Ass Kickin Ass Blaster Original Chili, 1lb.",$8.50,$7.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-ass-blaster-chili/
"Ass Kickin Beef Jerky, 4oz.",$15.00,$11.95,Ass Kickin,https://www.hotsauce.com/Ass-Kickin-Beef-Jerky/
"Ass Kickin Beer Bread with Habanero Pepper, 1lb.",$8.50,$7.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-beer-bread/
"Ass Kickin Cajun Hot Sauce, 5oz.",$6.50,$5.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-cajun-hot-sauce/
"Ass Kickin Chile Lime Popcorn, 3.5oz.",$3.00,$2.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-chile-lime-popcorn/
"Ass Kickin Chili Fixins with Habanero Pepper, 1lb.",$8.50,$7.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-chili-fixins/
"Ass Kickin Corn Bread with Habanero Pepper, 1lb.",$8.50,$7.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-corn-bread/
"Ass Kickin Dumb Ass Hot Sauce, 5oz.",$9.00,$8.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-dumb-ass-hot-sauce/
"Ass Kickin Extreme Hot Sauces 3 Pack, 3/5oz.",$34.50,$29.85,Ass Kickin,https://www.hotsauce.com/Ass-Kickin-Extreme-Hot-Sauces-3-Pack/
"Ass Kickin Extreme Variety Hot Sauces Pack, 4/5oz.",$39.00,$35.34,Ass Kickin,https://www.hotsauce.com/ass-kickin-extreme-variety-hot-sauces-pack/
"Ass Kickin Ghost Pepper Hot Sauce, 5oz.",$12.50,$9.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-ghost-pepper-hot-sauce/
"Ass Kickin Hot Salt 9 Pack, 9/1.1oz.",$31.50,$26.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-hot-salt-9-pack/
"Ass Kickin Hot Sauces Variety 4 Pack, 4/5oz.",$26.00,$23.80,Ass Kickin,https://www.hotsauce.com/Ass-Kickin-Hot-Sauces-Variety-4-Pack/
"Ass Kickin Hot Sriracha Popcorn, 3.5oz.",$3.00,$2.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-hot-sriracha-popcorn/
"Ass Kickin Hottest Hot Sauces 3 Pack, 3/5oz.",$29.00,$26.39,Ass Kickin,https://www.hotsauce.com/ass-kickin-hottest-hot-sauces-3-pack/
"Ass Kickin Jack Ass Complete Hot Sauce Set, 7/5oz.",$53.00,$49.27,Ass Kickin,https://www.hotsauce.com/ass-kickin-jack-ass-complete-hot-sauce-set/
"Ass Kickin Ketchup with Habanero, 12oz.",$8.00,$7.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-ketchup/
"Ass Kickin Mini Hot Sauce 4-Pack , 4/.75oz.",$7.00,$6.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-mini-hot-sauce-4-pack/
"Ass Kickin Moonshine Pepper Mash, 9.5oz.",$11.00,$9.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-moonshine-pepper-mash/
"Ass Kickin My Favorite Ass 4 Pack, 4/5oz.",$36.00,$33.96,Ass Kickin,https://www.hotsauce.com/ass-kickin-my-favorite-ass-4-pack/
"Ass Kickin Original Hot Sauce, 5oz.",$6.50,$5.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-original-hot-sauce/
"Ass Kickin Pain in the Ass Hot Sauce, 5oz.",$9.00,$8.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-pain-in-the-ass-hot-sauce/
"Ass Kickin Roasted Garlic Habanero Hot Sauce, 5oz.",$6.50,$5.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-roasted-garlic-hot-sauce/
