name,priceNormal,priceWithoutax,branch,link
"Angry Goat Pepper Co. Hippy Dippy Green Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-hippy-dippy-green-hot-sauce/
"Angry Goat Pepper Co. Hot Cock Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Hot-Cock-Hot-Sauce/
"Angry Goat Pepper Co. Purple Hippo Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-purple-hippo-hot-sauce/
"Angry Goat Pepper Co. Yellow Flamingo Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-yellow-flamingo-hot-sauce/
"Blair's Jalapeno Death Sauce with Tequila, 5oz.",$12.00,$10.95,Blairs Sauces,https://www.hotsauce.com/blairs-jalapeno-death-sauce-with-tequila/
"Blair's Q Heat Jalapeno Tequila Exotic Hot Sauce, 8.44oz.",$11.00,$9.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-jalapeno-tequila-exotic-hot-sauce/
"Burns & McCoy Exhorresco 7 Pot Primo Hot Sauce, 5oz.",$14.00,$12.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Exhorresco-7-Pot-Primo-Hot-Sauce/
"Burns & McCoy Exitium Pineapple Ginger Hot Sauce, 5oz.",$14.00,$12.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Exitium-Pineapple-Ginger-Hot-Sauce/
"CaJohn's Black Cherry Bourbon Barbecue Sauce, 16oz.",$9.00,$7.95,CaJohns,https://www.hotsauce.com/cajohns-black-cherry-bourbon-barbecue-sauce/
"CaJohn's Bourbon Street Fiery BBQ Sauce, 16oz.",$9.00,$7.95,CaJohns,https://www.hotsauce.com/Cajohns-Bourbon-Street-Fiery-BBQ-Sauce/
"CaJohn's Bourbon Street Smoky BBQ Sauce, 16oz.",$9.00,$7.95,CaJohns,https://www.hotsauce.com/Cajohns-Bourbon-Street-Smoky-BBQ-Sauce/
"CaJohn's Bourbon Street Spicy BBQ Sauce, 16oz.",$9.00,$8.49,CaJohns,https://www.hotsauce.com/Cajohns-Bourbon-Street-Spicy-BBQ-Sauce/
"CaJohn's Fiery BBQ Sauce, 16oz.",$9.00,$7.95,CaJohns,https://www.hotsauce.com/Cajohns-Fiery-Bbq-Sauce/
"CaJohn's Smoky BBQ Sauce, 16oz.",$9.00,$7.95,CaJohns,https://www.hotsauce.com/Cajohns-Smoky-Bbq-Sauce/
"CaJohn's Spicy BBQ Sauce, 16oz.",$9.00,$7.95,CaJohns,https://www.hotsauce.com/Cajohns-Spicy-Bbq-Sauce/
"Funky Monkey Banana Rum Pepper Sauce, 5.7oz.",$8.50,$7.95,HotSauce,https://www.hotsauce.com/funky-monkey-banana-rum-pepper-sauce/
"Haboob Heat One Hot Prick Hot Sauce, 5oz.",$11.50,$9.95,CaJohns,https://www.hotsauce.com/Haboob-Heat-Hot-Sauce/
"Heartbreaking Dawns REAPERCUSSION 7 Pod Primo Hot Sauce, 5oz.",$10.50,$9.95,Heartbreaking Dawns,https://www.hotsauce.com/heartbreaking-dawns-reapercussion/
"High River Sauces Hellacious Hot Sauce, 5.4oz.",$7.50,$6.95,High River Sauces,https://www.hotsauce.com/high-river-sauces-hellacious-hot-sauce/
