name,priceNormal,priceWithoutax,branch,link
"Ass Kickin Hot Salt 9 Pack, 9/1.1oz.",$31.50,$26.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-hot-salt-9-pack/
"Bravado Spice Co. Serrano and Basil Hot Sauce, 5oz.",$9.00,$8.49,Bravado Spice Co,https://www.hotsauce.com/bravado-spice-co-serrano-and-basil-hot-sauce/
"Chicken Shit Poultry Seasoning, 12oz.",$15.50,$13.95,Special Shit,https://www.hotsauce.com/chicken-shit-poultry-seasoning/
"Historic Lynchburg Tennessee Whiskey Lemon Pepper and Herb Seasoning, 4.1oz",$7.50,$6.95,Tennessee Whiskey,https://www.hotsauce.com/historic-lynchburg-tennessee-whiskey-lemon-pepper-herb-seasoning/
"Macioce's Hot Italian Salsa & Sauce, 16oz.",$9.50,$8.95,CaJohns,https://www.hotsauce.com/macioces-hot-italian-salsa-sauce/
"Macioce's Medium Italian Salsa & Sauce, 16oz.",$9.50,$8.95,CaJohns,https://www.hotsauce.com/macioces-medium-italian-salsa-sauce/
"Macioce's Mild Italian Salsa & Sauce, 16oz.",$9.50,$8.95,HotSauce,https://www.hotsauce.com/macioces-mild-italian-salsa-sauce/
"The Cheech Smokin' Chipotle Hot Sauce, 5oz.",$6.50,$5.95,Cheech Sauces,https://www.hotsauce.com/the-cheech-smokin-chipotle-hot-sauce/
"Trinidad Caribbean Medium Pepper Sauce, 5oz.",$5.50,$4.95,Trinidad Sauces,https://www.hotsauce.com/trinidad-caribbean-medium-pepper-sauce/
"Trinidad Habanero Hot Sauce, 5oz.",$5.50,$4.95,Trinidad Sauces,https://www.hotsauce.com/trinidad-habanero-hot-sauce/
"Trinidad Habanero Mild, 5oz.",$5.50,$4.95,Trinidad Sauces,https://www.hotsauce.com/trinidad-habanero-mild-sauce/
