Name,Price,Price witout Tax,Brand,Link
"17th Street Barbecue Sauce Little Kick, 18oz.",$8.00,$7.49,17th Street Barbecue,https://www.hotsauce.com/17th-Street-Barbecue-Sauce-Little-Kick/
"17th Street Barbecue Sauce Mike's Original, 18oz.",$8.00,$7.49,17th Street Barbecue,https://www.hotsauce.com/17th-Street-Barbecue-Sauce-Mikes-Original/
"African Rhino Peri-Peri Extra Hot Sauce, 6.75oz.",$8.50,$7.95,African Rhino,https://www.hotsauce.com/african-rhino-peri-peri-extra-hot-sauce/
"African Rhino Peri-Peri Hot Sauce, 6.75oz.",$8.50,$7.95,African Rhino,https://www.hotsauce.com/african-rhino-peri-peri-hot-sauce/
"African Rhino Peri-Peri Mild Sauce, 6.75oz.",$8.50,$7.95,African Rhino,https://www.hotsauce.com/african-rhino-peri-peri-mild-sauce/
"Ass Kickin Sriracha Peanuts, 12oz.",$9.50,$8.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-sriracha-peanuts/
"CaJohn's Wild Mushroom Hot Sauce, 5oz.",$9.50,$8.95,CaJohns,https://www.hotsauce.com/Cajohns-Wild-Mushroom-Hot-Sauce/
"Chipotle Del Sol Smokin' Hot Sauce, 5oz.",$6.50,$5.95,HotSauce,https://www.hotsauce.com/chipotle-del-sol-smokin-hot-sauce/
"Dave's Gourmet Creamy Garlic Red Pepper Hot Sauce, 8oz.",$9.50,$8.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-creamy-garlic-red-pepper-hot-sauce/
"Dave's Gourmet Creamy Ginger Citrus Hot Sauce, 8oz.",$9.50,$8.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-creamy-ginger-citrus-hot-sauce/
"Dave's Gourmet Creamy Hot Sauce Gift Pack, 3/8oz.",$28.50,$26.85,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-creamy-hot-sauce-gift-pack/
"Dave's Gourmet Creamy Roasted Jalapeno Hot Sauce, 8oz.",$9.50,$8.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-creamy-roasted-jalapeno-hot-sauce/
"Fat Cat Papaya Pequin Passion Hot Sauce, 5oz.",$6.50,$5.95,Fat Cat,https://www.hotsauce.com/Fat-Cat-Papaya-Pequin-Passion-Hot-Sauce/
"Fat Cat Purry-Purry Hot Sauce, 5oz.",$6.50,$5.95,Fat Cat,https://www.hotsauce.com/fat-cat-purry-purry-hot-sauce/
"Ghost Scream Hot Sauce, 5oz.",$8.50,$7.95,Ghost Scream,https://www.hotsauce.com/ghost-scream-hot-sauce/
"Heartbeat Blueberry Habanero Hot Sauce, 6oz.",$13.50,$11.95,Heartbeat Hot Sauces,https://www.hotsauce.com/Heartbeat-Blueberry-Habanero-Hot-Sauce/
