name,priceNormal,priceWithoutax,branch,link
"A Little Nukey Hot Sauce, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/a-little-nukey-hot-sauce/
"Angry Goat Pepper Co. Hippy Dippy Green Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-hippy-dippy-green-hot-sauce/
"Ass Kickin Fire Roasted Green Chile and Tequila Salsa, 13oz.",$7.50,$6.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-fire-roasted-green-chile-and-tequila-salsa/
"Ass Kickin Original Habanero and Pinto Bean Salsa, 13oz.",$7.50,$6.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-original-habanero-and-pinto-bean-salsa/
"Biker Bitch Hot n Wild Hot Sauce, 5oz.",$6.50,$5.95,Tahiti Joes,https://www.hotsauce.com/biker-bitch-hot-n-wild-hot-sauce/
"Bite Me! Lime/Cilantro Hot Sauce, 5oz.",$7.00,$6.49,HotSauce,https://www.hotsauce.com/bite-me-lime-cilantro-hot-sauce/
"Blair's After Death with Liquid Fire Hot Sauce, 5oz.",$13.00,$11.95,Blairs Sauces,https://www.hotsauce.com/blairs-after-death-with-liquid-fire-hot-sauce/
"Blair's Beyond Death Hot Sauce, 5oz.",$18.00,$15.95,Blairs Sauces,https://www.hotsauce.com/blairs-beyond-death-hot-sauce/
"Blair's Q Heat Chipotle Slam Exotic Hot Sauce, 8.44oz.",$11.00,$9.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-chipotle-slam-exotic-hot-sauce/
"Blair's Q Heat Jalapeno Tequila Exotic Hot Sauce, 8.44oz.",$11.00,$9.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-jalapeno-tequila-exotic-hot-sauce/
"Blair's Q Heat Wasabi Green Tea Exotic Hot Sauce, 8.44oz.",$8.50,$7.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-wasabi-green-tea-exotic-hot-sauce/
"Blair's Salsa De La Muerte con Chipotle, 5oz.",$8.50,$7.95,Blairs Sauces,https://www.hotsauce.com/blairs-salsa-de-la-muerte-con-chipotle/
"Bravado Spice Co. Creamy Herb and Jalapeno Hot Sauce, 5oz.",$9.00,$7.95,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Creamy-Herb-And-Jalapeno-Hot-Sauce/
"Burns & McCoy Excubiarium Salsa Verde Hot Sauce, 5oz.",$13.50,$11.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Excubiarium-Salsa-Verde-Hot-Sauce/
"Burns & McCoy Reaper Verde Hot Sauce, 5oz.",$10.00,$7.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Verde-Hot-Sauce/
"CamelToe Chipotle Mango Hot Sauce, 5oz.",$6.50,$5.95,HotSauce,https://www.hotsauce.com/cameltoe-chipotle-mango-hot-sauce/
"Caribbean Condiment Pirates Blend Garlapeno Sauce, 10oz.",$8.50,$7.95,Half Moon Bay,https://www.hotsauce.com/caribbean-condiment-pirates-blend-garlapeno-sauce/
"Crazy Jerry's Margarita Butt Burner Hot Salsa, 16.5oz.",$9.00,$7.95,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-margarita-butt-burner-hot-salsa/
"Crazy Jerry's Margarita No Sweat Mild Salsa, 16.5oz.",$9.00,$7.95,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-margarita-no-sweat-mild-salsa/
"Dave's Gourmet Creamy Hot Sauce Gift Pack, 3/8oz.",$28.50,$26.85,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-creamy-hot-sauce-gift-pack/
"Dave's Gourmet Creamy Roasted Jalapeno Hot Sauce, 8oz.",$9.50,$8.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-creamy-roasted-jalapeno-hot-sauce/
"Dave's Gourmet Hurtin' Jalapeno, 5oz.",$7.50,$6.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-hurtin-jalapeno/
"Deathwish Cayenne Hot Sauce, 5oz.",$7.00,$6.49,Deathwish Sauces,https://www.hotsauce.com/deathwish-cayenne-hot-sauce/
"Deathwish Red Jalapeno Hot Sauce, 5oz.",$7.00,$6.49,Deathwish Sauces,https://www.hotsauce.com/deathwish-red-jalapeno-hot-sauce/
"Fat Cat Cat in Heat Hot Sauce, 5oz.",$6.50,$5.95,Fat Cat,https://www.hotsauce.com/fat-cat-cat-in-heat-hot-sauce/
"Fat Cat Chairman Meow's Revenge Hot Sauce, 5oz.",$7.00,$5.95,Fat Cat,https://www.hotsauce.com/fat-cat-chairman-meows-revenge-hot-sauce/
"Heartbeat Hot Sauces 4 Pack, 4/6oz.",$54.00,$47.80,Heartbeat Hot Sauces,https://www.hotsauce.com/Heartbeat-Hot-Sauces-4-Pack/
"Heartbeat Jalapeno Hot Sauce, 6oz.",$13.50,$11.95,Heartbeat Hot Sauces,https://www.hotsauce.com/Heartbeat-Jalapeno-Hot-Sauce/
