Name,Price,Price witout Tax,Brand,Link
"Analize This XXX Garlic Hot Sauce, 5oz.",$6.50,$5.95,Tahiti Joes,https://www.hotsauce.com/analize-this-xxx-garlic-hot-sauce/
"Biker Bitch Hot n Wild Hot Sauce, 5oz.",$6.50,$5.95,Tahiti Joes,https://www.hotsauce.com/biker-bitch-hot-n-wild-hot-sauce/
"Buttplug Relief Extra Hot Sauce, 5oz.",$6.50,$5.95,Tahiti Joes,https://www.hotsauce.com/buttplug-relief-extra-hot-sauce/
"CamelToe Chipotle Mango Hot Sauce, 5oz.",$6.50,$5.95,HotSauce,https://www.hotsauce.com/cameltoe-chipotle-mango-hot-sauce/
"Pittsburgh Sucks! Hot Sauce, 5oz.",$6.50,$5.95,HotSauce,https://www.hotsauce.com/pittsburgh-sucks-hot-sauce/
"Rectum Ripper XXX 1/2 Mustard & Ginger, 5oz.",$6.50,$5.95,Tahiti Joes,https://www.hotsauce.com/rectum-ripper-xxx-mustard-ginger/
"Tahiti Joe's Ahi Of Kahuna XX Hot Sauce, 5oz.",$6.50,$5.95,Tahiti Joes,https://www.hotsauce.com/tahiti-joes-ahi-of-kahuna-xx-hot-sauce/
"Tahiti Joe's Killer Garlic XXX Pepper Sauce, 5oz.",$6.50,$5.95,Tahiti Joes,https://www.hotsauce.com/tahiti-joes-killer-garlic-xxx-pepper-sauce/
"Tahiti Joe's Maui Pepper Mangonesian Hot Sauce, 5oz.",$6.50,$5.95,Maui Pepper,https://www.hotsauce.com/tahiti-joes-maui-pepper-mangonesian-hot-sauce/
"Tahiti Joe's Onionator XXX Ghost Pepper Hot Sauce, 5oz.",$7.50,$6.95,Tahiti Joes,https://www.hotsauce.com/tahiti-joes-onionator-xxx-ghost-pepper-hot-sauce/
"Tahiti Joe's Polynesian Hot Sauce (Heat With Flavor), 5oz.",$6.50,$5.95,Tahiti Joes,https://www.hotsauce.com/tahiti-joes-polynesian-hot-sauce-heat-with-flavor/
"Tahiti Joe's Tropi Garlic Hot Sauce, Italian Heat, 5oz.",$6.50,$5.95,Tahiti Joes,https://www.hotsauce.com/tahiti-joes-tropi-garlic-hot-sauce-italian-heat/
"Tahiti Joe's Volcano Ahi X Hot Sauce, 5oz.",$6.50,$5.95,Tahiti Joes,https://www.hotsauce.com/tahiti-joes-volcano-ahi-x-hot-sauce/
