name,priceNormal,priceWithoutax,branch,link
"Angry Goat Pepper Co. Dark Swizzle Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-dark-swizzle-hot-sauce/
"Bee Sting Mango Passion Hot Sauce, 5oz.",$5.50,$4.95,Bee Sting,https://www.hotsauce.com/bee-sting-mango-passion-hot-sauce/
"Bee Sting Pineapple Guava Pepper Sauce, 5oz.",$6.50,$5.95,Bee Sting,https://www.hotsauce.com/bee-sting-pineapple-guava-pepper-sauce/
"Blair's Sudden Death Sauce with Ginseng, 5oz.",$22.00,$18.95,Blairs Sauces,https://www.hotsauce.com/blairs-sudden-death-sauce-with-ginseng/
"Blair's Sweet Death Sauce with Mango, 5oz.",$9.50,$8.95,Blairs Sauces,https://www.hotsauce.com/blairs-sweet-death-with-mango-hot-sauce/
"Hellfire Chilimasters Reserve Hot Sauce, 6.8oz.",$10.00,$8.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-chilimasters-reserve-hot-sauce/
"Hellfire Ritual Habitual Hot Sauce, 5oz.",$10.00,$8.95,Hellfire Hot Sauce,https://www.hotsauce.com/Hellfire-Ritual-Habitual-Hot-Sauce/
"Hellfire Ritual Hot Sauce, 5oz.",$12.00,$10.49,Hellfire Hot Sauce,https://www.hotsauce.com/Hellfire-Ritual-Hot-Sauce/
"Hellfire The Elixir Hot Sauce, 6.8oz.",$11.00,$9.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-the-elixir-hot-sauce/
"Iguana Smoky Chipotle Mini Pepper Sauce, 2oz.",$3.00,$2.49,Iguana Sauces,https://www.hotsauce.com/iguana-smoky-chipotle-mini-pepper-sauce/
"Iguana Smoky Jalapeno Chipotle Pepper Sauce, 5oz.",$6.50,$5.95,Iguana Sauces,https://www.hotsauce.com/iguana-smoky-jalapeno-chipotle-pepper-sauce/
"Iguana Smoky Jalapeno Chipotle Salsa, 16oz.",$9.00,$8.49,Iguana Sauces,https://www.hotsauce.com/iguana-smoky-jalapeno-chipotle-salsa/
"Karma Sauce Red Habanero Cherry Bomb Hot Sauce, 5oz.",$9.50,$8.95,Karma,https://www.hotsauce.com/karma-sauce-cherry-bomb-hot-sauce/
"Melinda's Naga Jolokia Ketchup, 14oz.",$8.00,$7.49,Melinda's,https://www.hotsauce.com/melindas-naga-jolokia-ketchup/
"Melinda's NEW GHOST Pepper Steak Sauce, 12oz.",$7.50,$6.95,Melinda's,https://www.hotsauce.com/Melindas-New-Ghost-Pepper-Steak-Sauce/
"Ole Ray's Gourmet Sloppy Sauce, 16oz.",$7.50,$6.95,Ole Rays Sauces,https://www.hotsauce.com/ole-rays-gourmet-sloppy-sauce/
"Orange Krush The Habanero Sauce, 5.7oz.",$8.00,$7.49,HotSauce,https://www.hotsauce.com/orange-krush-the-habanero-sauce/
"Red Ghost Honey BBQ Ghost Wing Sauce, 12oz.",$7.50,$6.95,HotSauce,https://www.hotsauce.com/red-ghost-honey-bbq-ghost-wing-sauce/
"Spicy Shark Caribbean Reef Shark Scotch Bonnet Hot Sauce, 5oz.",$11.00,$9.95,Spicy Shark,https://www.hotsauce.com/Spicy-Shark-Caribbean-Reef-Shark-Scotch-Bonnet-Hot-Sauce/
"Tamarindo Bay Steak Sauce, 10oz.",$8.50,$7.95,Half Moon Bay,https://www.hotsauce.com/tamarindo-bay-steak-sauce/
"Wimp Retardant X-Hot Hot Sauce, 5.7oz.",$8.50,$7.95,Professor Payne,https://www.hotsauce.com/wimp-retardant-x-hot-hot-sauce/
