Name,Price,Price witout Tax,Brand,Link
"Alice Cooper Welcome To My Nightmare Mild Hot Sauce, 5oz.",$9.00,$8.00,Alice Cooper,https://www.hotsauce.com/Alice-Cooper-Welcome-To-My-Nightmare-Mild-Hot-Sauce/
"Angry Goat Pepper Co. Demon Reaper Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Demon-Reaper-Hot-Sauce/
"Angry Goat Pepper Co. Hippy Dippy Green Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-hippy-dippy-green-hot-sauce/
"Angry Goat Pepper Co. Red Armadillo Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-red-armadillo-hot-sauce/
"Angry Goat Pepper Co. Sweaty Beaver Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Sweaty-Beaver-Hot-Sauce/
"Ass Kickin Ass Blaster Original Chili, 1lb.",$8.50,$7.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-ass-blaster-chili/
"Ass Kickin Chili Fixins with Habanero Pepper, 1lb.",$8.50,$7.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-chili-fixins/
"Bravado Spice Co. Garlic and Arbol Moruga Scorpion Hot Sauce, 5oz.",$14.00,$12.49,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Garlic-Arbol-Moruga-Scorpion-Hot-Sauce/
"Bumblefoot's The Sauce, 5oz.",$7.50,$6.49,Bumblefoot's,https://www.hotsauce.com/Bumblefoots-The-Sauce/
"CaJohn's Classic Small Batch Chile Lime Taco Sauce, 5oz.",$11.50,$8.00,CaJohns,https://www.hotsauce.com/cajohns-classic-small-batch-chile-lime-taco-sauce/
"CaJohn's La Segadora Reaper Hot Sauce, 5oz.",$8.50,$7.49,CaJohns,https://www.hotsauce.com/cajohns-la-segadora-reaper-hot-sauce/
"CaJohn's Oaxacan Habanero Hot Sauce, 5oz.",$9.50,$9.95,CaJohns,https://www.hotsauce.com/cajohns-oaxacan-habanero-hot-sauce/
"CaJohn's Quetzalcoatl Ghost Chile Hot Sauce, 5oz.",$8.50,$7.49,CaJohns,https://www.hotsauce.com/Cajohns-Quetzalcoatl-Ghost-Chile-Hot-Sauce/
"Caribbean Condiment Pirates Blend Hot Sauce, 10oz.",$9.50,$8.49,Half Moon Bay,https://www.hotsauce.com/caribbean-condiment-pirates-blend-hot-sauce/
"Dave's Gourmet Creamy Garlic Red Pepper Hot Sauce, 8oz.",$9.50,$7.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-creamy-garlic-red-pepper-hot-sauce/
"Dave's Gourmet Creamy Ginger Citrus Hot Sauce, 8oz.",$28.50,$8.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-creamy-ginger-citrus-hot-sauce/
"Dave's Gourmet Creamy Hot Sauce Gift Pack, 3/8oz.",$9.50,$8.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-creamy-hot-sauce-gift-pack/
"Dave's Gourmet Creamy Roasted Jalapeno Hot Sauce, 8oz.",$6.50,$26.85,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-creamy-roasted-jalapeno-hot-sauce/
"Fat Cat Surprisingly Mild Guajillo Ghost Hot Sauce, 5oz.",$7.50,$8.95,Fat Cat,https://www.hotsauce.com/fat-cat-surprisingly-mild-guajillo-ghost-hot-sauce/
"Heartbreaking Dawns 1542 SouthWest Habanero Hot Sauce, 5oz.",$10.00,$5.95,Heartbreaking Dawns,https://www.hotsauce.com/Heartbreaking-Dawns-1542-Southwestern-Habanero-Sauce/
"Hellfire Chilimasters Reserve Hot Sauce, 6.8oz.",$14.00,$6.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-chilimasters-reserve-hot-sauce/
"Hellfire Evil Bastard Hot Sauce, 5oz.",$16.00,$8.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-evil-bastard-hot-sauce/
"Hellfire Fear This! Reaper Hot Sauce, 5oz.",$16.00,$11.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-fear-this-reaper-hot-sauce/
"Hellfire Fiery Fool Hot Sauce, 5oz.",$17.00,$14.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-fiery-fool-hot-sauce/
"Hellfire Firearrhea Hot Sauce, 5oz.",$9.00,$13.95,Hellfire Hot Sauce,https://www.hotsauce.com/Hellfire-Firearrhea-Hot-Sauce/
"Hellfire Gourmet Red Hot Sauce, 5oz.",$13.00,$14.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-gourmet-red-hot-sauce/
"Hellfire Hellboy Annung un Rama Hot Sauce, 5oz.",$18.00,$7.95,Hellfire Hot Sauce,https://www.hotsauce.com/Hellfire-Hellboy-Annung-Un-Rama-Hot-Sauce/
"Hellfire Hellboy Extreme Hot Sauce, 5oz.",$17.00,$11.95,Hellfire Hot Sauce,https://www.hotsauce.com/Hellfire-Hellboy-Extreme-Hot-Sauce/
"Hellfire Hellboy Legendary AF Hot Sauce, 5oz.",$19.00,$16.95,Hellfire Hot Sauce,https://www.hotsauce.com/Hellfire-Hellboy-Legendary-AF-Hot-Sauce/
