name,priceNormal,priceWithoutax,branch,link
"1 Million Scoville Concentrated Pepper Extract, 5oz.",$34.00,$24.95,Artifact Burn Extracts,https://www.hotsauce.com/1-Million-Scoville-Concentrated-Pepper-Extract/
"6 Million (SHU) Pure Capsicum Extract, 1oz. Kit.",$100.00,$64.95,HotSauce,https://www.hotsauce.com/6-million-shu-pure-capsicum-oleoresin-extract-30ml/
"9 Million (SHU) Pure Capsicum Extract, 1oz. Kit.",$125.00,$79.95,HotSauce,https://www.hotsauce.com/9-Million-SHU-Pure-Capsicum-Oleoresin-Extract-1oz-Kit/
"Arizona Gunslinger Mega Diablo Extra Hot Pepper Sauce, 5oz.",$7.50,$6.95,Arizona Gunslinger,https://www.hotsauce.com/Arizona-Gunslinger-Mega-Diablo-Extra-Hot-Pepper-Sauce/
"Artifact ACUTE Burn 1 Million Scoville Pepper Extract, 1.7oz.",$40.00,$34.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-acute-burn-1-million-scoville-pepper-extract/
"Artifact Burn Complete Collectors Gift Set, 3/1.7oz.",$150.00,$118.85,Artifact Burn Extracts,https://www.hotsauce.com/artifact-burn-complete-collectors-gift-set/
"Artifact EXTREME Burn 3 Million Scoville Pepper Extract, 1.7oz.",$60.00,$43.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-extreme-burn-3-million-scoville-pepper-extract/
"Artifact SEVERE Burn 2 Million Scoville Pepper Extract, 1.7oz.",$50.00,$39.95,Artifact Burn Extracts,https://www.hotsauce.com/artifact-severe-burn-2-million-scoville-pepper-extract/
"Ass Blaster Collector's Hot Sauce w/ Wooden Outhouse, 5oz.",$17.50,$14.95,Ass Kickin,https://www.hotsauce.com/ass-blaster-collectors-hot-sauce-wooden-outhouse/
"Ass Blaster Hot Sauce, 5oz.",$10.00,$8.95,Ass Kickin,https://www.hotsauce.com/ass-blaster-hot-sauce/
"Ass Kickin Dumb Ass Hot Sauce, 5oz.",$9.00,$8.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-dumb-ass-hot-sauce/
"Ass Kickin Sriracha Peanuts, 12oz.",$9.50,$8.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-sriracha-peanuts/
"Black Mamba Extreme Venomous Hot Sauce, 2oz.",$16.00,$12.95,CaJohns,https://www.hotsauce.com/black-mamba-extreme-venomous-hot-sauce/
"Blair's 2am Reserve Extract Signed (NEW 2nd EDITION), 2oz.",$43.00,$29.95,Blairs Sauces,https://www.hotsauce.com/blairs-2am-reserve-extract-signed-2nd-edition/
"Blair's 3am Reserve Extract Signed (NEW 2nd EDITION), 2oz.",$55.00,$46.95,Blairs Sauces,https://www.hotsauce.com/blairs-3am-reserve-extract-signed-2nd-edition/
"Blair's After Death with Liquid Fire Hot Sauce, 5oz.",$13.00,$11.95,Blairs Sauces,https://www.hotsauce.com/blairs-after-death-with-liquid-fire-hot-sauce/
"Blair's Mega Death Sauce with Liquid Fury, 5oz.",$24.00,$19.95,Blairs Sauces,https://www.hotsauce.com/blairs-mega-death-sauce-with-liquid-fury/
"Buhba's Butt Blaster X-Hot Sauce, 5.7oz.",$8.50,$7.95,HotSauce,https://www.hotsauce.com/buhbas-butt-blaster-x-hot-sauce/
"Bumblefoot's Bumblef**ked Hot Sauce, 5oz.",$10.50,$9.95,Bumblefoot's,https://www.hotsauce.com/Bumblefoots-Bumblef-ked-Hot-Sauce/
"Butt Pucker XX Hot Sauce, 5.7oz.",$9.50,$8.95,Professor Payne,https://www.hotsauce.com/butt-pucker-xx-hot-sauce/
"Caboom! Ballistic Hot Sauce with Bullet Keychain, 5oz.",$12.00,$10.49,CaJohns,https://www.hotsauce.com/Caboom-Ballistic-Hot-Sauce-With-Bullet-Keychain/
"Caboom! High Velocity Hot Sauce with Bullet Keychain, 5oz.",$10.50,$9.95,CaJohns,https://www.hotsauce.com/Caboom-High-Velocity-Hot-Sauce-With-Bullet-Keychain/
"Caboom! Tracer Hot Sauce with Bullet Keychain, 5oz.",$11.00,$10.49,CaJohns,https://www.hotsauce.com/Caboom-Tracer-Hot-Sauce-With-Bullet-Keychain/
"CaJohn's Get Bitten Black Mamba 6 Hot Sauce, 2oz.",$20.00,$17.95,CaJohns,https://www.hotsauce.com/cajohns-get-bitten-black-mamba-6-hot-sauce/
"CaJohn's Hydra 7-Pot Primo Hot Sauce, 5oz.",$15.00,$13.95,CaJohns,https://www.hotsauce.com/cajohns-hydra-7-pot-primo-hot-sauce/
"CaJohn's Leviathan Hot Sauce, 5oz.",$15.00,$12.95,CaJohns,https://www.hotsauce.com/cajohns-leviathan-hot-sauce/
"CaJohn's Rougaroux Hot Sauce, 5oz.",$15.00,$13.95,CaJohns,https://www.hotsauce.com/cajohns-rougaroux-hot-sauce/
"CaJohn's Trouble Bubble Gum with Pure 16 Million, 5g.",$20.00,$15.95,CaJohns,https://www.hotsauce.com/Cajohns-Trouble-Bubble-Gum-With-Pure-16-Million/
"Choke Your Chicken Garlic Habanero Hot Sauce, 5oz.",$9.50,$7.95,HotSauce,https://www.hotsauce.com/choke-your-chicken-garlic-habanero-hot-sauce/
"Colon Blow Red Habanero Enima, 5oz.",$8.50,$7.95,HotSauce,https://www.hotsauce.com/colon-blow-red-habanero-enima/
"Crazy Jerry's Mustard Gas Hot Sauce, 4oz.",$10.00,$8.95,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-mustard-gas-hot-sauce/
"Da Bomb Ghost Pepper Hot Sauce, 4oz.",$19.50,$14.95,Da Bomb,https://www.hotsauce.com/da-bomb-ghost-pepper-hot-sauce/
"Da Bomb The Final Answer Extract, 2oz.",$65.00,$53.95,Da Bomb,https://www.hotsauce.com/da-bomb-the-final-answer-extract/
"Dave's (NEW) Ghost Pepper Naga Jolokia Hot Sauce, (Gallon) 128oz.",$150.00,$129.95,Daves Gourmet,https://www.hotsauce.com/daves-ghost-pepper-naga-jolokia-hot-sauce-gallon/
"Dave's (NEW) Ghost Pepper Naga Jolokia Hot Sauce, 5oz.",$10.50,$9.95,Daves Gourmet,https://www.hotsauce.com/daves-ghost-pepper-naga-jolokia-hot-sauce/
"Dave's Gourmet Carolina Reaper Pepper Hot Sauce, 5oz.",$12.00,$10.49,Daves Gourmet,https://www.hotsauce.com/Daves-Gourmet-Carolina-Reaper-Pepper-Hot-Sauce/
"Dave's Gourmet Insanity Hot Sauce, 5oz.",$9.00,$8.49,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-insanity-hot-sauce/
"Dave's Gourmet Insanity Sauce Hot Sauce Gallon, 128oz.",$140.00,$125.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-insanity-sauce-hot-sauce-gallon/
"Dave's Gourmet Temporary Insanity, 5oz.",$8.50,$7.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-temporary-insanity/
"Dave's Gourmet Total Insanity, 5oz.",$9.00,$8.49,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-total-insanity/
"Dave's Gourmet Ultimate Insanity, 5oz.",$10.50,$9.95,Daves Gourmet,https://www.hotsauce.com/Daves-Gourmet-Ultimate-Insanity/
"Dave's Ultimate Insanity Sauce Gallon, 128oz.",$170.00,$139.95,Daves Gourmet,https://www.hotsauce.com/daves-ultimate-insanity-sauce-gallon/
