Name,Price,Price witout Tax,Brand,Link
"Ass in the E.R. Scorpion Pepper Sauce, 5oz.",$10.00,$8.95,Ass In The Tub,https://www.hotsauce.com/ass-in-the-e-r-scorpion-pepper-sauce/
"Ass In The Tub Ghost Pepper Sauce, 5oz.",$9.50,$8.95,Ass In The Tub,https://www.hotsauce.com/ass-in-the-tub-ghost-pepper-sauce/
"Ass in the Tub Special Reserve Armageddon Hot Sauce, 5oz.",$11.00,$9.95,Ass In The Tub,https://www.hotsauce.com/ass-in-the-tub-special-reserve-armageddon-hot-sauce/
"Ass Kickin Beef Jerky, 4oz.",$15.00,$11.95,Ass Kickin,https://www.hotsauce.com/Ass-Kickin-Beef-Jerky/
"Ass Kickin Beer Bread with Habanero Pepper, 1lb.",$8.50,$7.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-beer-bread/
"Ass Kickin Cajun Hot Sauce, 5oz.",$6.50,$5.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-cajun-hot-sauce/
"Ass Kickin Carolina Reaper Hot Sauce, 5oz.",$11.00,$9.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-carolina-reaper-hot-sauce/
"Ass Kickin Chicken Wing Sauce, 13oz.",$8.00,$7.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-chicken-wing-sauce/
"Ass Kickin Chili Fixins with Habanero Pepper, 1lb.",$8.50,$7.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-chili-fixins/
"Ass Kickin Dumb Ass Hot Sauce, 5oz.",$9.00,$8.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-dumb-ass-hot-sauce/
"Ass Kickin Fire Roasted Green Chile and Tequila Salsa, 13oz.",$7.50,$6.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-fire-roasted-green-chile-and-tequila-salsa/
"Ass Kickin Ghost Pepper Hot Sauce, 5oz.",$12.50,$9.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-ghost-pepper-hot-sauce/
"Ass Kickin Hot Salt 9 Pack, 9/1.1oz.",$31.50,$26.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-hot-salt-9-pack/
"Ass Kickin Ketchup with Habanero, 12oz.",$8.00,$7.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-ketchup/
"Ass Kickin Mini Hot Sauce 4-Pack , 4/.75oz.",$7.00,$6.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-mini-hot-sauce-4-pack/
"Ass Kickin Moonshine Pepper Mash, 9.5oz.",$11.00,$9.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-moonshine-pepper-mash/
"Ass Kickin Original Habanero and Pinto Bean Salsa, 13oz.",$7.50,$6.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-original-habanero-and-pinto-bean-salsa/
"Ass Kickin Original Hot Sauce, 5oz.",$6.50,$5.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-original-hot-sauce/
"Ass Kickin Pain in the Ass Hot Sauce, 5oz.",$9.00,$8.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-pain-in-the-ass-hot-sauce/
