Name,Price,Price witout Tax,Brand,Link
"Bee Sting Pineapple Guava Pepper Sauce, 5oz.",$6.50,$5.95,Bee Sting,https://www.hotsauce.com/bee-sting-pineapple-guava-pepper-sauce/
"Blair's Mega Death Sauce with Liquid Fury, 5oz.",$24.00,$19.95,Blairs Sauces,https://www.hotsauce.com/blairs-mega-death-sauce-with-liquid-fury/
"Bumblefoot's Bumblef**ked Hot Sauce, 5oz.",$10.50,$9.95,Bumblefoot's,https://www.hotsauce.com/Bumblefoots-Bumblef-ked-Hot-Sauce/
"Caboom! Ballistic Hot Sauce with Bullet Keychain, 5oz.",$12.00,$10.49,CaJohns,https://www.hotsauce.com/Caboom-Ballistic-Hot-Sauce-With-Bullet-Keychain/
"Caboom! Tracer Hot Sauce with Bullet Keychain, 5oz.",$11.00,$10.49,CaJohns,https://www.hotsauce.com/Caboom-Tracer-Hot-Sauce-With-Bullet-Keychain/
"Gator Hammock Bullgator BBQ, 10oz.",$9.00,$8.49,Gator Hammock,https://www.hotsauce.com/gator-hammock-bullgator-bbq/
"Gator Hammock Hog Wallow BBQ, 10oz.",$8.50,$7.95,Gator Hammock,https://www.hotsauce.com/gator-hammock-hog-wallow-bbq/
"Gator Hammock Swamp Mustard, 5oz.",$6.50,$5.95,Gator Hammock,https://www.hotsauce.com/gator-hammock-swamp-mustard/
"Queen Of Farts Hot Sauce, 5oz.",$7.00,$5.95,CaJohns,https://www.hotsauce.com/queen-of-farts-hot-sauce/
"Vicious Viper Hot Sauce, 5oz.",$10.50,$9.49,CaJohns,https://www.hotsauce.com/vicious-viper-hot-sauce/
"Wanza's Wicked Temptation Hot Sauce, 5oz.",$9.50,$8.95,CaJohns,https://www.hotsauce.com/wanzas-wicked-temptation-hot-sauce/
