name,priceNormal,priceWithoutax,branch,link
"American Style BBQ Beef Barbecue Sauce, 19oz.",$8.00,$7.49,American Style BBQ,https://www.hotsauce.com/american-style-bbq-beef-barbecue-sauce/
"American Style BBQ Chicken Barbecue Sauce, 19oz.",$8.00,$7.49,American Style BBQ,https://www.hotsauce.com/american-style-bbq-chicken-barbecue-sauce/
"Analize This XXX Garlic Hot Sauce, 5oz.",$6.50,$5.95,Tahiti Joes,https://www.hotsauce.com/analize-this-xxx-garlic-hot-sauce/
"Anchor Bar Honey BBQ Sauce, 14oz.",$6.50,$5.95,Anchor Bar,https://www.hotsauce.com/Anchor-Bar-Honey-BBQ-Sauce/
"Ass Kickin Beef Jerky, 4oz.",$15.00,$11.95,Ass Kickin,https://www.hotsauce.com/Ass-Kickin-Beef-Jerky/
"Ass Kickin Chipotle Honey Peanuts, 12oz.",$9.25,$8.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-chipotle-honey-peanuts/
"Ass Kickin Habanero Honey Roasted Peanuts, 12oz.",$10.50,$9.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-honey-roasted-peanuts-habanero-pepper/
"Bee Sting ""Thai Sting"" Sweet Chili Sauce, 5oz.",$6.50,$5.95,Bee Sting,https://www.hotsauce.com/bee-sting-thai-sting-sweet-chili-sauce/
"Bee Sting Honey & Habanero Hot Sauce, 5oz.",$6.50,$5.95,Bee Sting,https://www.hotsauce.com/bee-sting-honey-habanero-hot-sauce/
"Bee Sting Mango Passion Hot Sauce, 5oz.",$5.50,$4.95,Bee Sting,https://www.hotsauce.com/bee-sting-mango-passion-hot-sauce/
"Bee Sting Pineapple Guava Pepper Sauce, 5oz.",$6.50,$5.95,Bee Sting,https://www.hotsauce.com/bee-sting-pineapple-guava-pepper-sauce/
"Bee Sting Quasi Thai Sriracha Chili Sauce, 10oz.",$7.50,$6.95,Bee Sting,https://www.hotsauce.com/bee-sting-quasi-thai-sriracha-chili-sauce/
"Bee Sting Rainforest Honey Papaya Mustard Hot Sauce, 5oz.",$6.50,$5.95,Bee Sting,https://www.hotsauce.com/bee-sting-rainforest-honey-mustard-hot-sauce/
"Biker Bitch Hot n Wild Hot Sauce, 5oz.",$6.50,$5.95,Tahiti Joes,https://www.hotsauce.com/biker-bitch-hot-n-wild-hot-sauce/
"Blair's Sudden Death Sauce with Ginseng, 5oz.",$22.00,$18.95,Blairs Sauces,https://www.hotsauce.com/blairs-sudden-death-sauce-with-ginseng/
"Blair's Sweet Death Sauce with Mango, 5oz.",$9.50,$8.95,Blairs Sauces,https://www.hotsauce.com/blairs-sweet-death-with-mango-hot-sauce/
"Bone Suckin Garlic & Honey Wing Sauce, 12.25oz.",$8.00,$7.49,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-garlic-honey-wing-sauce/
"Bone Suckin Hiccuppin Hot Habanero Hot Sauce, 5oz.",$7.50,$6.95,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-habanero-sauce-hiccuppin-hot/
"Bone Suckin Honey & Habanero Wing Sauce, 12.25oz.",$7.50,$6.95,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-honey-habanero-wing-sauce/
"Bone Suckin HOT Barbecue Sauce, 16oz.",$8.00,$7.49,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-bbq-sauce-hot/
