Name,Price,Price witout Tax,Brand,Link
"17th Street Barbecue Sauce Little Kick, 18oz.",$8.00,$7.49,17th Street Barbecue,https://www.hotsauce.com/17th-Street-Barbecue-Sauce-Little-Kick/
"17th Street Barbecue Sauce Mike's Original, 18oz.",$8.00,$7.49,17th Street Barbecue,https://www.hotsauce.com/17th-Street-Barbecue-Sauce-Mikes-Original/
"African Rhino Peri-Peri Extra Hot Sauce, 6.75oz.",$8.50,$7.95,African Rhino,https://www.hotsauce.com/african-rhino-peri-peri-extra-hot-sauce/
"African Rhino Peri-Peri Hot Sauce, 6.75oz.",$8.50,$7.95,African Rhino,https://www.hotsauce.com/african-rhino-peri-peri-hot-sauce/
"African Rhino Peri-Peri Mild Sauce, 6.75oz.",$8.50,$7.95,African Rhino,https://www.hotsauce.com/african-rhino-peri-peri-mild-sauce/
"Alice Cooper Poison Reaper Hot Sauce, 5oz.",$13.00,$12.00,Alice Cooper,https://www.hotsauce.com/Alice-Cooper-Poison-Reaper-Hot-Sauce/
"Angry Goat Pepper Co. Purple Hippo Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-purple-hippo-hot-sauce/
"Angry Goat Pepper Co. Red Armadillo Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-red-armadillo-hot-sauce/
"Angry Goat Pepper Co. Sweaty Beaver Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Sweaty-Beaver-Hot-Sauce/
"Ass Gas Hot Sauce, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/ass-gas-hot-sauce/
"Ass Kickin Steak Sauce with Habanero, 10oz.",$8.00,$7.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-steak-sauce/
"Bee Sting Honey & Habanero Hot Sauce, 5oz.",$6.50,$5.95,Bee Sting,https://www.hotsauce.com/bee-sting-honey-habanero-hot-sauce/
"Bite Me! Lime/Cilantro Hot Sauce, 5oz.",$7.00,$6.49,HotSauce,https://www.hotsauce.com/bite-me-lime-cilantro-hot-sauce/
"Blair's Sweet Death Sauce with Mango, 5oz.",$9.50,$8.95,Blairs Sauces,https://www.hotsauce.com/blairs-sweet-death-with-mango-hot-sauce/
"Blind Betty's Blind In The Rind Hot Sauce, 5oz.",$6.50,$5.95,Blind Bettys,https://www.hotsauce.com/blind-bettys-blind-in-the-rind-hot-sauce/
"Blind Betty's Original Recipe Hot Sauce, 5oz.",$7.00,$6.49,Blind Bettys,https://www.hotsauce.com/blind-bettys-original-recipe-hot-sauce/
"Blind Betty's Pineapple Pizzazz Hot Sauce, 5oz.",$7.00,$6.49,Blind Bettys,https://www.hotsauce.com/blind-bettys-pineapple-pizzazz-hot-sauce/
