name,priceNormal,priceWithoutax,branch,link
"Alice Cooper No More Mr. Nice Guy Medium Hot Sauce, 5oz.",$11.00,$10.00,Alice Cooper,https://www.hotsauce.com/Alice-Cooper-No-More-Mr-Nice-Guy-Medium-Hot-Sauce/
"Alice Cooper Welcome To My Nightmare Mild Hot Sauce, 5oz.",$9.00,$8.00,Alice Cooper,https://www.hotsauce.com/Alice-Cooper-Welcome-To-My-Nightmare-Mild-Hot-Sauce/
"Angry Goat Pepper Co. Black Bison Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-black-bison-hot-sauce/
"Angry Goat Pepper Co. Dark Swizzle Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-dark-swizzle-hot-sauce/
"Angry Goat Pepper Co. Dreams Of Calypso Hot Sauce, 5oz.",$9.00,$7.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Dreams-Of-Calypso-Hot-Sauce/
"Angry Goat Pepper Co. Hippy Dippy Green Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-hippy-dippy-green-hot-sauce/
"Angry Goat Pepper Co. Hot Cock Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Hot-Cock-Hot-Sauce/
"Angry Goat Pepper Co. Purple Hippo Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-purple-hippo-hot-sauce/
"Angry Goat Pepper Co. Sacrifice Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-sacrifice-hot-sauce/
"Angry Goat Pepper Co. Sweaty Beaver Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Sweaty-Beaver-Hot-Sauce/
"Angry Goat Pepper Co. Yellow Flamingo Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-yellow-flamingo-hot-sauce/
"Ass Kickin Hot Salt 9 Pack, 9/1.1oz.",$31.50,$26.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-hot-salt-9-pack/
"Bravado Spice Co. Garlic and Arbol Moruga Scorpion Hot Sauce, 5oz.",$14.00,$12.49,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Garlic-Arbol-Moruga-Scorpion-Hot-Sauce/
"Bravado Spice Co. Pineapple and Jalapeno Margarita Mix, 16oz.",$10.50,$8.95,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Pineapple-And-Jalapeno-Margarita-Mix/
"Bumblefoot's The Sauce, 5oz.",$7.50,$6.49,Bumblefoot's,https://www.hotsauce.com/Bumblefoots-The-Sauce/
"Burns & McCoy Excubiarium Salsa Verde Hot Sauce, 5oz.",$13.50,$11.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Excubiarium-Salsa-Verde-Hot-Sauce/
"Burns & McCoy Reaper Verde Hot Sauce, 5oz.",$10.00,$7.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Verde-Hot-Sauce/
"CaJohn's Classic Small Batch Chile Lime Taco Sauce, 5oz.",$8.00,$7.49,CaJohns,https://www.hotsauce.com/cajohns-classic-small-batch-chile-lime-taco-sauce/
"CaJohn's Key Lime Select Salsa, 16oz.",$9.00,$7.95,CaJohns,https://www.hotsauce.com/Cajohns-Key-Lime-Select-Salsa/
"CaJohn's Memento Mori Hot Sauce, 5oz.",$15.00,$12.95,CaJohns,https://www.hotsauce.com/Cajohns-Memento-Mori-Hot-Sauce/
"Caribbean Condiment Pirates Blend Garbanero Sauce, 10oz.",$8.50,$7.95,Half Moon Bay,https://www.hotsauce.com/caribbean-condiment-pirates-blend-garbanero-sauce/
"Caribbean Condiment Pirates Blend Garlapeno Sauce, 10oz.",$8.50,$7.95,Half Moon Bay,https://www.hotsauce.com/caribbean-condiment-pirates-blend-garlapeno-sauce/
"Cutino Chipotle Hot Sauce, 4oz.",$12.00,$10.95,Cutino,https://www.hotsauce.com/Cutino-Chipotle-Hot-Sauce/
"Cutino Jalapeno Hot Sauce, 4oz.",$12.00,$10.95,Cutino,https://www.hotsauce.com/Cutino-Jalapeno-Hot-Sauce/
"Cutino Miso Hot Sauce, 4oz.",$12.00,$10.95,Cutino,https://www.hotsauce.com/Cutino-Miso-Hot-Sauce/
"Cutino Verde Hot Sauce, 4oz.",$12.00,$10.95,Cutino,https://www.hotsauce.com/Cutino-Verde-Hot-Sauce/
"Da Bomb Green Habanero Salsa Verde, 15.5oz.",$8.50,$7.95,Da Bomb,https://www.hotsauce.com/da-bomb-green-habanero-salsa-verde/
"Danny Cash's Garlic Serrano Salvation Sauce (w/mini bible), 5oz.",$8.50,$7.95,Danny Cash,https://www.hotsauce.com/danny-cashs-garlic-serrano-salvation-hot-sauce-mini-bible/
"Dave's Gourmet Creamy Ginger Citrus Hot Sauce, 8oz.",$9.50,$8.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-creamy-ginger-citrus-hot-sauce/
"Dirty Dick's Peachy Green Hot Pepper Sauce, 5oz.",$8.50,$7.95,Dirty Dicks,https://www.hotsauce.com/dirty-dicks-peachy-green-hot-pepper-sauce/
"Heartbeat Blueberry Habanero Hot Sauce, 6oz.",$13.50,$11.95,Heartbeat Hot Sauces,https://www.hotsauce.com/Heartbeat-Blueberry-Habanero-Hot-Sauce/
"Heartbeat Hot Sauces 4 Pack, 4/6oz.",$54.00,$47.80,Heartbeat Hot Sauces,https://www.hotsauce.com/Heartbeat-Hot-Sauces-4-Pack/
"Heartbeat Jalapeno Hot Sauce, 6oz.",$13.50,$11.95,Heartbeat Hot Sauces,https://www.hotsauce.com/Heartbeat-Jalapeno-Hot-Sauce/
"Heartbeat Pineapple Habanero Hot Sauce, 6oz.",$13.50,$11.95,Heartbeat Hot Sauces,https://www.hotsauce.com/Heartbeat-Pineapple-Habanero-Hot-Sauce/
"Heartbeat Red Habanero Hot Sauce, 6oz.",$13.50,$11.95,Heartbeat Hot Sauces,https://www.hotsauce.com/Heartbeat-Red-Habanero-Hot-Sauce/
"Hellfire Fear This! Reaper Hot Sauce, 5oz.",$16.00,$14.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-fear-this-reaper-hot-sauce/
