Name,Price,Price witout Tax,Brand,Link
"Angry Goat Pepper Co. Dreams Of Calypso Hot Sauce, 5oz.",$9.00,$7.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Dreams-Of-Calypso-Hot-Sauce/
"Angry Goat Pepper Co. Yellow Flamingo Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-yellow-flamingo-hot-sauce/
"Bee Sting Mango Passion Hot Sauce, 5oz.",$5.50,$4.95,Bee Sting,https://www.hotsauce.com/bee-sting-mango-passion-hot-sauce/
Blair's Q Heat Exotic Hot Sauce Gourmet Sampler 4 Pack / 2oz.,$17.00,$15.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-exotic-hot-sauce-gourmet-sampler-4-pack/
"Blair's Q Heat Habanero Mango Exotic Hot Sauce, 8.44oz.",$10.50,$9.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-habanero-mango-exotic-hot-sauce/
"Blair's Sweet Death Sauce with Mango, 5oz.",$9.50,$8.95,Blairs Sauces,https://www.hotsauce.com/blairs-sweet-death-with-mango-hot-sauce/
"Blowout Habanero Serious Hot Sauce, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/blowout-habanero-hot-sauce/
"Body Heat XXX Hot, 5oz.",$6.50,$5.95,FireWorks,https://www.hotsauce.com/body-heat-xxx-hot-sauce/
"Burns & McCoy Mango Habanero Hot Sauce, 5oz.",$10.00,$7.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Mango-Habanero-Hot-Sauce/
"Burns & McCoy Smoked Habanero Roasted Garlic Hot Sauce, 5oz.",$10.00,$7.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Smoked-Habanero-Roasted-Garlic-Hot-Sauce/
"CaJohn's Gourmet Mango Burst Salsa, 16oz.",$9.00,$7.95,CaJohns,https://www.hotsauce.com/cajohns-gourmet-mango-burst-salsa/
"CaJohn's Tiki Bar Mild Hot Sauce, 5oz.",$9.50,$8.95,CaJohns,https://www.hotsauce.com/cajohns-tiki-bar-mild-hot-sauce/
"CaJohn's Tiki Bar Torch Hot Sauce, 5oz.",$9.50,$8.95,CaJohns,https://www.hotsauce.com/cajohns-tiki-bar-torch-hot-sauce/
"CamelToe Chipotle Mango Hot Sauce, 5oz.",$6.50,$5.95,HotSauce,https://www.hotsauce.com/cameltoe-chipotle-mango-hot-sauce/
"Chef Fartenburn's Gourmet Hot Sauce, 5oz.",$5.50,$4.95,HotSauce,https://www.hotsauce.com/chef-fartenburns-gourmet-hot-sauce/
"Crazy Jerry's Brain Damage Mind Blowin Hot Sauce, 5oz.",$9.00,$7.95,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-brain-damage-mind-blowin-hot-sauce/
"Da Bomb Ghost Pepper Hot Sauce, 4oz.",$19.50,$14.95,Da Bomb,https://www.hotsauce.com/da-bomb-ghost-pepper-hot-sauce/
"Danny Cash's Salvation Mango Pineapple Hot Sauce, 5oz.",$8.50,$7.95,Danny Cash,https://www.hotsauce.com/danny-cashs-salvation-mango-pineapple-hot-sauce/
"Dat'l Do It Devil Drops, 5oz.",$6.50,$5.95,Datl Do It,https://www.hotsauce.com/datl-do-it-devil-drops/
"Dirty Dick's Hot Pepper Sauce With a Tropical Twist, 5oz.",$8.50,$7.49,Dirty Dicks,https://www.hotsauce.com/dirty-dicks-hot-pepper-sauce-with-tropical-twist/
"Fire Ant Juice Gourmet Hot Sauce, 5oz.",$6.50,$5.95,HotSauce,https://www.hotsauce.com/fire-ant-juice-gourmet-hot-sauce/
"Heartbreaking Dawns Jalapeno Pineapple Hot Sauce, 5oz.",$6.50,$5.95,Heartbreaking Dawns,https://www.hotsauce.com/heartbreaking-dawns-jalapeno-pineapple-hot-sauce/
"Heartbreaking Dawns Mango Habanero Hot Sauce, 5oz.",$6.50,$5.95,Heartbreaking Dawns,https://www.hotsauce.com/heartbreaking-dawns-mango-habanero-hot-sauce/
"Hellfire Chilimasters Reserve Hot Sauce, 6.8oz.",$10.00,$8.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-chilimasters-reserve-hot-sauce/
"Hellfire Ritual Habitual Hot Sauce, 5oz.",$10.00,$8.95,Hellfire Hot Sauce,https://www.hotsauce.com/Hellfire-Ritual-Habitual-Hot-Sauce/
"Hellfire Ritual Hot Sauce, 5oz.",$12.00,$10.49,Hellfire Hot Sauce,https://www.hotsauce.com/Hellfire-Ritual-Hot-Sauce/
"Hellfire The Elixir Hot Sauce, 6.8oz.",$11.00,$9.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-the-elixir-hot-sauce/
"High River Sauces Tears of the Sun Hot Sauce, 5.4oz.",$7.50,$6.95,High River Sauces,https://www.hotsauce.com/high-river-sauces-tears-of-the-sun-hot-sauce/
"High River Sauces Tears of the Sun Private Reserve Hot Sauce, 5oz.",$12.00,$9.95,High River Sauces,https://www.hotsauce.com/High-River-Sauces-Tears-Of-The-Sun-Private-Reserve-Hot-Sauce/
"Iguana Tropic Thunder Red Jalapeno & Habanero Tropical Pepper, 5oz.",$6.50,$5.95,Iguana Sauces,https://www.hotsauce.com/iguana-tropic-thunder-red-jalapeno-habanero-tropical-pepper-sauce/
"Karma Sauce Curry Karma Hot Sauce, 5oz.",$8.50,$7.95,Karma,https://www.hotsauce.com/karma-sauce-curry-karma-hot-sauce/
"Karma Sauce Ghost Island Hot Sauce, 5oz.",$11.00,$9.95,Karma,https://www.hotsauce.com/karma-sauce-ghost-island-hot-sauce/
