name,priceNormal,priceWithoutax,branch,link
"Angry Goat Pepper Co. Demon Reaper Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Demon-Reaper-Hot-Sauce/
"Angry Goat Pepper Co. Hippy Dippy Green Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-hippy-dippy-green-hot-sauce/
"Angry Goat Pepper Co. Sacrifice Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-sacrifice-hot-sauce/
"Blair's Q Heat Jalapeno Tequila Exotic Hot Sauce, 8.44oz.",$11.00,$9.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-jalapeno-tequila-exotic-hot-sauce/
"Bone Suckin Yaki Teriyaki Sauce, 13.25oz.",$8.00,$7.49,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-teriyaki-barbecue-sauce/
"Bravado Spice Co. Creamy Herb and Jalapeno Hot Sauce, 5oz.",$9.00,$7.95,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Creamy-Herb-And-Jalapeno-Hot-Sauce/
"CaJohn's Olive & Roasted Garlic Gourmet Salsa, 16oz.",$8.50,$7.95,CaJohns,https://www.hotsauce.com/cajohns-olive-roasted-garlic-gourmet-salsa/
"Dave's Gourmet Roasted Red Pepper & Chipotle, 5oz.",$7.00,$5.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-roasted-red-pepper-chipotle/
"Fire and Spice All Natural Hot Sauce, 7oz.",$8.50,$7.95,Original Juan,https://www.hotsauce.com/fire-and-spice-all-natural-hot-sauce/
"Heartbeat Lion's Mane Piri Piri Hot Sauce, 6oz.",$13.00,$11.95,Heartbeat Hot Sauces,https://www.hotsauce.com/Heartbeat-Lions-Mane-Piri-Piri-Hot-Sauce/
"High River Sauces Green Manalishi Verde Hot Sauce, 5oz.",$8.00,$7.49,High River Sauces,https://www.hotsauce.com/High-River-Sauces-Green-Manalishi-Verde-Hot-Sauce/
"Historic Lynchburg Tennessee Whiskey Venison and Wild Game Seasoning and Rub, 4.7oz",$8.50,$7.95,Tennessee Whiskey,https://www.hotsauce.com/historic-lynchburg-tennessee-whiskey-venison-and-wild-game-seasoning-rub/
"Pain is Good #37 Honey Habanero Screamin' Wing Sauce, 13.5oz.",$10.50,$9.95,Pain Is Good,https://www.hotsauce.com/pain-is-good-37-honey-habanero-screamin-wing-sauce/
"Pain Is Good Batch #37 Garlic Style Hot Sauce, 7oz.",$13.00,$10.49,Pain Is Good,https://www.hotsauce.com/pain-is-good-batch-37-garlic-style-hot-sauce/
"Pain is Good Harissa Hot Sauce, 7oz.",$13.00,$10.49,Pain Is Good,https://www.hotsauce.com/Pain-Is-Good-Harissa-Hot-Sauce/
"Spicy Shark Original Habanero Hot Sauce, 5oz.",$11.00,$9.95,Spicy Shark,https://www.hotsauce.com/Spicy-Shark-Original-Habanero-Hot-Sauce/
