name,priceNormal,priceWithoutax,branch,link
"Alice Cooper No More Mr. Nice Guy Medium Hot Sauce, 5oz.",$11.00,$10.00,Alice Cooper,https://www.hotsauce.com/Alice-Cooper-No-More-Mr-Nice-Guy-Medium-Hot-Sauce/
"Angry Goat Pepper Co. Demon Reaper Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Demon-Reaper-Hot-Sauce/
"Angry Goat Pepper Co. Hippy Dippy Green Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-hippy-dippy-green-hot-sauce/
"Betty Hops Pale Ale Chipotle Hot Sauce, 5oz.",$7.50,$6.95,HotSauce,https://www.hotsauce.com/betty-hops-pale-ale-chipotle-hot-sauce/
"Bless Your Heart Peach and Vidalia Onion Hot Sauce, 5oz.",$6.50,$5.95,HotSauce,https://www.hotsauce.com/Bless-Your-Heart-Hot-Sauce/
"Bone Suckin Cajun Seasoning & Rub, 4.2oz.",$7.50,$6.95,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-cajun-seasoning-rub/
"Bone Suckin Garlic & Honey Wing Sauce, 12.25oz.",$8.00,$7.49,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-garlic-honey-wing-sauce/
"Bone Suckin Honey & Habanero Wing Sauce, 12.25oz.",$7.50,$6.95,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-honey-habanero-wing-sauce/
"Bourbon Q Barbecue Rub for Sissies, 16oz.",$15.50,$13.95,Kentucky Bourbon Q,https://www.hotsauce.com/Bourbon-Q-Barbecue-Rub-For-Sissies/
"Bravado Spice Co. Jalapeno & Garlic Seasoning, 3oz.",$10.50,$7.95,Bravado Spice Co,https://www.hotsauce.com/bravado-spice-co-jalapeno-garlic-seasoning/
"Bumblefoot's The Sauce, 5oz.",$7.50,$6.49,Bumblefoot's,https://www.hotsauce.com/Bumblefoots-The-Sauce/
"Burns & McCoy Excubiarium Salsa Verde Hot Sauce, 5oz.",$13.50,$11.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Excubiarium-Salsa-Verde-Hot-Sauce/
"Burns & McCoy Gold 79 Premium Hot Sauce, 5oz.",$10.00,$7.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Gold-79-Premium-Hot-Sauce/
"Burns & McCoy Reaper Verde Hot Sauce, 5oz.",$10.00,$7.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Verde-Hot-Sauce/
"Caboom! High Velocity Hot Sauce with Bullet Keychain, 5oz.",$10.50,$9.95,CaJohns,https://www.hotsauce.com/Caboom-High-Velocity-Hot-Sauce-With-Bullet-Keychain/
"CaJohn's Black Bean and Corn Chipotle Gourmet Salsa, 16oz.",$9.00,$7.95,CaJohns,https://www.hotsauce.com/cajohns-black-bean-and-corn-chipotle-gourmet-salsa/
"CaJohn's Black Bean and Corn Ghost Chile Gourmet Salsa, 16oz.",$8.50,$7.95,CaJohns,https://www.hotsauce.com/cajohns-black-bean-and-corn-ghost-chile-gourmet-salsa/
"CaJohn's Black Bean and Corn Hot Gourmet Salsa, 16oz.",$9.00,$8.49,CaJohns,https://www.hotsauce.com/cajohns-black-bean-and-corn-hot-gourmet-salsa/
"CaJohn's Black Bean and Corn Mild Salsa, 16oz.",$8.50,$7.95,CaJohns,https://www.hotsauce.com/Cajohns-Black-Bean-And-Corn-Mild-Salsa/
"CaJohn's Bourbon Street Fiery BBQ Sauce, 16oz.",$9.00,$7.95,CaJohns,https://www.hotsauce.com/Cajohns-Bourbon-Street-Fiery-BBQ-Sauce/
"CaJohn's Bourbon Street Smoky BBQ Sauce, 16oz.",$9.00,$7.95,CaJohns,https://www.hotsauce.com/Cajohns-Bourbon-Street-Smoky-BBQ-Sauce/
"CaJohn's Bourbon Street Spicy BBQ Sauce, 16oz.",$9.00,$8.49,CaJohns,https://www.hotsauce.com/Cajohns-Bourbon-Street-Spicy-BBQ-Sauce/
"CaJohn's CaBoom Medium Heat Picante Sauce Gourmet Salsa, 16oz.",$9.00,$7.95,CaJohns,https://www.hotsauce.com/cajohns-caboom-medium-heat-picante-sauce-gourmet-salsa/
"CaJohn's Chipotle Picante Sauce Gourmet Salsa, 16oz.",$9.00,$7.95,CaJohns,https://www.hotsauce.com/cajohns-chipotle-picante-sauce-gourmet-salsa/
