name,priceNormal,priceWithoutax,branch,link
"Angry Goat Pepper Co. Dark Swizzle Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-dark-swizzle-hot-sauce/
"Belligerent Blaze Habanero Gourmet Hot Sauce, 5oz.",$8.00,$7.49,CaJohns,https://www.hotsauce.com/belligerent-blaze-habanero-gourmet-hot-sauce/
"Blair's After Death with Liquid Fire Hot Sauce, 5oz.",$13.00,$11.95,Blairs Sauces,https://www.hotsauce.com/blairs-after-death-with-liquid-fire-hot-sauce/
"Blair's Beyond Death Hot Sauce, 5oz.",$18.00,$15.95,Blairs Sauces,https://www.hotsauce.com/blairs-beyond-death-hot-sauce/
"Blind Betty's Blind In The Rind Hot Sauce, 5oz.",$6.50,$5.95,Blind Bettys,https://www.hotsauce.com/blind-bettys-blind-in-the-rind-hot-sauce/
"Burns & McCoy Devorandum Cherry & Trinidad Scorpion Hot Sauce, 5oz.",$13.50,$11.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Devorandum-Cherry-Trinidad-Scorpion-Hot-Sauce/
"Burns & McCoy Mango Habanero Hot Sauce, 5oz.",$10.00,$7.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Mango-Habanero-Hot-Sauce/
"Burns & McCoy Smoked Habanero Roasted Garlic Hot Sauce, 5oz.",$10.00,$7.95,Burns & McCoy,https://www.hotsauce.com/Burns-McCoy-Smoked-Habanero-Roasted-Garlic-Hot-Sauce/
"Butt Twister Butt Blazin Fire Sauce, 5oz.",$7.50,$6.95,CaJohns,https://www.hotsauce.com/butt-twister-butt-blazin-fire-sauce/
"Crazy Jerry's Brain Damage Mind Blowin Hot Sauce, 5oz.",$9.00,$7.95,Crazy Jerrys,https://www.hotsauce.com/crazy-jerrys-brain-damage-mind-blowin-hot-sauce/
"Da Bomb Beyond Insanity Hot Sauce, 4oz.",$17.00,$14.95,Da Bomb,https://www.hotsauce.com/da-bomb-beyond-insanity-hot-sauce/
"Dave's Gourmet Steak Sauce, 8oz.",$9.50,$7.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-steak-sauce/
"Fat Cat Mexican-Style Habanero Hot Sauce, 5oz.",$6.50,$5.95,Fat Cat,https://www.hotsauce.com/fat-cat-mexican-style-habanero-hot-sauce/
"Flamin' Flatulence X-Hot Hot Sauce, 5.7oz.",$8.50,$7.95,Professor Payne,https://www.hotsauce.com/flamin-flatulence-x-hot-hot-sauce/
"Gator Hammock Hog Wallow BBQ, 10oz.",$8.50,$7.95,Gator Hammock,https://www.hotsauce.com/gator-hammock-hog-wallow-bbq/
"Heartbreaking Dawns (NEW) FERVOR Reaper Chile Hot Sauce, 5oz.",$11.00,$9.95,Heartbreaking Dawns,https://www.hotsauce.com/Heartbreaking-Dawns-Fervor-Reaper-Chile-Hot-Sauce/
"Heartbreaking Dawns Skylarking Anytime Hot Sauce, 5oz.",$7.50,$6.95,Heartbreaking Dawns,https://www.hotsauce.com/Heartbreaking-Dawns-Skylarking-Anytime-Sauce/
"Hellfire Chilimasters Reserve Hot Sauce, 6.8oz.",$10.00,$8.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-chilimasters-reserve-hot-sauce/
"Hellfire Devil's Gold Hot Sauce, 5oz.",$11.00,$9.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-devils-gold-hot-sauce/
"Hellfire Ritual Habitual Hot Sauce, 5oz.",$10.00,$8.95,Hellfire Hot Sauce,https://www.hotsauce.com/Hellfire-Ritual-Habitual-Hot-Sauce/
"Hellfire Ritual Hot Sauce, 5oz.",$12.00,$10.49,Hellfire Hot Sauce,https://www.hotsauce.com/Hellfire-Ritual-Hot-Sauce/
"Hellfire The Elixir Hot Sauce, 6.8oz.",$11.00,$9.95,Hellfire Hot Sauce,https://www.hotsauce.com/hellfire-the-elixir-hot-sauce/
"High River Sauces Rattler BBQ Sauce, 12oz.",$8.00,$7.49,High River Sauces,https://www.hotsauce.com/high-river-sauces-rattler-bbq-sauce/
"High River Sauces Rogue Hot Sauce, 5.4oz.",$11.00,$9.95,High River Sauces,https://www.hotsauce.com/high-river-sauces-rogue-hot-sauce/
"High River Sauces Tears of the Sun Hot Sauce, 5.4oz.",$7.50,$6.95,High River Sauces,https://www.hotsauce.com/high-river-sauces-tears-of-the-sun-hot-sauce/
"Hog's Ass Garlic Habanero Hot Sauce, 5oz.",$7.00,$6.49,Hogs Ass,https://www.hotsauce.com/hogs-ass-garlic-habanero-hot-sauce/
"Hot Ass Sauces Gift Box, 4/5oz.",$32.00,$27.95,HotSauce,https://www.hotsauce.com/Hot-Ass-Sauces-Gift-Box/
"Karma Sauce Smokey Karma Hot Sauce, 5oz.",$8.50,$7.95,Karma,https://www.hotsauce.com/karma-sauce-smokey-karma-hot-sauce/
"Marie Sharp's Orange Pulp Habanero, 5oz.",$6.50,$5.95,Marie Sharps,https://www.hotsauce.com/marie-sharps-orange-pulp-habanero/
"Marie Sharp's Orange Pulp Mini, 1.69oz.",$3.00,$2.49,Marie Sharps,https://www.hotsauce.com/marie-sharps-orange-pulp-mini-hot-sauce/
"Melinda's NEW GHOST Pepper Steak Sauce, 12oz.",$7.50,$6.95,Melinda's,https://www.hotsauce.com/Melindas-New-Ghost-Pepper-Steak-Sauce/
"Mo Hotta Mo Betta Chipotle Adobo Hot Sauce, 5oz.",$6.50,$5.95,Mo Hotta,https://www.hotsauce.com/mo-hotta-mo-betta-chipotle-adobo-hot-sauce/
"Naga Jolokia 10 Hot Sauce, 5oz.",$11.50,$9.95,CaJohns,https://www.hotsauce.com/naga-jolokia-10-hot-sauce/
"Pain is Good Chipotle Hot Sauce, 7oz.",$12.00,$10.49,Pain Is Good,https://www.hotsauce.com/most-wanted-pain-is-good-chipotle-hot-sauce/
"PETA (People for Eating Tasty Animals) Steak Sauce, 10oz.",$7.50,$6.95,PETA Sauces,https://www.hotsauce.com/peta-people-for-eating-tasty-animals-steak-sauce/
"Pure Poison Hot Sauce, 5oz.",$8.50,$7.95,HotSauce,https://www.hotsauce.com/pure-poison-hot-sauce/
"Spicy Shark Original Habanero Hot Sauce, 5oz.",$11.00,$9.95,Spicy Shark,https://www.hotsauce.com/Spicy-Shark-Original-Habanero-Hot-Sauce/
"Spicy Shark Thresher Shark Chipotle Hot Sauce, 5oz.",$11.00,$9.95,Spicy Shark,https://www.hotsauce.com/Spicy-Shark-Thresher-Shark-Chipotle-Hot-Sauce/
"Spicy Shark Tiger Shark Ghost Pepper Hot Sauce, 5oz.",$11.00,$9.95,Spicy Shark,https://www.hotsauce.com/Spicy-Shark-Tiger-Shark-Ghost-Pepper-Hot-Sauce/
"Stubb's Chicken Marinade, 12oz.",$7.00,$6.49,Stubbs,https://www.hotsauce.com/stubbs-chicken-marinade/
"Stubb's Green Chile Anytime Marinade Sauce, 12oz.",$7.00,$6.49,Stubbs,https://www.hotsauce.com/stubbs-green-chile-marinade/
"T-Rev's Original HotHead Hot Sauce, 5oz.",$7.00,$6.49,HotSauce,https://www.hotsauce.com/t-revs-original-hothead-hot-sauce/
"Torchbearer All Natural #37 Tarnation XX Hot Sauce, 5oz.",$9.50,$8.95,Torchbearer,https://www.hotsauce.com/torchbearer-all-natural-37-tarnation-xx-hot-sauce/
"Torchbearer All Natural #7 Sultry Spicy Hot Sauce, 5oz.",$8.00,$7.49,Torchbearer,https://www.hotsauce.com/torchbearer-all-natural-7-sultry-spicy-hot-sauce/
"Torchbearer All Natural Zombie Apocalypse Hot Sauce, 5oz.",$22.50,$21.95,Torchbearer,https://www.hotsauce.com/torchbearer-all-natural-zombie-apocalypse-hot-sauce/
"Torchbearer Slaughter XXX Hot Sauce, 5oz.",$9.50,$8.95,Torchbearer,https://www.hotsauce.com/torchbearer-slaughter-xxx-hot-sauce/
"Torchbearer Son of Zombie Wing Sauce, 5oz.",$13.00,$10.95,Torchbearer,https://www.hotsauce.com/Torchbearer-Son-Of-Zombie-Wing-Sauce/
"Torchbearer The Rapture Deadly Hot Sauce, 5oz.",$22.50,$19.95,Torchbearer,https://www.hotsauce.com/torchbearer-the-rapture-deadly-hot-sauce/
"Torchbearer Ultimate Annihilation Sauce, 5oz.",$22.50,$17.95,Torchbearer,https://www.hotsauce.com/torchbearer-ultimate-annihilation-sauce/
"Toxic Waste Extract Hot Sauce, 5oz.",$9.50,$7.95,HotSauce,https://www.hotsauce.com/toxic-waste-extract-hot-sauce/
"Vicious Viper Hot Sauce, 5oz.",$10.50,$9.49,CaJohns,https://www.hotsauce.com/vicious-viper-hot-sauce/
