Name,Price,Price witout Tax,Brand,Link
"Ass Kickin Ass Blaster Original Chili, 1lb.",$8.50,$7.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-ass-blaster-chili/
"Ass Kickin Chili Fixins with Habanero Pepper, 1lb.",$8.50,$7.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-chili-fixins/
"Bravado Spice Co. Creamy Herb and Jalapeno Hot Sauce, 5oz.",$9.00,$7.95,Bravado Spice Co,https://www.hotsauce.com/Bravado-Spice-Co-Creamy-Herb-And-Jalapeno-Hot-Sauce/
"Chicken Shit Poultry Seasoning, 12oz.",$15.50,$13.95,Special Shit,https://www.hotsauce.com/chicken-shit-poultry-seasoning/
"Fat Cat Surprisingly Mild Guajillo Ghost Hot Sauce, 5oz.",$6.50,$5.95,Fat Cat,https://www.hotsauce.com/fat-cat-surprisingly-mild-guajillo-ghost-hot-sauce/
"Historic Lynchburg Tennessee Whiskey Lemon Pepper and Herb Seasoning, 4.1oz",$7.50,$6.95,Tennessee Whiskey,https://www.hotsauce.com/historic-lynchburg-tennessee-whiskey-lemon-pepper-herb-seasoning/
"Iguana Smoky Chipotle Mini Pepper Sauce, 2oz.",$3.00,$2.49,Iguana Sauces,https://www.hotsauce.com/iguana-smoky-chipotle-mini-pepper-sauce/
"Iguana Smoky Jalapeno Chipotle Pepper Sauce, 5oz.",$6.50,$5.95,Iguana Sauces,https://www.hotsauce.com/iguana-smoky-jalapeno-chipotle-pepper-sauce/
"Iguana Smoky Jalapeno Chipotle Salsa, 16oz.",$9.00,$8.49,Iguana Sauces,https://www.hotsauce.com/iguana-smoky-jalapeno-chipotle-salsa/
"Iguana Tropic Thunder Red Jalapeno & Habanero Tropical Pepper, 5oz.",$6.50,$5.95,Iguana Sauces,https://www.hotsauce.com/iguana-tropic-thunder-red-jalapeno-habanero-tropical-pepper-sauce/
