name,priceNormal,priceWithoutax,branch,link
"Angry Goat Pepper Co. Goat Rider Hot Sauce, 5oz.",$10.50,$9.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Goat-Rider-Hot-Sauce/
"Angry Goat Pepper Co. Red Armadillo Hot Sauce, 5oz.",$9.00,$8.49,Angry Goat,https://www.hotsauce.com/angry-goat-pepper-co-red-armadillo-hot-sauce/
"Angry Goat Pepper Co. Sweaty Beaver Hot Sauce, 5oz.",$9.50,$8.95,Angry Goat,https://www.hotsauce.com/Angry-Goat-Pepper-Co-Sweaty-Beaver-Hot-Sauce/
"Ass Kickin Barbecue Popcorn, 3.5oz.",$3.00,$2.49,Ass Kickin,https://www.hotsauce.com/ass-kickin-barbecue-popcorn/
"Ass Kickin Hot Salt 9 Pack, 9/1.1oz.",$31.50,$26.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-hot-salt-9-pack/
"Ass Kickin Peanuts w/ Habanero Pepper, 12oz.",$10.00,$8.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-peanuts-habanero-pepper/
"Ass Kickin Snack Mix with Habanero Pepper, 10oz.",$10.00,$8.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-snack-mix-habanero-pepper/
"Ass Kickin Sriracha Peanuts, 12oz.",$9.50,$8.95,Ass Kickin,https://www.hotsauce.com/ass-kickin-sriracha-peanuts/
"Bad Byron's Butt Rub Barbecue Seasoning, 26oz.",$22.00,$17.95,Bad Byrons,https://www.hotsauce.com/bad-byrons-butt-rub-barbecue-seasoning-26oz/
"Bad Byron's Butt Rub Barbecue Seasoning, 4.5oz.",$7.00,$5.95,Bad Byrons,https://www.hotsauce.com/bad-byrons-butt-rub-barbecue-seasoning/
"Blair's Q Heat Chipotle Slam Exotic Hot Sauce, 8.44oz.",$11.00,$9.95,Blairs Sauces,https://www.hotsauce.com/blairs-q-heat-chipotle-slam-exotic-hot-sauce/
"Bone Suckin Cajun Seasoning & Rub, 4.2oz.",$7.50,$6.95,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-cajun-seasoning-rub/
"Bone Suckin Chicken Seasoning & Rub, 5.8oz.",$7.50,$6.95,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-sauce-poultry-seasoning-rub/
"Bone Suckin Honey & Habanero Wing Sauce, 12.25oz.",$7.50,$6.95,Bone Suckin BBQ,https://www.hotsauce.com/bone-suckin-honey-habanero-wing-sauce/
