Name,Price,Price witout Tax,Brand,Link
"Ass In The Tub Ghost Pepper Sauce, 5oz.",$9.50,$8.95,Ass In The Tub,https://www.hotsauce.com/ass-in-the-tub-ghost-pepper-sauce/
"Bee Sting Mango Passion Hot Sauce, 5oz.",$5.50,$4.95,Bee Sting,https://www.hotsauce.com/bee-sting-mango-passion-hot-sauce/
"Caboom! Ballistic Hot Sauce with Bullet Keychain, 5oz.",$12.00,$10.49,CaJohns,https://www.hotsauce.com/Caboom-Ballistic-Hot-Sauce-With-Bullet-Keychain/
"Caboom! Tracer Hot Sauce with Bullet Keychain, 5oz.",$11.00,$10.49,CaJohns,https://www.hotsauce.com/Caboom-Tracer-Hot-Sauce-With-Bullet-Keychain/
"Dave's Gourmet Roasted Red Pepper & Chipotle, 5oz.",$7.00,$5.95,Daves Gourmet,https://www.hotsauce.com/daves-gourmet-roasted-red-pepper-chipotle/
"Elijah's Xtreme Regret Scorpion Reaper Hot Sauce, 5oz.",$11.00,$9.95,ELijahs Xtreme,https://www.hotsauce.com/Elijahs-Xtreme-Regret-Scorpion-Reaper-Hot-Sauce/
"Fear Hot Sauce w/ Bhut Jolokia Pepper, 5oz.",$11.00,$9.95,HotSauce,https://www.hotsauce.com/fear-hot-sauce-bhut-jolokia-pepper/
"Iguana En Fuego Ultra Hot Pepper Sauce, 5oz.",$6.50,$5.95,Iguana Sauces,https://www.hotsauce.com/iguana-en-fuego-ultra-hot-pepper-sauce/
"Iguana Tropic Thunder Red Jalapeno & Habanero Tropical Pepper, 5oz.",$6.50,$5.95,Iguana Sauces,https://www.hotsauce.com/iguana-tropic-thunder-red-jalapeno-habanero-tropical-pepper-sauce/
"Melinda's Naga Jolokia Hot Sauce, 5oz.",$9.00,$6.95,Melinda's,https://www.hotsauce.com/melindas-naga-jolokia-hot-sauce/
"Queen Of Farts Hot Sauce, 5oz.",$7.00,$5.95,CaJohns,https://www.hotsauce.com/queen-of-farts-hot-sauce/
"The Cheech Smokin' Chipotle Hot Sauce, 5oz.",$6.50,$5.95,Cheech Sauces,https://www.hotsauce.com/the-cheech-smokin-chipotle-hot-sauce/
"The Ghost Hot Sauce w/ Bhut Jolokia Pepper, 5oz.",$11.00,$9.95,HotSauce,https://www.hotsauce.com/the-ghost-hot-sauce-bhut-jolokia-pepper/
"Vicious Viper Hot Sauce, 5oz.",$10.50,$9.49,CaJohns,https://www.hotsauce.com/vicious-viper-hot-sauce/
"Wanza's Wicked Temptation Hot Sauce, 5oz.",$9.50,$8.95,CaJohns,https://www.hotsauce.com/wanzas-wicked-temptation-hot-sauce/
